input_fingerprint,start_ms,end_ms,reference_suite,reference_input,reference_strategy,reference_result,candidate_suite,candidate_input,candidate_strategy,candidate_variant,candidate_assignment,candidate_result,reference_utilization,candidate_utilization,delta_utilization_percentage_points,delta_makespan_ms,delta_admission_slo_percentage_points,reference_all_active,candidate_all_active
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,strategy3,strategy3_pipeline,pipeline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/strategy3_pipeline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_strategy3_b8e50b64c6.json.gz,0.5220962719092338,0.042278758075115504,-47.98175138341183,12649.93805761661,22.169497169497177,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,native_assignment,strong32_local,deadline_fluid,deadline_fluid,fluid,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/native_assignment/runs/strong32_local/deadline_fluid/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_deadline_fluid_7b8c04b8db.json.gz,0.5220962719092338,0.042305639769909205,-47.97906321393246,5285.914843261946,4.075091575091583,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,screen,strong32_local,baseline,baseline,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,0.5220962719092338,0.522096271909234,2.220446049250313e-14,0.0,0.0,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,screen,strong32_local,once,once,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/once/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_once_d8f13cde8c.json.gz,0.5220962719092338,1.0,47.79037280907662,-2614.7524033005375,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,cross_environment,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,screen,strong32_local,strategy3,strategy3,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/strategy3/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_strategy3_1ce9a6556d.json.gz,0.5220962719092338,1.0,47.79037280907662,-2614.6449228073734,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,cross_environment,strong32_local,baseline,baseline,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,0.522096271909234,0.5220962719092338,-2.220446049250313e-14,0.0,0.0,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,cross_environment,strong32_local,once,once,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/cross_environment/runs/strong32_local/once/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_once_d8f13cde8c.json.gz,0.522096271909234,1.0,47.7903728090766,-2614.7524033005375,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,deadline,deadline,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/deadline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_deadline_2214bb75d3.json.gz,0.522096271909234,1.0,47.7903728090766,-2616.0741959030765,35.86413586413587,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,new_once,new_once,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/new_once/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_new_once_d6233f2cac.json.gz,0.522096271909234,1.0,47.7903728090766,-2614.7524033005375,35.964035964035965,True,True
0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,1000.0,2000.0,screen,strong32_local,baseline,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/screen/runs/strong32_local/baseline/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_baseline_ffe76c7072.json.gz,formal,strong32_local,stall_interchange,stall_interchange,fixed,/home/chguo/work/last_code/qos_storage_sim/results/baseline_npu32_investigation/formal/runs/strong32_local/stall_interchange/aligned_fixed_local_exact_npu32_ssu8_seed42_0873cdcc471a_stall_interchange_76d3e974c4.json.gz,0.522096271909234,1.0,47.7903728090766,-2614.7524033005375,35.889110889110896,True,True
