strategy,input_fingerprint,npu_id,request_id,layer,state,actual_start_ms,actual_end_ms,clipped_start_ms,clipped_end_ms
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,86,1,compute,1006.3971562065395,1006.9250650512951,1006.3971562065395,1006.9250650512951
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,86,2,compute,1006.9250650512951,1007.4529738960506,1006.9250650512951,1007.4529738960506
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,86,3,compute,1007.4529738960506,1007.9808827408061,1007.4529738960506,1007.9808827408061
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,86,4,compute,1007.9808827408061,1008.5087915855617,1007.9808827408061,1008.5087915855617
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,86,5,compute,1008.5087915855617,1009.0367004303172,1008.5087915855617,1009.0367004303172
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,86,6,stall,1009.0367004303172,1014.5776132197752,1009.0367004303172,1014.5776132197752
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,86,6,compute,1014.5776132197752,1015.1055220645308,1014.5776132197752,1015.1055220645308
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,0,86,7,compute,1015.1055220645308,1015.6334309092863,1015.1055220645308,1015.6334309092863
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000086,0,stall,1000.3577077412713,1005.8986205307293,1000.3577077412713,1005.8986205307293
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000086,0,compute,1005.8986205307293,1006.4265293754848,1005.8986205307293,1006.4265293754848
baseline,0873cdcc471ab53d1aa61be51c14452c1b6e7c3b1ecb2ea09329754d736980d0,2,2000086,1,compute,1006.4265293754848,1006.9544382202404,1006.4265293754848,1006.9544382202404
