npu_id,request_id,profile,profile_seq_len_k,profile_nql,layer,io_release_time_ms,io_ready_time_ms,io_duration_ms,comparison_deadline_ms,read_exceeds_compute_window,overrun_ms,previous_compute_end_ms,compute_start_time_ms,compute_end_time_ms,compute_duration_ms,actual_io_barrier_wait_ms
0,0,F,200,256,0,0.0,52.28769765625,52.28769765625,9.043910535256627,True,43.243787120993375,0.0,52.28769765625,61.33160819150663,9.043910535256627,52.28769765625
0,0,F,200,256,1,52.28769765625,79.32360158691407,27.035903930664062,61.33160819150663,True,17.991993395407434,61.33160819150663,79.32360158691407,88.3675121221707,9.043910535256627,17.991993395407434
0,0,F,200,256,2,79.32360158691407,116.51664733886719,37.19304575195312,88.3675121221707,True,28.149135216696493,88.3675121221707,116.51664733886719,125.56055787412382,9.043910535256627,28.149135216696493
1,1,F,200,256,0,0.0,52.317070825195316,52.317070825195316,9.043910535256627,True,43.27316028993869,0.0,52.317070825195316,61.360981360451945,9.043910535256627,52.317070825195316
1,1,F,200,256,1,52.317070825195316,82.87355886230469,30.556488037109375,61.360981360451945,True,21.512577501852746,61.360981360451945,82.87355886230469,91.91746939756132,9.043910535256627,21.512577501852746
1,1,F,200,256,2,82.87355886230469,128.7274932861328,45.85393442382812,91.91746939756132,True,36.81002388857149,91.91746939756132,128.7274932861328,137.77140382138944,9.043910535256627,36.81002388857149
2,2,F,200,256,0,0.0,52.283501489257816,52.283501489257816,9.043910535256627,True,43.23959095400119,0.0,52.283501489257816,61.327412024514445,9.043910535256627,52.283501489257816
2,2,F,200,256,1,52.283501489257816,78.63113403320312,26.34763254394531,61.327412024514445,True,17.30372200868868,61.327412024514445,78.63113403320312,87.67504456845975,9.043910535256627,17.30372200868868
2,2,F,200,256,2,78.63113403320312,114.79034423828125,36.159210205078125,87.67504456845975,True,27.115299669821496,87.67504456845975,114.79034423828125,123.83425477353788,9.043910535256627,27.115299669821496
3,3,F,200,256,0,0.0,52.50999450683594,52.50999450683594,9.043910535256627,True,43.46608397157931,0.0,52.50999450683594,61.553905042092566,9.043910535256627,52.50999450683594
3,3,F,200,256,1,52.50999450683594,104.72709655761719,52.21710205078125,61.553905042092566,True,43.17319151552462,61.553905042092566,104.72709655761719,113.77100709287382,9.043910535256627,43.17319151552462
3,3,F,200,256,2,104.72709655761719,154.808349609375,50.08125305175781,113.77100709287382,True,41.037342516501184,113.77100709287382,154.808349609375,163.85226014463163,9.043910535256627,41.037342516501184
4,4,F,200,256,0,0.0,52.49320983886719,52.49320983886719,9.043910535256627,True,43.44929930361056,0.0,52.49320983886719,61.537120374123816,9.043910535256627,52.49320983886719
4,4,F,200,256,1,52.49320983886719,103.64458547363282,51.15137563476563,61.537120374123816,True,42.107465099509,61.537120374123816,103.64458547363282,112.68849600888944,9.043910535256627,42.107465099509
4,4,F,200,256,2,103.64458547363282,147.89894104003906,44.25435556640625,112.68849600888944,True,35.21044503114962,112.68849600888944,147.89894104003906,156.9428515752957,9.043910535256627,35.21044503114962
5,5,F,200,256,0,0.0,52.30867849121094,52.30867849121094,9.043910535256627,True,43.26476795595431,0.0,52.30867849121094,61.35258902646757,9.043910535256627,52.30867849121094
5,5,F,200,256,1,52.30867849121094,82.09726796875,29.788589477539062,61.35258902646757,True,20.744678942282434,61.35258902646757,82.09726796875,91.14117850400663,9.043910535256627,20.744678942282434
5,5,F,200,256,2,82.09726796875,125.30342102050781,43.20615305175781,91.14117850400663,True,34.16224251650118,91.14117850400663,125.30342102050781,134.34733155576444,9.043910535256627,34.16224251650118
6,6,F,200,256,0,0.0,52.279205322265625,52.279205322265625,9.043910535256627,True,43.235294787008996,0.0,52.279205322265625,61.323115857522254,9.043910535256627,52.279205322265625
