policy,role,passed,count,percent,mean_normalized,p95_normalized
od_baseline,all,3200,4800,66.66666666666667,3.040511848208744,7.364726264364742
od_baseline,A,0,1600,0.0,7.054754770473676,7.564896443468947
od_baseline,B,3200,3200,100.0,1.0333903870762786,1.0712951510509412
once,all,4662,4800,97.125,1.1252907360822235,1.2653634550973172
once,A,1462,1600,91.375,1.355438339097674,3.271160739626483
once,B,3200,3200,100.0,1.0102169345744982,1.0542603728449031
