policy,window_type,start_s,end_s,U_percent,SLO_1p5_percent,cohort_count,all_npus_active,mixed_npus,strict_nominal_underload,SSU0_mean_demand_GiB_s,SSU1_mean_demand_GiB_s,SSU2_mean_demand_GiB_s,SSU0_peak_demand_GiB_s,SSU1_peak_demand_GiB_s,SSU2_peak_demand_GiB_s,SSU0_overload_percent,SSU1_overload_percent,SSU2_overload_percent
od_baseline,2s,0.0,2.0,65.94931551005148,56.46258503401361,147,True,32,False,118.40045542931934,130.29806693916632,126.06103715345645,290.33184751336665,318.7241846166412,307.2167898927429,37.81649654452562,37.8664613924517,37.8664613924517
od_baseline,2s,2.0,4.0,81.88400835511226,70.64220183486239,109,True,32,False,66.70624615694908,73.83503736348483,72.15475440270625,285.2050663288696,316.63446402513426,309.39009930791013,18.178045846250644,18.501870884761047,18.501870884761047
od_baseline,2s,4.0,6.0,83.51595049505886,75.0,128,True,32,False,66.26116116612879,72.82571911428195,71.23784554981636,287.5734163325775,314.4890175511871,309.1671957781494,17.886443423034052,18.062523712047096,18.062523712047096
od_baseline,2s,6.0,8.0,83.61430810576232,66.66666666666667,96,True,32,False,65.81195714605869,71.9178584838633,70.67391273754939,289.2730557470031,312.4828857833404,309.4736881315704,17.449058417162725,17.57137912242242,17.57137668498499
od_baseline,2s,8.0,10.0,79.22410572308942,50.0,128,True,32,False,79.00584869840357,87.94918873303378,85.43262347378686,287.32264986159663,317.13599696709593,310.5882057803741,22.864332364302935,23.030541423323847,23.03029076884395
od_baseline,2s,10.0,12.0,70.95060180470948,75.0,128,True,32,False,98.5622145609072,109.04905335574684,105.02095291208653,288.4093045691803,317.13599696709593,306.7709828332214,31.53804961750975,31.62284391050962,31.622602382402327
od_baseline,2s,12.0,14.0,83.42729186807878,66.66666666666667,96,True,32,False,66.45523098455958,73.09150158050448,71.7209042893672,286.43103574255366,316.1329310831726,308.6656628361877,17.725305662755453,17.72796520200518,17.727823362950765
od_baseline,2s,14.0,16.0,83.31409623864108,75.0,128,True,32,False,66.41848028714388,73.83005159017505,71.21230962468753,287.0440204493957,317.72111873271785,306.4644904798004,18.009633050054436,18.15304201091658,18.15272234448803
od_baseline,2s,16.0,18.0,83.55305880096142,66.66666666666667,96,True,32,False,66.21573596311612,72.26764102701472,70.54195168474153,289.8024516301849,313.6531293145843,307.77404871714475,17.90069822951955,18.174701921920494,18.173868700710955
od_baseline,2s,18.0,20.0,74.93706024154845,50.0,128,True,32,False,92.3420735235057,101.91646765094391,99.61291268527924,287.29478692037657,318.9192252051819,309.72445460255125,27.453421807006272,27.598720472859895,27.596720909789475
od_baseline,2s,20.0,22.0,75.38244571505284,75.0,128,True,32,False,85.75435469667016,94.17594385349099,90.96369546700353,290.77765457288814,318.9192252051819,307.38396754006345,26.1675175283106,26.71642673639017,26.716376170888726
od_baseline,2s,22.0,24.0,83.47730553030787,66.66666666666667,96,True,32,False,66.77796534102322,73.00213023441094,70.89963131513302,289.7188628065246,314.8790987282684,306.6316681271209,17.973747039455702,18.01088311733656,18.01147505411682
od_baseline,2s,24.0,26.0,83.23116156180605,75.0,128,True,32,False,66.03506142477168,74.25824067897864,71.71219778404101,282.5580869129608,319.67152461812435,309.00001813082883,18.14663705021703,18.190236065470163,18.189857570236562
od_baseline,2s,26.0,28.0,83.40619976839271,66.66666666666667,96,True,32,False,65.81125291930181,73.1479450828509,71.44267054396694,284.0069598564056,316.5230122602539,310.69965754525447,18.202767951150964,18.25581829979965,18.25438080515487
od_baseline,2s,28.0,30.0,70.74769427510257,50.0,128,True,32,False,105.56136637606166,115.35227491592029,113.82612203222627,291.0005581026489,316.60660108391414,311.14546460477595,32.48138540609125,32.56106954659972,32.56066951936136
od_baseline,2s,30.0,32.0,79.88007662055922,75.0,128,True,32,False,71.85071776962808,78.74733589417602,76.85462197006069,288.32571574552,316.60660108391414,311.14546460477595,20.937577036595577,21.177739640430627,21.177597788548702
od_baseline,2s,32.0,34.0,83.5087053164101,74.60317460317461,126,True,32,False,66.71673231237654,72.69879779951728,70.9418192255983,289.30091868822325,314.32183990386653,307.6068710698242,17.69196255070019,17.723857758664234,17.723857758664234
od_baseline,2s,34.0,36.0,83.49106978873787,67.34693877551021,98,True,32,False,66.57051040765802,72.60142977711382,70.25873357935865,290.5547510431274,314.71192108094783,305.96295753783875,18.139300579224074,18.16304480492399,18.163008922729933
od_baseline,2s,36.0,38.0,81.32496029318649,50.0,128,True,32,False,72.85110819381272,80.43492933369262,78.03864964779201,289.55168515920406,318.05547402735897,307.9690893056854,20.734131182988495,20.753187555466866,20.75317690196607
od_baseline,2s,38.0,40.0,68.76713316367359,75.0,128,True,32,False,105.66615677826438,116.708660358452,111.91117532560065,289.55168515920406,318.05547402735897,306.21372400881955,33.40857674233776,33.81110991648675,33.81110991648675
od_baseline,2s,40.0,42.0,83.46641398754615,66.66666666666667,96,True,32,False,66.44060765143496,73.16409854808833,71.33585280548428,287.9634975096588,315.2970428465698,307.9690893056854,17.96078961573221,18.093049321840226,18.092968875986116
od_baseline,2s,42.0,44.0,83.39495790440715,75.0,128,True,32,False,66.45782731643904,73.39099624402178,71.2377818959213,286.7932539784149,316.63446402513426,307.8019116583648,17.763816964965372,17.770901680913813,17.77074064050248
od_baseline,2s,44.0,46.0,83.44658120588073,66.66666666666667,96,True,32,False,65.87499455678403,72.86435152120886,71.17389641928644,285.5115586822906,315.6035351999908,310.11453577963255,18.12498891065916,18.18417624549038,18.184154865249003
od_baseline,2s,46.0,48.0,77.0653060973207,50.0,128,True,32,False,85.95941900178374,95.03207221231015,92.48268141541632,289.0222892760223,316.94095637855526,310.03094695597224,25.67559468312975,25.77567326589342,25.77581756294385
od_baseline,2s,48.0,50.0,73.5258305774401,75.0,128,True,32,False,91.76461157709427,99.21187079028645,97.78047743778265,291.58567986827086,316.94095637855526,310.2817134269531,27.715518922189585,27.875949412211774,27.875949412211774
od_baseline,2s,50.0,52.0,83.51928008638046,66.66666666666667,96,True,32,False,66.13662693114277,72.57182616304833,71.47092620388949,286.9882945669555,314.21038813898616,310.03094695597224,17.695591953290567,17.78895666886674,17.78895666886674
od_baseline,2s,52.0,54.0,83.27640269585027,75.0,128,True,32,False,66.50379071889321,74.23216384205057,71.13962823621883,285.9573657418121,319.1699916761627,306.1022722439392,18.431099907185125,19.043149908482157,19.042481437946844
od_baseline,2s,54.0,56.0,83.34885938319394,66.66666666666667,96,True,32,False,66.02577836458575,73.52659989885203,71.22895744644484,285.1493404464294,317.3031746144165,308.7771146010681,18.468309954147845,18.56277149363159,18.56277149363159
od_baseline,2s,56.0,58.0,72.7026230849321,50.0,128,True,32,False,100.34246595730805,109.23609572026719,106.67798043654682,291.8085833980316,316.69018990757445,308.16412989422605,30.558901159655214,30.612409350841336,30.612346377070207
od_baseline,2s,58.0,60.0,78.00557176556242,75.0,128,True,32,False,78.10412122649825,84.321134053512,82.69244083153734,291.8085833980316,313.15159637262263,308.16412989422605,22.573546390259434,23.371689941283694,23.371657352173496
od_baseline,2s,60.0,62.0,83.43215457764873,66.66666666666667,96,True,32,False,66.72090051801216,73.26359274400508,70.97151847627818,289.4402333943237,315.659261082431,306.13013518515925,18.298812589120644,18.314814824309725,18.314548215341347
od_baseline,2s,62.0,64.0,83.53251265291975,75.0,128,True,32,False,65.86934478414707,72.30591309858299,71.25965646492864,285.8737769181518,314.29397696264647,311.0618757811157,17.384414242942512,18.064947715650487,18.064947715650487
od_baseline,2s,64.0,66.0,83.44231223844727,58.18181818181818,110,True,32,False,66.04855896838433,72.69598027999895,71.04081798930015,287.0997463318359,315.4084946114502,308.7213887186279,18.033225718598988,18.095785937043548,18.095818527479423
od_baseline,2s,66.0,68.0,68.21224716632803,63.23529411764706,136,True,32,False,110.71079955159203,124.05749016620858,120.38936569557558,284.22986338616636,319.0585399112823,309.27864754302976,35.36801566902359,35.45559491217646,35.45529594246109
od_baseline,2s,68.0,70.0,81.91797385078694,69.81132075471699,106,True,32,False,67.34205305189161,73.57466445334627,70.97594325521447,290.91696927898863,315.51994637633055,304.79271400659485,18.461242951413443,18.77255416751286,18.772388733884146
