case,id,mode,ssu,seed,strategy,npu_id,A_count,B_count,warm_roles,warm_util_pct,warm_A_compute_ms,warm_B_compute_ms
D1_fixed_s1_seed7,D1,fixed,1,7,once,3,8,0,A,100.0,2000.0,0.0
D1_fixed_s1_seed7,D1,fixed,1,7,once,4,8,0,A,100.0,2000.0,0.0
D1_fixed_s1_seed7,D1,fixed,1,7,once,5,8,0,A,100.0,2000.0,0.0
D1_fixed_s1_seed7,D1,fixed,1,7,once,6,0,153,B,90.07008556735549,0.0,1801.4017113471098
D1_fixed_s1_seed7,D1,fixed,1,7,once,7,0,153,B,90.26953659402773,0.0,1805.3907318805545
D2_fixed_s1_seed7,D2,fixed,1,7,baseline,0,5,0,A,100.0,2000.0,0.0
D2_fixed_s1_seed7,D2,fixed,1,7,baseline,1,5,0,A,100.0,2000.0,0.0
D2_fixed_s1_seed7,D2,fixed,1,7,baseline,2,5,0,A,100.0,2000.0,0.0
D2_fixed_s1_seed7,D2,fixed,1,7,baseline,3,5,0,A,100.0,2000.0,0.0
D2_fixed_s1_seed7,D2,fixed,1,7,baseline,4,5,0,A,100.0,2000.0,0.0
D2_fixed_s1_seed7,D2,fixed,1,7,baseline,5,5,0,A,100.0,2000.0,0.0
D2_fixed_s1_seed7,D2,fixed,1,7,baseline,6,0,153,B,72.83775766470859,0.0,1456.7551532941718
D2_fixed_s1_seed7,D2,fixed,1,7,baseline,7,0,153,B,72.76619215137187,0.0,1455.3238430274373
D2_fixed_s1_seed7,D2,fixed,1,7,once,0,5,0,A,100.0,2000.0,0.0
D2_fixed_s1_seed7,D2,fixed,1,7,once,1,5,0,A,100.0,2000.0,0.0
D2_fixed_s1_seed7,D2,fixed,1,7,once,2,5,0,A,100.0,2000.0,0.0
D2_fixed_s1_seed7,D2,fixed,1,7,once,3,5,0,A,100.0,2000.0,0.0
D2_fixed_s1_seed7,D2,fixed,1,7,once,4,5,0,A,100.0,2000.0,0.0
D2_fixed_s1_seed7,D2,fixed,1,7,once,5,5,0,A,100.0,2000.0,0.0
D2_fixed_s1_seed7,D2,fixed,1,7,once,6,0,153,B,89.43910796533588,0.0,1788.7821593067174
D2_fixed_s1_seed7,D2,fixed,1,7,once,7,0,153,B,88.84837588147438,0.0,1776.9675176294877
E1_fixed_s1_seed7,E1,fixed,1,7,baseline,0,9,0,A,100.0,2000.0,0.0
E1_fixed_s1_seed7,E1,fixed,1,7,baseline,1,9,0,A,100.0,2000.0,0.0
E1_fixed_s1_seed7,E1,fixed,1,7,baseline,2,9,0,A,100.0,2000.0,0.0
E1_fixed_s1_seed7,E1,fixed,1,7,baseline,3,9,0,A,100.0,2000.0,0.0
E1_fixed_s1_seed7,E1,fixed,1,7,baseline,4,0,109,B,66.99336293290274,0.0,1339.8672586580549
E1_fixed_s1_seed7,E1,fixed,1,7,baseline,5,0,109,B,66.95912037290348,0.0,1339.1824074580697
E1_fixed_s1_seed7,E1,fixed,1,7,baseline,6,0,109,B,67.027605492902,0.0,1340.55210985804
E1_fixed_s1_seed7,E1,fixed,1,7,baseline,7,0,109,B,67.03721130315108,0.0,1340.7442260630216
E1_fixed_s1_seed7,E1,fixed,1,7,once,0,9,0,A,100.0,2000.0,0.0
E1_fixed_s1_seed7,E1,fixed,1,7,once,1,9,0,A,100.0,2000.0,0.0
E1_fixed_s1_seed7,E1,fixed,1,7,once,2,9,0,A,100.0,2000.0,0.0
E1_fixed_s1_seed7,E1,fixed,1,7,once,3,9,0,A,100.0,2000.0,0.0
E1_fixed_s1_seed7,E1,fixed,1,7,once,4,0,109,B,94.25072663481433,0.0,1885.0145326962866
E1_fixed_s1_seed7,E1,fixed,1,7,once,5,0,109,B,93.5749142838679,0.0,1871.498285677358
E1_fixed_s1_seed7,E1,fixed,1,7,once,6,0,109,B,92.96769764907535,0.0,1859.3539529815068
E1_fixed_s1_seed7,E1,fixed,1,7,once,7,0,109,B,94.59866955096224,0.0,1891.973391019245
E2_fixed_s2_seed7,E2,fixed,2,7,baseline,0,17,0,A,100.0,2000.0,0.0
E2_fixed_s2_seed7,E2,fixed,2,7,baseline,1,17,0,A,100.0,2000.0,0.0
E2_fixed_s2_seed7,E2,fixed,2,7,baseline,2,17,0,A,100.0,2000.0,0.0
E2_fixed_s2_seed7,E2,fixed,2,7,baseline,3,17,0,A,100.0,2000.0,0.0
E2_fixed_s2_seed7,E2,fixed,2,7,baseline,4,0,210,B,68.08037663478811,0.0,1361.607532695762
E2_fixed_s2_seed7,E2,fixed,2,7,baseline,5,0,210,B,68.18203545885278,0.0,1363.6407091770557
E2_fixed_s2_seed7,E2,fixed,2,7,baseline,6,0,210,B,68.06393119478847,0.0,1361.2786238957692
E2_fixed_s2_seed7,E2,fixed,2,7,baseline,7,0,210,B,68.16333721885319,0.0,1363.2667443770638
E2_fixed_s2_seed7,E2,fixed,2,7,once,0,17,0,A,100.0,2000.0,0.0
E2_fixed_s2_seed7,E2,fixed,2,7,once,1,17,0,A,100.0,2000.0,0.0
E2_fixed_s2_seed7,E2,fixed,2,7,once,2,17,0,A,100.0,2000.0,0.0
E2_fixed_s2_seed7,E2,fixed,2,7,once,3,17,0,A,100.0,2000.0,0.0
E2_fixed_s2_seed7,E2,fixed,2,7,once,4,0,210,B,88.11369137645443,0.0,1762.2738275290885
E2_fixed_s2_seed7,E2,fixed,2,7,once,5,0,210,B,87.94838850425737,0.0,1758.9677700851473
E2_fixed_s2_seed7,E2,fixed,2,7,once,6,0,210,B,88.1895531923859,0.0,1763.791063847718
E2_fixed_s2_seed7,E2,fixed,2,7,once,7,0,210,B,88.77544882457383,0.0,1775.5089764914767
E2_fixed_s3_seed7,E2,fixed,3,7,baseline,0,17,0,A,100.0,2000.0,0.0
E2_fixed_s3_seed7,E2,fixed,3,7,baseline,1,17,0,A,100.0,2000.0,0.0
E2_fixed_s3_seed7,E2,fixed,3,7,baseline,2,17,0,A,100.0,2000.0,0.0
E2_fixed_s3_seed7,E2,fixed,3,7,baseline,3,17,0,A,100.0,2000.0,0.0
E2_fixed_s3_seed7,E2,fixed,3,7,baseline,4,0,210,B,83.06188276068768,0.0,1661.2376552137534
E2_fixed_s3_seed7,E2,fixed,3,7,baseline,5,0,210,B,82.97464185662268,0.0,1659.4928371324536
E2_fixed_s3_seed7,E2,fixed,3,7,baseline,6,0,210,B,83.06098164068769,0.0,1661.2196328137538
E2_fixed_s3_seed7,E2,fixed,3,7,baseline,7,0,210,B,83.0600805206877,0.0,1661.2016104137542
E2_fixed_s3_seed7,E2,fixed,3,7,once,0,17,0,A,100.0,2000.0,0.0
E2_fixed_s3_seed7,E2,fixed,3,7,once,1,17,0,A,100.0,2000.0,0.0
E2_fixed_s3_seed7,E2,fixed,3,7,once,2,17,0,A,100.0,2000.0,0.0
E2_fixed_s3_seed7,E2,fixed,3,7,once,3,17,0,A,100.0,2000.0,0.0
E2_fixed_s3_seed7,E2,fixed,3,7,once,4,0,210,B,99.80144437159775,0.0,1996.028887431955
E2_fixed_s3_seed7,E2,fixed,3,7,once,5,0,210,B,99.83834935690219,0.0,1996.7669871380435
E2_fixed_s3_seed7,E2,fixed,3,7,once,6,0,210,B,99.89221482677485,0.0,1997.844296535497
E2_fixed_s3_seed7,E2,fixed,3,7,once,7,0,210,B,99.87616240270832,0.0,1997.5232480541663
E3_fixed_s2_seed7,E3,fixed,2,7,baseline,0,9,0,A,100.0,2000.0,0.0
E3_fixed_s2_seed7,E3,fixed,2,7,baseline,1,9,0,A,100.0,2000.0,0.0
E3_fixed_s2_seed7,E3,fixed,2,7,baseline,2,9,0,A,100.0,2000.0,0.0
E3_fixed_s2_seed7,E3,fixed,2,7,baseline,3,9,0,A,100.0,2000.0,0.0
E3_fixed_s2_seed7,E3,fixed,2,7,baseline,4,0,187,B,83.88951701613136,0.0,1677.7903403226273
E3_fixed_s2_seed7,E3,fixed,2,7,baseline,5,0,187,B,83.9558232646206,0.0,1679.1164652924122
E3_fixed_s2_seed7,E3,fixed,2,7,baseline,6,0,187,B,83.95663427262059,0.0,1679.1326854524118
E3_fixed_s2_seed7,E3,fixed,2,7,baseline,7,0,187,B,83.95744528062056,0.0,1679.1489056124115
E3_fixed_s2_seed7,E3,fixed,2,7,once,0,9,0,A,100.0,2000.0,0.0
E3_fixed_s2_seed7,E3,fixed,2,7,once,1,9,0,A,100.0,2000.0,0.0
E3_fixed_s2_seed7,E3,fixed,2,7,once,2,9,0,A,100.0,2000.0,0.0
E3_fixed_s2_seed7,E3,fixed,2,7,once,3,9,0,A,100.0,2000.0,0.0
E3_fixed_s2_seed7,E3,fixed,2,7,once,4,0,187,B,93.36431191589443,0.0,1867.2862383178888
E3_fixed_s2_seed7,E3,fixed,2,7,once,5,0,187,B,93.59973451588934,0.0,1871.9946903177868
E3_fixed_s2_seed7,E3,fixed,2,7,once,6,0,187,B,91.72754770955113,0.0,1834.5509541910226
E3_fixed_s2_seed7,E3,fixed,2,7,once,7,0,187,B,92.53151869640635,0.0,1850.6303739281268
F20_fixed_s1_seed7,F20,fixed,1,7,baseline,0,9,0,A,100.0,2000.0,0.0
F20_fixed_s1_seed7,F20,fixed,1,7,baseline,1,9,0,A,100.0,2000.0,0.0
F20_fixed_s1_seed7,F20,fixed,1,7,baseline,2,9,0,A,100.0,2000.0,0.0
F20_fixed_s1_seed7,F20,fixed,1,7,baseline,3,9,0,A,100.0,2000.0,0.0
F20_fixed_s1_seed7,F20,fixed,1,7,baseline,4,0,97,B,68.11201927132943,0.0,1362.2403854265885
