case,id,mode,ssu,seed,strategy,start_ms,end_ms,fleet_pct,internal_stall_card_ms,layer0_stall_card_ms
E3_fixed_s2_seed7,E3,fixed,2,7,once,500.0,4500.0,96.53313567139253,979.4693872278706,129.92719792652133
E3_fixed_s2_seed7,E3,fixed,2,7,once,2000.0,4000.0,96.40288910471766,500.3287954735363,75.2089477716388
E3_fixed_s2_seed7,E3,fixed,2,7,once,4000.0,4500.0,96.44750449261042,128.06634903668464,14.033471258898771
F20_fixed_s1_seed7,F20,fixed,1,7,baseline,500.0,4500.0,84.05469447215845,4557.45794845438,545.0398204549201
F20_fixed_s1_seed7,F20,fixed,1,7,baseline,2000.0,4000.0,84.08664366064713,2001.0971938415378,545.0398204549201
F20_fixed_s1_seed7,F20,fixed,1,7,baseline,4000.0,4500.0,83.7819654244032,648.7213830238725,0.0
F20_fixed_s1_seed7,F20,fixed,1,7,once,500.0,4500.0,99.40584347095242,162.62962505126512,27.500464243963506
F20_fixed_s1_seed7,F20,fixed,1,7,once,2000.0,4000.0,99.40688360956955,78.20772019599735,16.690902272874382
F20_fixed_s1_seed7,F20,fixed,1,7,once,4000.0,4500.0,99.24391316574535,23.39051676855297,6.852956601632741
X16_random_s1_seed19,X16,random,1,19,baseline,500.0,4500.0,92.73266689135244,1948.8990779926705,376.6475167745474
X16_random_s1_seed19,X16,random,1,19,baseline,2000.0,4000.0,92.47295436457807,1021.2886796554569,183.03862201205152
X16_random_s1_seed19,X16,random,1,19,baseline,4000.0,4500.0,91.14608287678202,311.8834310039533,42.27325392476587
X16_random_s1_seed19,X16,random,1,19,once,500.0,4500.0,97.9875677049155,180.07186678355617,463.9064676434838
X16_random_s1_seed19,X16,random,1,19,once,2000.0,4000.0,97.66692159385876,145.17876607532207,228.11377890727613
X16_random_s1_seed19,X16,random,1,19,once,4000.0,4500.0,98.72756432491798,1.7074892654509313,49.18993773782995
X16_random_s1_seed43,X16,random,1,43,baseline,500.0,4500.0,92.57363964593117,2023.67144416853,352.7638691334953
X16_random_s1_seed43,X16,random,1,43,baseline,2000.0,4000.0,91.93401684544257,1087.0309096859553,203.52639504323452
X16_random_s1_seed43,X16,random,1,43,baseline,4000.0,4500.0,94.31240276163676,196.51341117229094,30.99047836223872
X16_random_s1_seed43,X16,random,1,43,once,500.0,4500.0,98.32993795696727,110.54425970228237,423.87559406818855
X16_random_s1_seed43,X16,random,1,43,once,2000.0,4000.0,98.67431794764772,35.54367339928831,176.56545497707657
X16_random_s1_seed43,X16,random,1,43,once,4000.0,4500.0,97.59474903098379,16.582090963870996,79.62794779677779
X16_random_s1_seed7,X16,random,1,7,baseline,500.0,4500.0,93.19681115725254,1752.8552382331636,424.1651914460216
X16_random_s1_seed7,X16,random,1,7,baseline,2000.0,4000.0,93.26040435110946,855.7290551790475,222.60624864343936
X16_random_s1_seed7,X16,random,1,7,baseline,4000.0,4500.0,94.21492673970137,195.02155179796,36.38137861398536
X16_random_s1_seed7,X16,random,1,7,once,500.0,4500.0,98.61873374657439,73.91196934886807,368.0932317473273
X16_random_s1_seed7,X16,random,1,7,once,2000.0,4000.0,98.634559740449,60.604745937375355,157.86569559078362
X16_random_s1_seed7,X16,random,1,7,once,4000.0,4500.0,98.54250222104464,12.161259596477066,46.13865156173733
XY12_16_random_s1_seed19,XY12_16,random,1,19,baseline,500.0,4500.0,90.29487058967,2596.5147006529764,509.1267106526261
XY12_16_random_s1_seed19,XY12_16,random,1,19,baseline,2000.0,4000.0,91.03137947177021,1245.6033915366484,189.37589298012062
XY12_16_random_s1_seed19,XY12_16,random,1,19,baseline,4000.0,4500.0,88.00728732462335,425.4550654330387,54.253441582027335
XY12_16_random_s1_seed19,XY12_16,random,1,19,once,500.0,4500.0,97.61179984224805,247.61515383758353,516.608896643042
XY12_16_random_s1_seed19,XY12_16,random,1,19,once,2000.0,4000.0,97.39933454916513,167.9533470489314,248.1531250846465
XY12_16_random_s1_seed19,XY12_16,random,1,19,once,4000.0,4500.0,98.66424842523087,12.038917323892747,41.391145666872944
XY12_16_random_s1_seed43,XY12_16,random,1,43,baseline,500.0,4500.0,90.37361793328417,2652.845760378472,427.59650097059637
XY12_16_random_s1_seed43,XY12_16,random,1,43,baseline,2000.0,4000.0,90.40609350729274,1345.6704920388008,189.35454679436134
XY12_16_random_s1_seed43,XY12_16,random,1,43,baseline,4000.0,4500.0,89.2600589696184,378.3341072958924,51.263533919371184
XY12_16_random_s1_seed43,XY12_16,random,1,43,once,500.0,4500.0,97.85580649972458,177.27131529420592,508.87060479393165
XY12_16_random_s1_seed43,XY12_16,random,1,43,once,2000.0,4000.0,98.00528763240993,61.46601251524362,257.6879662991669
XY12_16_random_s1_seed43,XY12_16,random,1,43,once,4000.0,4500.0,99.05163862041931,13.456666696609318,24.47778848661801
XY12_16_random_s1_seed7,XY12_16,random,1,7,baseline,500.0,4500.0,90.39411456904418,2548.9479944618765,524.9353434439915
XY12_16_random_s1_seed7,XY12_16,random,1,7,baseline,2000.0,4000.0,91.0502247687212,1227.823886346178,204.14015065842955
XY12_16_random_s1_seed7,XY12_16,random,1,7,baseline,4000.0,4500.0,88.36675045111622,374.37624193193096,90.95374002342032
XY12_16_random_s1_seed7,XY12_16,random,1,7,once,500.0,4500.0,97.81273274112219,219.71956640542226,480.2059564354769
XY12_16_random_s1_seed7,XY12_16,random,1,7,once,2000.0,4000.0,97.66237538163838,181.89954143041177,192.1203975074468
XY12_16_random_s1_seed7,XY12_16,random,1,7,once,4000.0,4500.0,97.40131509696215,2.0751804116152925,101.87221570989868
XY12_20_random_s1_seed19,XY12_20,random,1,19,baseline,500.0,4500.0,95.83296872853158,1089.1305189853238,244.3194878845676
XY12_20_random_s1_seed19,XY12_20,random,1,19,baseline,2000.0,4000.0,95.01636809104843,627.0261412257782,170.35496420647132
XY12_20_random_s1_seed19,XY12_20,random,1,19,baseline,4000.0,4500.0,96.92943468869521,106.58756344759922,16.235049004592383
XY12_20_random_s1_seed19,XY12_20,random,1,19,once,500.0,4500.0,98.79399176888796,155.46810581296518,230.45452814288603
XY12_20_random_s1_seed19,XY12_20,random,1,19,once,2000.0,4000.0,98.73913638855952,84.14451343335531,117.59366439712403
