case,id,mode,ssu,x,y,n_A,n_B,input_counts_A_B,A_total_length_k,A_nql,A_V_MB,A_C_ms,A_B_GB_s,A_constructed,A_extrapolated,B_total_length_k,B_nql,B_V_MB,B_C_ms,B_B_GB_s,B_constructed,B_extrapolated,seed,strategy,warm_start_ms,warm_end_ms,full_makespan_ms,pair_complete,pair_matched,pair_plot_eligible,strict_underload_full_both_audits,warm_all_npus_active,native_invariants_all_pass,request_count,fleet_pct,A_pct,B_pct,slo_all_pct,slo_warm_pct,full_fleet_utilization_pct,full_internal_stall_card_ms,full_internal_stall_count,full_layer0_stall_card_ms,full_layer0_stall_count,full_ordinary_demand_max_ssu_GB_s,full_ordinary_demand_peak_total_GB_s,full_ordinary_demand_any_overload_ms,full_ordinary_demand_any_ge36_ms,full_ordinary_demand_any_ge36_pct,full_ordinary_pending_demand_max_ssu_GB_s,full_ordinary_pending_demand_peak_total_GB_s,full_ordinary_pending_demand_any_overload_ms,full_ordinary_pending_demand_any_ge36_ms,full_ordinary_pending_demand_any_ge36_pct,warm_fleet_utilization_pct,warm_internal_stall_card_ms,warm_internal_stall_count,warm_layer0_stall_card_ms,warm_layer0_stall_count,warm_ordinary_demand_max_ssu_GB_s,warm_ordinary_demand_peak_total_GB_s,warm_ordinary_demand_any_overload_ms,warm_ordinary_demand_any_ge36_ms,warm_ordinary_demand_any_ge36_pct,warm_ordinary_pending_demand_max_ssu_GB_s,warm_ordinary_pending_demand_peak_total_GB_s,warm_ordinary_pending_demand_any_overload_ms,warm_ordinary_pending_demand_any_ge36_ms,warm_ordinary_pending_demand_any_ge36_pct,slo_all_count,slo_warm_admitted_count,source_directory
C1_fixed_s2_seed7,C1,fixed,2,6.512820512820513,8.667543127021338,4,4,,128.0,1024,183.107584,23.363359736359623,7.83738238276731,False,False,20.0,512,28.114944,2.6954996812791867,10.430327332354818,True,True,7,baseline,2000.0,4000.0,5912.52837116153,True,True,True,True,True,True,944,85.64970344957749,100.0,71.29940689915496,80.9322033898305,74.67532467532467,79.39089421965494,4823.5664319922835,807,753.317967577585,126,39.502972496488354,73.07083886048852,0.0,4870.296746442797,82.37248839595868,39.099241501928475,73.07083886048852,0.0,284.54773251463115,4.812623545326533,85.64970344957749,2042.1112712732465,328,253.93617679435647,42,39.502972496488354,73.07083886048852,0.0,2000.0,100.0,39.099241501928475,73.07083886048852,0.0,109.61242791599307,5.480621395799654,944,308,/workspace/scratch/351ecd930597/xy_underload_experiments/results/C1_fixed_s2_seed7/baseline
C1_fixed_s2_seed7,C1,fixed,2,6.512820512820513,8.667543127021338,4,4,,128.0,1024,183.107584,23.363359736359623,7.83738238276731,False,False,20.0,512,28.114944,2.6954996812791867,10.430327332354818,True,True,7,once,2000.0,4000.0,5009.350076975904,True,True,True,True,True,True,944,95.1578141120359,99.99999999999997,90.31562822407174,100.0,100.0,93.70495319204491,1621.0919764914156,1298,296.3948883787259,171,39.796102939938365,73.0708388604886,0.0,4876.262160842797,97.34320991569727,39.528658649365155,73.07083886048852,0.0,66.885431006852,1.335211753601978,95.1578141120359,672.2763887219262,523,102.4733533523331,76,39.731846991870825,73.07083886048858,0.0,2000.0,100.0,38.96291423206612,73.07083886048852,0.0,20.301571857575937,1.0150785928787969,944,381,/workspace/scratch/351ecd930597/xy_underload_experiments/results/C1_fixed_s2_seed7/once
C2_fixed_s3_seed7,C2,fixed,3,4.0476190476190474,3.1752500469684772,3,5,,128.0,512,183.82848,11.755196923775936,15.638060441862145,False,False,32.0,512,45.416448,3.7021326666852694,12.267644649445787,False,False,7,baseline,2000.0,4000.0,4793.251181686827,True,True,False,False,True,True,912,96.55054610200105,99.99999999999876,94.4808737632016,100.0,100.0,95.13679264779458,1128.1520191571362,1712,191.94961932255276,253,40.57228508267143,108.25240457281538,32.19752235412966,4614.669537320178,96.27431074238419,40.16940187546092,108.25240457281538,0.8689039104810945,278.9726459216572,5.820113224767034,96.55054610200105,482.8382786380646,743,69.07434504176604,108,40.03758223055578,108.25240457281538,0.41181183999105997,2000.0,100.0,39.53812633728123,108.25240457281538,0.0,120.49539787034018,6.024769893517009,912,383,/workspace/scratch/351ecd930597/xy_underload_experiments/results/C2_fixed_s3_seed7/baseline
C2_fixed_s3_seed7,C2,fixed,3,4.0476190476190474,3.1752500469684772,3,5,,128.0,512,183.82848,11.755196923775936,15.638060441862145,False,False,32.0,512,45.416448,3.7021326666852694,12.267644649445787,False,False,7,once,2000.0,4000.0,4617.701005000178,True,True,False,False,True,True,912,99.4102872924803,99.99999999999876,99.05645966796853,100.0,100.0,98.7535882654919,208.2053838955161,367,72.37351858422217,63,40.16940187546089,108.25240457281538,7.605358474390641,4578.005651689977,99.14036544879761,39.201942525581714,108.25240457281538,0.0,8.499411831919959,0.1840615454035797,99.4102872924803,87.6371363331441,160,6.716896870007986,19,39.59028387404513,108.25240457281538,0.0,2000.0,100.0,39.201942525581714,108.25240457281538,0.0,4.592291944903991,0.22961459724519956,912,398,/workspace/scratch/351ecd930597/xy_underload_experiments/results/C2_fixed_s3_seed7/once
C2_fixed_s4_seed7,C2,fixed,4,4.0476190476190474,3.1752500469684772,3,5,,128.0,512,183.82848,11.755196923775936,15.638060441862145,False,False,32.0,512,45.416448,3.7021326666852694,12.267644649445787,False,False,7,baseline,2000.0,4000.0,4613.132126600179,True,True,True,True,True,True,912,99.43242897020721,99.99999999999882,99.09188635233154,100.0,100.0,98.85139451165315,207.39546804620517,578,54.61378215761616,91,30.598333877138206,108.25240457281535,0.0,0.0,0.0,30.59833387713823,108.25240457281538,0.0,0.0,0.0,99.43242897020721,79.2131555260612,235,11.598209240784854,32,30.598333877138227,108.25240457281537,0.0,0.0,0.0,30.59833387713823,108.25240457281538,0.0,0.0,0.0,912,398,/workspace/scratch/351ecd930597/xy_underload_experiments/results/C2_fixed_s4_seed7/baseline
C2_fixed_s4_seed7,C2,fixed,4,4.0476190476190474,3.1752500469684772,3,5,,128.0,512,183.82848,11.755196923775936,15.638060441862145,False,False,32.0,512,45.416448,3.7021326666852694,12.267644649445787,False,False,7,once,2000.0,4000.0,4614.722603400179,True,True,True,True,True,True,912,100.0,99.99999999999883,100.0,100.0,100.0,98.81732510745914,3.3312409221279804,8,35.7456270399997,8,30.498284783871597,108.25240457281541,0.0,0.0,0.0,27.562875151446836,108.25240457281535,0.0,0.0,0.0,100.0,0.0,0,0.0,0,30.49828478387159,108.25240457281538,0.0,0.0,0.0,26.95341240138793,95.98475992336958,0.0,0.0,0.0,912,398,/workspace/scratch/351ecd930597/xy_underload_experiments/results/C2_fixed_s4_seed7/once
D1_fixed_s1_seed7,D1,fixed,1,3.9365079365079363,25.125335469308776,6,2,,128.0,4096,178.782208,93.01732520235409,1.9220312733253628,False,False,32.0,512,45.416448,3.7021326666852694,12.267644649445787,False,False,7,baseline,2000.0,4000.0,6006.468425829428,True,True,True,True,True,True,354,93.83704717631996,100.0,75.34818870527985,64.40677966101694,65.0,93.19426672830204,2563.6053604492863,116,558.4269661771075,24,36.06747693884375,36.06747693884375,0.0,5982.178043030671,99.59559626261745,36.067476938843754,36.067476938843754,0.0,943.5767323116538,15.709343085098396,93.83704717631996,849.1350281129685,39,136.93742367583764,6,36.06747693884375,36.06747693884375,0.0,2000.0,100.0,36.067476938843754,36.067476938843754,0.0,304.65516195010173,15.232758097505087,354,120,/workspace/scratch/351ecd930597/xy_underload_experiments/results/D1_fixed_s1_seed7/baseline
D1_fixed_s1_seed7,D1,fixed,1,3.9365079365079363,25.125335469308776,6,2,,128.0,4096,178.782208,93.01732520235409,1.9220312733253628,False,False,32.0,512,45.416448,3.7021326666852694,12.267644649445787,False,False,7,once,2000.0,4000.0,6006.3280590306795,True,True,True,True,True,True,354,97.5424527701729,100.0,90.1698110806916,100.0,100.0,93.19644466143413,867.4278501988007,833,426.378532270905,123,36.06747693884375,36.06747693884375,0.0,5009.1189053509825,83.39735785526457,36.06747693884375,36.06747693884375,0.0,304.9495920997779,5.077138463012818,97.5424527701729,352.93892765686564,326,40.26862911547005,47,36.06747693884375,36.06747693884375,0.0,2000.0,100.0,36.06747693884375,36.06747693884375,0.0,123.86511703254428,6.193255851627214,354,140,/workspace/scratch/351ecd930597/xy_underload_experiments/results/D1_fixed_s1_seed7/once
D2_fixed_s1_seed7,D2,fixed,1,6.222222222222222,38.176856694330034,6,2,,200.0,4096,282.591232,141.33578827944143,1.9994315342217222,False,False,32.0,512,45.416448,3.7021326666852694,12.267644649445787,False,False,7,baseline,2000.0,4000.0,6092.4512727233605,True,True,True,True,True,True,336,93.20049372701004,99.99999999999987,72.80197490804024,76.78571428571429,74.54545454545455,88.18989276851846,2767.9895150606353,75,619.4366269536491,17,36.53187850422191,36.53187850422191,0.0,5698.072114857673,93.52675729010144,36.53187850422191,36.53187850422191,0.0,1048.733598412726,17.213655907401883,93.20049372701004,973.2082839747102,27,114.7127197036807,3,36.53187850422191,36.53187850422191,0.0,2000.0,100.0,36.5318785042219,36.5318785042219,0.0,368.7870864654383,18.439354323271914,336,110,/workspace/scratch/351ecd930597/xy_underload_experiments/results/D2_fixed_s1_seed7/baseline
D2_fixed_s1_seed7,D2,fixed,1,6.222222222222222,38.176856694330034,6,2,,200.0,4096,282.591232,141.33578827944143,1.9994315342217222,False,False,32.0,512,45.416448,3.7021326666852694,12.267644649445787,False,False,7,once,2000.0,4000.0,5737.036543657688,True,True,True,True,True,True,336,97.28593548085126,99.99999999999984,89.14374192340513,100.0,100.0,93.65333833072327,1009.5612858112335,863,659.2997276895999,131,36.53187850422191,36.53187850422191,0.0,5108.690932733224,89.04755780893358,36.53187850422191,36.53187850422191,0.0,241.84760670859703,4.215549349706694,97.28593548085126,383.2645115234891,338,50.985811540305804,43,36.53187850422191,36.53187850422191,0.0,2000.0,100.0,36.53187850422191,36.53187850422191,0.0,95.29026407351284,4.764513203675643,336,132,/workspace/scratch/351ecd930597/xy_underload_experiments/results/D2_fixed_s1_seed7/once
