group,id,A_request,B_request,input_A_B,npu_count,ssu_count,x,y,baseline_warm_npu_utilization_pct,baseline_full_slo1_pct,baseline_full_slo15_pct,baseline_warm_slo15_seedmean_pct,once_warm_npu_utilization_pct,once_full_slo1_pct,once_full_slo15_pct,once_warm_slo15_seedmean_pct
1,XY12_32,200K/3564,32K/1455,1:12,8,1,6.426595982499282,11.999052257267367,99.74081728469442,78.52564102564102,100.0,100.0,99.84527921419148,90.625,100.0,100.0
2,XY12_24,200K/2645,24K/1325,1:12,8,1,8.694464754204121,11.99828963422271,98.27991793108485,48.91025641025641,100.0,100.0,99.12906510206834,78.3974358974359,100.0,100.0
3,XY12_20,200K/2189,20K/1236,1:12,8,1,10.528528372479736,12.001018992584243,95.02517191117067,28.076923076923077,99.1025641025641,98.57142857142857,98.61662649714422,70.64102564102565,100.0,100.0
4,XY12_16,200K/1735,16K/1122,1:12,8,1,13.305267985847204,11.99841595949782,90.82923258259471,6.623931623931624,93.42948717948718,94.86526168111847,97.68899918773782,65.4380341880342,99.67948717948718,100.0
5,X16,200K/2048,16K/1122,1:12,8,1,13.284759533481852,14.15772329214862,92.55579185371003,9.56196581196581,95.88675213675214,95.13355071366121,98.32526642731848,72.91666666666666,99.73290598290599,100.0
