case,group,id,strategy,scope,npu_count,ssu_count,A_request,B_request,input_A_B,seeds,warm_window_s,warm_npu_utilization_pct,full_request_count,full_slo1_pct,full_slo15_pct,warm_admitted_request_count,warm_slo1_pooled_pct,warm_slo15_pooled_pct,warm_slo1_seedmean_pct,warm_slo15_seedmean_pct,full_mean_ttft_ms,x,y,A_demand_GB_s,B_demand_GB_s,full_nominal_fleet_demand_seedmean_GB_s,physical_disk_bandwidth_utilization_pct,strict_underload,single_A_blocking_and_underload,utilization_source,slo_source,full_disk_utilization_seedmean_pct,disk_utilization_cohort
continuous_underload_AB5,3,XY12_20,baseline,B,8,1,200K/2189,20K/1236,1:12,7;19;43,2-4,90.25386042343757,1440,30.069444444444443,99.02777777777779,404,24.00990099009901,98.51485148514851,23.984422714016127,98.39999999999999,54.90372458051042,10.528528372479736,12.001018992584243,3.773453178279105,4.3011978177809755,32.05117686579671,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,,
continuous_underload_AB5,3,XY12_20,once,all,8,1,200K/2189,20K/1236,1:12,7;19;43,2-4,98.61662649714422,1560,70.64102564102565,100.0,463,74.94600431965442,100.0,74.90277777777777,100.0,94.55869851798747,10.528528372479736,12.001018992584243,3.773453178279105,4.3011978177809755,32.09452666613279,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,78.95555729055467,entire finite run incl cold start and drain; mean of seed ratios
continuous_underload_AB5,3,XY12_20,once,A,8,1,200K/2189,20K/1236,1:12,7;19;43,2-4,98.27109837085705,120,4.166666666666666,100.0,42,4.761904761904762,100.0,5.128205128205129,100.0,615.2650217787386,10.528528372479736,12.001018992584243,3.773453178279105,4.3011978177809755,32.09452666613279,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,,
continuous_underload_AB5,3,XY12_20,once,B,8,1,200K/2189,20K/1236,1:12,7;19;43,2-4,99.05020112349182,1440,76.18055555555556,100.0,421,81.94774346793349,100.0,81.97228144989339,100.0,51.166504912924864,10.528528372479736,12.001018992584243,3.773453178279105,4.3011978177809755,32.09452666613279,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,,
continuous_underload_AB5,4,XY12_16,baseline,all,8,1,200K/1735,16K/1122,1:12,7;19;43,2-4,90.82923258259471,1872,6.623931623931624,93.42948717948718,596,7.2147651006711415,94.96644295302013,7.280643815170669,94.86526168111847,81.68263961777394,13.305267985847204,11.99841595949782,4.7691269029733245,4.300700174274767,35.77910320808252,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,81.17156293472434,entire finite run incl cold start and drain; mean of seed ratios
continuous_underload_AB5,4,XY12_16,baseline,A,8,1,200K/1735,16K/1122,1:12,7;19;43,2-4,99.22686031092951,144,4.861111111111112,100.0,42,9.523809523809524,100.0,9.027777777777777,100.0,484.6318933505352,13.305267985847204,11.99841595949782,4.7691269029733245,4.300700174274767,35.77910320808252,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,,
continuous_underload_AB5,4,XY12_16,baseline,B,8,1,200K/1735,16K/1122,1:12,7;19;43,2-4,83.80911510934324,1728,6.770833333333333,92.88194444444444,554,7.039711191335741,94.58483754512635,7.093325028547701,94.44582857538323,48.10353514004384,13.305267985847204,11.99841595949782,4.7691269029733245,4.300700174274767,35.77910320808252,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,,
continuous_underload_AB5,4,XY12_16,once,all,8,1,200K/1735,16K/1122,1:12,7;19;43,2-4,97.68899918773782,1872,65.4380341880342,99.67948717948718,637,63.108320251177396,100.0,63.307453034456266,100.0,75.77063411756141,13.305267985847204,11.99841595949782,4.7691269029733245,4.300700174274767,36.07559574347714,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,87.81566764084428,entire finite run incl cold start and drain; mean of seed ratios
continuous_underload_AB5,4,XY12_16,once,A,8,1,200K/1735,16K/1122,1:12,7;19;43,2-4,97.34136471223337,144,4.861111111111112,100.0,47,8.51063829787234,100.0,7.777777777777777,100.0,494.37878528160695,13.305267985847204,11.99841595949782,4.7691269029733245,4.300700174274767,36.07559574347714,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,,
continuous_underload_AB5,4,XY12_16,once,B,8,1,200K/1735,16K/1122,1:12,7;19;43,2-4,98.09765303026767,1728,70.48611111111111,99.65277777777779,590,67.45762711864407,100.0,67.76448485983217,100.0,40.88662152055762,13.305267985847204,11.99841595949782,4.7691269029733245,4.300700174274767,36.07559574347714,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,,
continuous_underload_AB5,5,X16,baseline,all,8,1,200K/2048,16K/1122,1:12,7;19;43,2-4,92.55579185371003,1872,9.56196581196581,95.88675213675214,535,9.345794392523365,95.14018691588785,9.3411887887026,95.13355071366121,86.91162109005099,13.284759533481852,14.15772329214862,4.0355194448904195,4.300700174274767,33.003217837334375,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,76.17926174555625,entire finite run incl cold start and drain; mean of seed ratios
continuous_underload_AB5,5,X16,baseline,A,8,1,200K/2048,16K/1122,1:12,7;19;43,2-4,99.34443227737556,144,4.861111111111112,100.0,39,7.6923076923076925,100.0,7.326007326007326,100.0,570.1691824476786,13.284759533481852,14.15772329214862,4.0355194448904195,4.300700174274767,33.003217837334375,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,,
continuous_underload_AB5,5,X16,baseline,B,8,1,200K/2048,16K/1122,1:12,7;19;43,2-4,85.18872357350317,1728,9.953703703703704,95.54398148148148,496,9.475806451612904,94.75806451612904,9.442533608351235,94.75427993639914,46.64015764358202,13.284759533481852,14.15772329214862,4.0355194448904195,4.300700174274767,33.003217837334375,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,,
continuous_underload_AB5,5,X16,once,all,8,1,200K/2048,16K/1122,1:12,7;19;43,2-4,98.32526642731848,1872,72.91666666666666,99.73290598290599,569,74.86818980667839,100.0,74.97467556386717,100.0,82.09627997923234,13.284759533481852,14.15772329214862,4.0355194448904195,4.300700174274767,32.99637070648144,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,80.82529276657338,entire finite run incl cold start and drain; mean of seed ratios
continuous_underload_AB5,5,X16,once,A,8,1,200K/2048,16K/1122,1:12,7;19;43,2-4,98.04922547454548,144,4.861111111111112,100.0,42,9.523809523809524,100.0,9.706959706959706,100.0,578.925624540021,13.284759533481852,14.15772329214862,4.0355194448904195,4.300700174274767,32.99637070648144,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,,
continuous_underload_AB5,5,X16,once,B,8,1,200K/2048,16K/1122,1:12,7;19;43,2-4,98.6819028690793,1728,78.58796296296296,99.71064814814815,527,80.07590132827325,100.0,80.17735897425881,100.0,40.693834599166614,13.284759533481852,14.15772329214862,4.0355194448904195,4.300700174274767,32.99637070648144,,True,True,xy_underload_data_code_recovered/outputs/paired_summary.csv,ttft_slo_cdf_bundle/cdf_requests.csv.gz,,
