label,a_run,C_A_ms,C_B_ms,U_percent,warm_under,initial_4s_under,mixed_cards,all_active,valid,max_initial_demand,min_A_compute_ms,min_B_compute_ms,wall_seconds,source_unchanged
larger180_grid_06,14,4.029030293797608,79.48894933249836,96.11498407926086,True,True,32,True,True,38.907011284887155,127.02780880410364,1425.16717341001,75.128440822009,True
larger180_grid_05,13,4.27824866248612,76.48936633881918,96.13215418203134,True,True,32,True,True,38.41879038179189,267.0249588356778,1420.6679211374112,73.68274115910754,True
larger180_grid_04,13,4.195175872923283,76.48936633881918,96.60146458283876,True,True,32,True,True,38.8041241146539,258.3546417078451,1481.7380167084611,76.57602483034134,True
larger180_grid_02,12,4.4443942416117945,73.48978334514,96.72204207457241,True,True,32,True,True,38.46519248036052,293.3300199463845,1472.4307768576755,74.92650534398854,True
larger180_grid_01,12,4.361321452048958,73.48978334514,96.95596726464562,True,True,32,True,True,38.82199059544406,281.1624315503018,1519.8623785393797,78.77798171900213,True
larger180_grid_09,13,4.4443942416117945,76.48936633881918,96.97611589915608,True,False,32,True,False,50.10342666527852,293.3300199463865,1405.2279775818652,74.2634964180179,True
larger180_grid_03,13,4.112103083360445,76.48936633881918,97.00384667111639,True,True,32,True,True,39.20502688722752,251.94893774132925,1511.1572400516243,77.33064209064469,True
larger180_grid_00,12,4.27824866248612,73.48978334514,97.10622824773257,True,True,32,True,True,39.192644948006574,258.6001249614794,1505.736134011384,79.35654125362635,True
larger180_grid_08,12,4.652076215518888,73.48978334514,98.05051251957877,True,False,32,True,False,43.2878927215505,259.47290661356215,1462.0284393060806,74.86954297311604,True
larger180_grid_07,14,4.153639478141864,79.48894933249836,98.64854573035416,True,True,32,True,True,38.28712053906804,145.3773817349679,1501.09109211563,76.25326445000246,True
