policy,window,seed_count,requests,NPU_utilization_percent,SLO1_percent,SLO1_5_percent,TTFT_mean_ms,any_disk_over40_percent,SSU0_mean_demand_GiB_s,SSU0_over40_percent,SSU0_mean_supply_GiB_s,SSU1_mean_demand_GiB_s,SSU1_over40_percent,SSU1_mean_supply_GiB_s,SSU2_mean_demand_GiB_s,SSU2_over40_percent,SSU2_mean_supply_GiB_s,fleet_mean_supply_GiB_s,bandwidth_utilization_percent
Baseline Random,warm_2_4s,3,503,99.2496951359433,76.16270569835442,96.19815041479667,376.7424787162806,25.032201050980188,36.07999280711945,25.032201050980188,34.470397435191906,36.08452837638572,25.032201050980188,34.474845372203625,36.079103508495415,25.032201050980188,34.46994984404608,103.4151926514416,86.17932720953466
流量分配 Random,warm_2_4s,3,509,99.40120592040962,84.57698061411762,100.0,370.1610576041814,17.9372396709049,34.752248218587106,17.9372396709049,34.56248954600671,34.75602746431152,17.9372396709049,34.56674166189213,34.751964324781916,17.9372396709049,34.562069929307484,103.69130113720632,86.40941761433861
Baseline Random,warm_2_6s,3,1042,99.28190616303887,76.45507740846723,96.08593501601977,366.9076500522081,25.709471310868533,36.018116227358455,25.709471310868533,34.332250918404156,36.020261848359105,25.709471310868533,34.33449770838547,36.01767950561137,25.674338369860394,34.332125700061056,102.99887432685068,85.83239527237558
流量分配 Random,warm_2_6s,3,1047,99.45183888089902,84.7996172467574,99.90393852065323,364.5591923340473,19.636796796331264,34.739552076173474,19.636796796331264,34.49422057717291,34.741668965443424,19.618428640870174,34.49665468736172,34.739395561910875,19.636796796331264,34.49430516717942,103.48518043171404,86.2376503597617
Baseline Random,full_population,3,4032,97.16393654471284,71.20535714285715,93.72519841269842,360.9321540062609,29.775675804849797,37.21038232068398,29.73394897039219,,37.21215545829972,29.775675804849797,,37.20931198371585,29.766550622649536,,,
流量分配 Random,full_population,3,4032,97.30025722418007,80.15873015873017,98.8343253968254,360.545040520079,21.707616411178833,34.94621989138158,21.70583896312445,,34.947837166020406,21.702831425607627,,34.94573844229737,21.667334922123768,,,
