category,baseline_count,baseline_SLO1_5_percent,baseline_active_U_percent,流量分配_count,流量分配_SLO1_5_percent,流量分配_active_U_percent
SS,32,61.111111111111114,61.63609193553259,32,100.0,99.2732745661937
SL,200,100.0,99.69928287983039,207,100.0,99.98114705100647
LS,33,80.73593073593072,79.65141273722305,34,100.0,98.96787720200446
LL,238,100.0,99.88788414639686,236,100.0,99.23514116659972
