seed,depth_per_npu,variant,warm_U_percent,warm_SLO15_percent,warm_admitted_requests,warm_SLO15_hits,warm_SSD0_GiB_s,warm_SSD1_GiB_s,warm_SSD2_GiB_s,full_U_percent,full_SLO15_percent,makespan_ms,SSD0_peak_outstanding,SSD1_peak_outstanding,SSD2_peak_outstanding,wall_seconds,timing_equal_to_old,request_metrics_equal_to_old,maximum_timing_error_ms,blocked_state_episodes,host_blocked_submission_state_ms,activation_to_enqueue_block_mean_ms,enqueue_to_hbm_block_mean_ms,activation_to_hbm_block_mean_ms
7,,od_unlimited,62.20176390157616,37.0,200,74,40.0,40.0,40.0,64.1665755064656,45.38690476190476,13386.559433791463,9485,9511,9469,297.83356204722077,True,True,0,0,0,,,
7,256,od_depth256,62.20176390157616,37.0,200,74,40.0,40.0,40.0,64.1665755064656,45.38690476190476,13386.559433791463,6828,6848,6819,483.1262707160786,True,False,0,2795005,283296.3367698084,3.1982010672626826,15.685343027154637,18.883544094133583
19,256,od_depth256,63.166880545124066,40.7035175879397,199,81,40.0,40.0,40.0,64.09097931368706,44.642857142857146,13402.349065006882,7152,7145,7150,479.5278110750951,True,False,0,2795116,279026.2059625638,3.1520717667686178,15.456498242948413,18.608570009817328
43,256,od_depth256,62.21357348725325,39.037433155080215,187,73,40.0,40.0,40.0,63.93968560915734,45.833333333333336,13434.061623805504,6469,6470,6468,480.72207003319636,True,False,0,2794707,278518.319745891,3.1448675496534366,15.462922021518676,18.607789571236403
