policy,npu,U_percent,stall_ms,demand_mean_gib_s,ssd_mean_gib_s,link_mean_gib_s,ssd_MiB,link_MiB,deadline_layer_count,late_layer_count,stalled_layers_with_ssd_stall_mean_above_budget,deadline_payload_MiB,ssd_deficit_at_deadlines_MiB,link_deficit_at_deadlines_MiB
baseline,31,85.07850845055049,119.3719323955961,5.770647160289145,4.973297119140625,4.973297119140625,4074.125,4074.125,92,15,4,4009.5,683.375,683.375
once,0,100.0,0.0,5.618581822497836,5.5548858642578125,5.5548858642578125,4550.5625,4550.5625,31,0,0,4610.375,0.0,0.0
once,1,100.0,0.0,5.618581822497837,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
once,2,100.0,0.0,5.618581822497837,5.664554420172772,5.664443134730931,4640.4029810055345,4640.311815971579,31,0,0,4610.375,0.0,0.0
once,3,100.0,0.0,5.618581822497836,5.554676055908203,5.554676055908203,4550.390625,4550.390625,31,0,0,4610.375,0.0,0.0
once,4,100.0,0.0,5.618581822497837,5.5548858642578125,5.5548858642578125,4550.5625,4550.5625,31,0,0,4610.375,0.0,0.0
once,5,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
once,6,100.0,0.0,5.618581822497836,5.659370422363281,5.659370422363281,4636.15625,4636.15625,31,0,0,4610.375,0.0,0.0
once,7,100.0,0.0,5.618581822497836,5.662357588839472,5.662527407497095,4638.603336777296,4638.74245222162,31,0,0,4610.375,0.0,0.0
once,8,100.0,0.0,5.618581822497836,5.573978424072266,5.573978424072266,4566.203125,4566.203125,31,0,0,4610.375,0.0,0.0
once,9,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
once,10,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
once,11,100.0,0.0,5.618581822497837,5.668422030978104,5.668368119820457,4643.571327777263,4643.5271637569185,31,0,0,4610.375,0.0,0.0
once,12,100.0,0.0,5.618581822497837,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
once,13,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
once,14,100.0,0.0,5.618581822497836,5.656221935770077,5.6569434246564185,4633.577009782847,4634.168053478538,31,0,0,4610.375,0.0,0.0
once,15,100.0,0.0,5.618581822497836,5.6656646728515625,5.6656646728515625,4641.3125,4641.3125,31,0,0,4610.375,0.0,0.0
once,16,100.0,0.0,5.735792789428713,5.72357177734375,5.72357177734375,4688.75,4688.75,109,0,0,4646.125,0.0,0.0
once,17,99.94697354153675,0.42421166770600394,5.735792789428713,5.738048553466797,5.738048553466797,4700.609375,4700.609375,110,1,1,4688.75,8.421875,8.426933636516331
once,18,99.94483897768099,0.44128817855198577,5.735792789428713,5.749003437228135,5.749172005885754,4709.583615777287,4709.72170722161,110,1,1,4688.75,14.4375,14.4375
once,19,100.0,0.0,5.735792789428713,5.72357177734375,5.72357177734375,4688.75,4688.75,109,0,0,4646.125,0.0,0.0
once,20,99.87541199553652,0.9967040357078076,5.735792789428713,5.739307403564453,5.739307403564453,4701.640625,4701.640625,110,1,1,4688.75,29.21875,29.21875
once,21,100.0,0.0,5.735792789428713,5.749378204345703,5.749378204345703,4709.890625,4709.890625,110,0,0,4688.75,0.0,0.0
once,22,100.0,0.0,5.735792789428713,5.72357177734375,5.72357177734375,4688.75,4688.75,109,0,0,4646.125,0.0,0.0
once,23,100.0,0.0,5.735792789428713,5.72357177734375,5.72357177734375,4688.75,4688.75,109,0,0,4646.125,0.0,0.0
once,24,100.0,0.0,5.735792789428713,5.741154467780234,5.740985870361328,4703.153740005568,4703.015625,110,0,0,4688.75,0.0,0.0
once,25,100.0,0.0,5.735792789428713,5.733478945332808,5.726142868050488,4696.8659520166375,4690.85623750696,110,0,0,4688.75,0.0,0.0
once,26,99.93887344437104,0.4890124450316762,5.735792789428713,5.72357177734375,5.72357177734375,4688.75,4688.75,109,1,1,4646.125,12.375,12.375
once,27,99.94894846573561,0.4084122741151077,5.86214694285917,5.948486328125,5.948486328125,4873.0,4873.0,103,1,1,4786.375,13.410575747787952,13.578125
once,28,99.40614214482713,4.750862841382968,6.180349322456382,6.448114707708191,6.450391462367662,5282.29556855455,5284.1606859715885,88,2,2,5071.0,111.890625,111.890625
once,29,99.81218310937209,1.5025351250233143,6.469565138466817,6.476783752441406,6.476783752441406,5305.78125,5305.78125,74,1,1,5266.25,72.98121544193475,76.9297984011937
once,30,100.0,0.0,6.4662897884428325,6.480560302734375,6.480560302734375,5308.875,5308.875,74,0,0,5266.25,0.0,0.0
once,31,100.0,0.0,6.444490625296056,6.4251708984375,6.4251708984375,5263.5,5263.5,75,0,0,5220.875,0.0,0.0
