policy,npu,U_percent,stall_ms,demand_mean_gib_s,ssd_mean_gib_s,link_mean_gib_s,ssd_MiB,link_MiB,deadline_layer_count,late_layer_count,stalled_layers_with_ssd_stall_mean_above_budget,deadline_payload_MiB,ssd_deficit_at_deadlines_MiB,link_deficit_at_deadlines_MiB
baseline,0,100.0,0.0,5.618581822497837,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,1,100.0,0.0,5.618581822497837,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,2,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,3,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,4,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,5,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,6,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,7,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,8,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,9,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,10,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,11,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,12,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,13,100.0,0.0,5.618581822497837,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,14,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,15,100.0,0.0,5.618581822497836,5.627899169921875,5.627899169921875,4610.375,4610.375,30,0,0,4369.75,0.0,0.0
baseline,16,92.79568515836746,57.634518733060304,6.480639002152502,6.064300537109375,6.064300537109375,4967.875,4967.875,66,7,2,4925.25,496.375,496.375
baseline,17,87.31018287908688,101.51853696730495,6.473346106253785,5.752105712890625,5.752105712890625,4712.125,4712.125,60,12,2,4669.5,533.5,533.5
baseline,18,87.70491676950826,98.36066584393393,6.382371050462269,5.530548095703125,5.572361256960988,4530.625,4564.8783417024415,65,13,5,4574.625,642.125,642.125
baseline,19,87.30368355486331,101.5705315610935,5.932580711904013,4.71649169921875,4.801179800207365,3863.75,3933.126492329873,86,12,2,4061.75,511.5,511.5
baseline,20,84.27755005318255,125.77959957453959,5.735792789428713,4.839019775390625,4.839019775390625,3964.125,3964.125,92,15,3,3921.5,639.375,639.375
baseline,21,84.25613710152237,125.95090318782104,5.735792789428713,4.839019775390625,4.839019775390625,3964.125,3964.125,92,16,4,3921.5,660.34375,660.4102119011106
baseline,22,84.25606969734764,125.95144242121887,5.735792789428713,4.839019775390625,4.839019775390625,3964.125,3964.125,92,16,3,3921.5,639.375,649.1043106511003
baseline,23,84.25611969734774,125.95104242121806,5.735792789428713,4.7869873046875,4.821179117344769,3921.5,3949.509932928835,92,16,3,3921.5,639.375,649.1247906511417
baseline,24,84.27846919075574,125.77224647395406,5.735792789428713,4.839019775390625,4.839019775390625,3964.125,3964.125,92,15,3,3921.5,639.375,639.375
baseline,25,84.72026821870713,122.23785425034293,5.735792789428713,4.839019775390625,4.839019775390625,3964.125,3964.125,92,17,5,3921.5,660.34375,670.6121788022108
baseline,26,84.23494645821182,126.12042833430542,5.735792789428713,4.839019775390625,4.839019775390625,3964.125,3964.125,92,15,3,3921.5,639.375,639.375
baseline,27,84.2556924848231,125.9544601214152,5.735792789428713,4.8043010840556235,4.831959247349602,3935.6834480583666,3958.3410154287935,92,17,4,3921.5,666.53125,676.2656806511106
baseline,28,84.25659421822166,125.94724625422668,5.735792789428713,4.839019775390625,4.839019775390625,3964.125,3964.125,92,15,3,3921.5,639.375,639.375
baseline,29,84.23451434151258,126.12388526789937,5.735792789428713,4.839019775390625,4.839019775390625,3964.125,3964.125,92,16,4,3921.5,663.4375,663.4375
baseline,30,84.25611969734774,125.95104242121806,5.735792789428713,4.839019775390625,4.839019775390625,3964.125,3964.125,92,16,3,3921.5,639.375,649.1196706511313
