policy,request_id,layer,npu,role,profile,release_ms,deadline_ms,ready_ms,compute_start_ms,payload_MiB,budget_C_ms,budget_gib_s,stall_ms,own_D_over_C_gib_s,display_cohort,deadline_inside_display,ssd_before_deadline_MiB,link_before_deadline_MiB,ssd_deficit_at_deadline_MiB,link_deficit_at_deadline_MiB,ssd_mean_during_budget_gib_s,link_mean_during_budget_gib_s,ssd_mean_during_stall_gib_s,link_mean_during_stall_gib_s
baseline,13,4,0,long,176K/1024,3207.0858107543627,3238.502229809381,3222.8148291460493,3238.502229809381,240.625,31.416419055018245,7.4796987890625,0.0,7.479698789062499,True,True,240.625,240.625,0.0,0.0,7.4796987890625,7.4796987890625,,
baseline,13,5,0,long,176K/1024,3238.502229809381,3269.918648864399,3254.1761635444436,3269.918648864399,240.625,31.416419055018245,7.4796987890625,0.0,7.479698789062499,True,True,240.625,240.625,0.0,0.0,7.4796987890625,7.4796987890625,,
baseline,13,6,0,long,176K/1024,3269.918648864399,3301.3350679194173,3286.253016780454,3301.3350679194173,240.625,31.416419055018245,7.4796987890625,0.0,7.479698789062499,True,True,240.625,240.625,0.0,0.0,7.4796987890625,7.4796987890625,,
baseline,13,7,0,long,176K/1024,3301.3350679194173,3332.7514869744355,3316.8260379877765,3332.7514869744355,240.625,31.416419055018245,7.4796987890625,0.0,7.479698789062499,True,True,240.625,240.625,0.0,0.0,7.4796987890625,7.4796987890625,,
baseline,14,0,0,short,64K/1024,3332.7514869744355,3364.1679060294537,3338.328697654725,3364.1679060294537,86.625,31.416419055018245,2.6926915640624998,0.0,6.700073140502931,True,True,86.625,86.625,0.0,0.0,2.6926915640624998,2.6926915640624998,,
baseline,14,1,0,short,64K/1024,3364.1679060294537,3376.793846789878,3369.6299369864846,3376.793846789878,86.625,12.625940760424301,6.70007314050293,0.0,6.700073140502931,True,True,86.625,86.625,0.0,0.0,6.70007314050293,6.70007314050293,,
baseline,14,2,0,short,64K/1024,3376.793846789878,3389.4197875503023,3383.3678010452204,3389.4197875503023,86.625,12.625940760424301,6.70007314050293,0.0,6.700073140502931,True,True,86.625,86.625,0.0,0.0,6.70007314050293,6.70007314050293,,
baseline,14,3,0,short,64K/1024,3389.4197875503023,3402.0457283107266,3394.8818185073333,3402.0457283107266,86.625,12.625940760424301,6.70007314050293,0.0,6.700073140502931,True,True,86.625,86.625,0.0,0.0,6.70007314050293,6.70007314050293,,
baseline,14,4,0,short,64K/1024,3402.0457283107266,3414.671669071151,3407.5077592677576,3414.671669071151,86.625,12.625940760424301,6.70007314050293,0.0,6.700073140502931,True,True,86.625,86.625,0.0,0.0,6.70007314050293,6.70007314050293,,
baseline,14,5,0,short,64K/1024,3414.671669071151,3427.2976098315753,3420.416622099799,3427.2976098315753,86.625,12.625940760424301,6.70007314050293,0.0,6.700073140502931,True,True,86.625,86.625,0.0,0.0,6.70007314050293,6.70007314050293,,
