A_key,B_key,A_C_ms,B_C_ms,A_V_MB,B_V_MB,A_B_GB_s,B_B_GB_s,x,y,ideal_min_S_any_mix,ideal_total_peak_GB_s,single_A_service_over_C_B,A_count_needed_ahead_of_B,heuristic_nA,heuristic_nB,no_stall_count_ratio_B_per_A,hypothetical_B_wait_ms,hypothetical_fleet_wait_scale,note
"[96, 512]","[64, 512]",9.070841799535495,6.386487182261469,137.691136,91.553792,15.179532290713192,14.335547756878235,1.5039370078740157,1.4203178587330212,7,242.87251665141108,0.0769991457132661,13,14,2,0.20290255124757445,0.49806961773853065,0.006863607986251564,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[128, 4096]","[64, 512]",93.01732520235409,6.386487182261469,178.782208,91.553792,1.9220312733253628,14.335547756878235,1.9527559055118109,14.564708664993587,6,229.36876411005176,0.11664093975412736,9,12,4,4.854902888331195,2.5526232177385317,0.006860612289660663,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[144, 128]","[112, 128]",3.5268362439928436,2.8557475535748824,207.437824,161.30048,58.81697069245071,56.482751704743926,1.2860335195530728,1.234995803315275,24,941.0715310792114,0.07566532496759808,14,15,1,0.08233305355435167,0.3854684464251177,0.006830988521966301,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[112, 1024]","[64, 128]",20.679003603055826,1.849114595189163,160.038912,92.094464,7.7391984194224115,49.80462770647203,1.7377690802348338,11.183192029772703,20,796.8740433035525,0.10818617760114277,10,13,3,2.5807366222552393,0.7515177248108373,0.006814137475231601,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[64, 2048]","[32, 256]",25.106517917176127,1.9974796959734433,89.391104,45.776896,3.5604739890610175,22.917327316156413,1.9527559055118109,12.569097932652989,10,366.6772370585026,0.11187986563792894,9,12,4,4.18969931088433,0.6842534240265568,0.0068135038307964475,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[176, 2048]","[48, 64]",62.68748809016086,0.9523222038962862,250.871808,69.115904,4.0019438590230525,72.57617612738888,3.6297262059973923,65.82592302655995,30,1161.218818038222,0.2195263736838881,5,10,6,39.49555381593596,1.1382761961037136,0.006809230781826295,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[144, 128]","[112, 64]",3.5268362439928436,1.623410848883137,207.437824,161.390592,58.81697069245071,99.41450872465981,1.2853154662199888,2.172485323982658,40,1590.632139594557,0.07986187851904204,13,14,2,0.31035504628323685,0.19167011111686305,0.0067932736969050205,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[192, 512]","[112, 64]",17.12390630166978,1.623410848883137,276.103168,161.390592,16.123842488736155,99.41450872465981,1.7107761027359016,10.548103897082227,40,1590.632139594557,0.10629747861961113,10,13,3,2.4341778224035906,0.619927391116863,0.006787959697202817,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[112, 4096]","[64, 4096]",82.27992809787469,50.06766996068876,155.713536,86.50752,1.892485076248166,1.7278119806238723,1.8,1.6433744203091092,1,30.279761219970656,0.07775153912807425,13,14,2,0.23476777432987275,4.432067639311242,0.006733215107515577,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[64, 256]","[48, 128]",3.3396570206571456,1.5135702759005252,91.91424,69.025792,27.522059729928195,45.604616514374854,1.3315926892950394,2.206476351862921,19,729.6738642299977,0.07990364993242813,13,14,2,0.3152109074089887,0.17958677673105372,0.006721752249566198,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[96, 2048]","[32, 64]",35.843938102938495,0.7845500408232926,135.528448,46.047232,3.78107024989225,58.69253661841489,2.943248532289628,45.68725541754419,24,939.0805858946383,0.17994450235260925,6,11,5,20.766934280701904,0.7683800925100408,0.006699006627558671,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[128, 64]","[96, 64]",1.7911829932095533,1.4556386842956937,184.459264,138.32192,102.98180850270045,95.02489971742311,1.3335504885993483,1.2305134595101888,42,1647.7089360432071,0.07542886990909146,14,15,1,0.08203423063401258,0.19131902999002048,0.006675721810505913,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[160, 256]","[112, 64]",7.366188833782921,1.623410848883137,230.326272,161.390592,31.268037949784066,99.41450872465981,1.4271356783919598,4.537476658389132,40,1590.632139594557,0.08867374521923173,12,14,2,0.6482109511984475,0.39194403111686293,0.0066510654281513185,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[160, 128]","[128, 128]",3.8623805178090707,3.1912918804865735,230.506496,184.369152,59.67990334902436,57.77257577952706,1.2502443792766373,1.210287451745146,24,954.8784535843897,0.07523941473404928,14,15,1,0.08068583011634307,0.41037211951342645,0.0066405309759945885,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
"[64, 512]","[48, 512]",6.386487182261469,5.044309980560046,91.553792,68.48512,14.335547756878235,13.576707272933378,1.336842105263158,1.266077462898584,6,229.36876411005176,0.07562464138870785,14,15,1,0.08440516419323893,0.6778020194399543,0.0066331654642100835,"Synchronized bulk enqueue heuristic, not a utilization bound or forecast; ideal equal striping."
