name,strategy,seed,S,B_per_A,A_miss,B_miss,warm_U_percent,warm_SLO1p5_percent,warm_mixed_cards,warm_missing_AB_cards,warm_all_cards_active,long_U_percent,long_SLO1p5_percent,long_mixed_cards,long_missing_AB_cards,long_all_cards_active,full_U_percent,full_SLO1p5_percent,full_mixed_cards,full_missing_AB_cards,full_all_cards_active,full_peak_single_ssu_GB_s,full_any_ssu_overload_ms,full_per_disk_peak_GB_s,full_per_disk_mean_GB_s,checks_pass
A200m1024_B32m1024_s4_r12_random_seed7,asu_baseline,7,4,2,1024,1024,99.87608801939537,100.0,16,,True,99.89712672272728,100.0,16,,True,99.6577888958296,100.0,16,,False,34.61294095294456,0.0,"[34.61294095294456, 33.47029114970112, 31.752416796672055, 31.022998788587532]","[31.592167988927624, 30.930180312721784, 29.26833122130484, 28.58531626329075]",True
A200m1024_B32m1024_s4_r13_random_seed7,asu_baseline,7,4,3,1024,1024,99.75500098053477,100.0,16,,True,99.89491632577028,100.0,16,,True,99.66823748183019,100.0,16,,False,33.98587123045174,0.0,"[33.72645464919243, 33.98587123045174, 31.942602626727933, 30.57463739198673]","[30.886119307637493, 30.248759163072794, 28.604915618987928, 27.870488035440758]",True
A200m1024_B32m1024_s4_r14_random_seed7,asu_baseline,7,4,4,1024,1024,99.88906320451402,100.0,16,,True,99.90873456171906,100.0,16,,True,99.65934164736021,100.0,16,,False,33.80430786714008,0.0,"[33.80430786714008, 33.10318193423154, 31.632423487881226, 30.291336350466008]","[30.37973072858117, 29.57974441016326, 28.09175613180547, 27.370000202117854]",True
A200m2048_B32m2048_s2_r12_random_seed7,asu_baseline,7,2,2,2048,2048,99.9934914319272,100.0,16,,True,99.96791790648753,100.0,16,,True,98.83008970773845,100.0,16,,False,32.742737314224534,0.0,"[32.742737314224534, 31.82557380402217]","[30.209206499456737, 29.17402475532868]",True
A200m2048_B32m2048_s2_r13_random_seed7,asu_baseline,7,2,3,2048,2048,99.95287062416523,100.0,16,,True,99.97627815536515,100.0,16,,True,99.05164110827542,100.0,16,,False,31.989628200783052,0.0,"[31.989628200783052, 30.957810623329088]","[29.511784209462963, 28.54887853459582]",True
A200m2048_B32m2048_s2_r14_random_seed7,asu_baseline,7,2,4,2048,2048,99.90649498306833,100.0,16,,True,99.95834746841645,100.0,16,,True,99.73772889600647,100.0,16,,False,31.9945197947781,0.0,"[31.9945197947781, 30.836698428329186]","[29.132877928611265, 28.03656785834665]",True
A200m4096_B32m4096_s1_r12_random_seed7,asu_baseline,7,1,2,4096,4096,99.93938556230316,100.0,13,"7,8,11",True,99.92220451722869,100.0,16,,True,99.47691747918974,100.0,16,,False,31.403370998346546,0.0,[31.403370998346546],[29.22193500719907],True
A200m4096_B32m4096_s1_r13_random_seed7,asu_baseline,7,1,3,4096,4096,99.96506702543206,100.0,14,"2,7",True,99.96379664963445,100.0,16,,True,99.67868301012885,100.0,16,,False,30.815837449145548,0.0,[30.815837449145548],[28.395550408285843],True
A200m4096_B32m4096_s1_r14_random_seed7,asu_baseline,7,1,4,4096,4096,99.97014301017296,100.0,16,,True,99.98663071667006,100.0,16,,True,99.309325486874,100.0,16,,False,30.815837449145548,0.0,[30.815837449145548],[27.70799471148208],True
