group,strategy,window,expected_case_count,completed_case_count,group_complete,all_windows_available,cases,weighting,start_ms,end_ms_min,end_ms_max,U_percent_mean,U_percent_min,U_percent_max,SLO_1p5_percent_mean,admitted_count_total,passed_count_total,every_case_all16active,every_case_all16computeAB,every_case_before_first_finish,every_case_nominal_under40,nominal_peak_GB_s_max
same_pool_random,asu_baseline,before_first_finish,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,0.0,83875.10858165141,84122.4095867314,96.40265770577666,96.3394949912484,96.45377940088211,99.67863807445501,13994,13949,True,True,True,True,39.83399883440474
same_pool_random,asu_baseline,extra_2_90,3,3,True,False,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,,,,,,,,,,,,,,
same_pool_random,asu_baseline,extra_60_90,3,3,True,False,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,,,,,,,,,,,,,,
same_pool_random,asu_baseline,full,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,0.0,84655.96798179728,84780.7071557389,96.05725299143069,95.97988585467237,96.1213106350148,99.68003412969284,14064,14019,False,True,False,True,39.83399883440474
same_pool_random,asu_baseline,late_20_40,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,20000.0,40000.0,40000.0,96.33235495838956,96.08692891045041,96.55053454751304,99.85365866297705,3324,3319,True,True,True,True,39.833269042589535
same_pool_random,asu_baseline,late_20_60,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,20000.0,60000.0,60000.0,96.4322351027044,96.3509706636468,96.5537307535554,99.77153739820737,6579,6564,True,True,True,True,39.833512306527965
same_pool_random,asu_baseline,late_40_60,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,40000.0,60000.0,60000.0,96.53211524701923,96.42440636461677,96.61501241684319,99.69556548629164,3255,3245,True,True,True,True,39.833512306527965
same_pool_random,asu_baseline,late_4_10,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,4000.0,10000.0,10000.0,96.36406858280047,96.00212711671672,96.57163529777151,99.593185152035,1023,1019,True,True,True,True,39.83351230652794
same_pool_random,asu_baseline,long_2_60,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,2000.0,60000.0,60000.0,96.43979764455428,96.34545699920925,96.56296039509111,99.79173388108848,9605,9585,True,True,True,True,39.833512306527965
same_pool_random,asu_baseline,post_start_before_first_finish,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,2000.0,83875.10858165141,84122.4095867314,96.50185465444777,96.42905687883213,96.58566643158456,99.82389381954566,13625,13601,True,True,True,True,39.83351230652797
same_pool_random,asu_baseline,steady_2_10,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,2000.0,10000.0,10000.0,96.61127620068818,96.55567026511054,96.6551040173447,99.70727178924862,1394,1390,True,True,True,True,39.83351230652794
same_pool_random,asu_baseline,warm_2_4,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,2000.0,4000.0,4000.0,97.35289905435123,96.50777516712756,98.61403471922863,100.0,371,371,True,False,True,True,39.833025778651134
same_pool_random,once,before_first_finish,3,3,True,True,"[""full_input_pool_random_inputseed7"", ""full_input_pool_random_inputseed17"", ""full_input_pool_random_inputseed27""]",equal mean over input shuffle seeds,0.0,82357.20044972151,82391.2793604231,98.56264522750342,98.52588096987019,98.60709767893931,100.0,14029,14029,True,True,True,True,39.83399883440474
