name,window,npu,A_compute_ms,B_compute_ms,U_percent,active_ms,both_AB
A200m1024_B32m1024_s4_r12_random_seed7,warm,0,1795.889197292909,201.22480369828554,99.85570004955974,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,1,1322.6464916088084,671.9767667133915,99.73116291611,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,2,1302.6081310232303,696.6942315916676,99.96511813074488,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,3,1651.6528842041662,348.3471157958338,100.0,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,4,1588.887284712605,406.4049684284728,99.76461265705389,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,5,1647.9232780842058,348.3471157958338,99.81351969400198,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,6,1498.9494180277643,499.38846034552716,99.91689391866457,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,7,1358.347995783883,638.6363789590287,99.84921873714558,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,8,1128.6861445952613,870.8677894895845,99.97769670424229,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,9,1394.5373804845067,604.8829636199025,99.97101720522046,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,10,1531.9290950097147,464.46282106111175,99.81959580354133,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,11,1587.3228615025118,412.67713849748816,100.0,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,12,1353.6837710622035,638.6363789590287,99.6160075010616,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,13,1303.3057684083324,696.6942315916676,100.0,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,14,1591.4758599210081,406.4049684284728,99.89404141747404,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,warm,15,1170.153479137105,826.7029923730115,99.84282357550582,2000.0,True
A200m1024_B32m1024_s4_r12_random_seed7,long,0,5723.984521770792,2264.256252672858,99.85300968054563,8000.0,True
