seq_len_k,nql,kv_blocks,compute_ms,quota,ideal_8layer_ms,slo_1p5_ms,source_ttft_ms_not_used_as_8layer_slo,profile_id,category,layer_kv_gib,required_bw_gib_s
32,128,255,1.1780259589150035,4,9.424207671320028,14.136311506980041,91.88602479537028,P1,SS,0.0428009033203125,36.332733584014896
32,256,254,1.9974796959734433,2,15.979837567787547,23.96975635168132,155.80341628592856,P2,SS,0.042633056640625,21.343424279388426
64,512,508,6.386487182261469,2,51.09189745809175,76.63784618713763,498.14600021639455,P3,SL,0.08526611328125,13.351019245458986
96,512,764,9.070841799535495,2,72.56673439628396,108.85010159442594,707.5256603637688,P4,LL,0.12823486328125,14.137041094445802
192,512,1532,17.12390630166978,4,136.99125041335824,205.48687562003738,1335.6646915302429,P5,LL,0.25714111328125,15.0164984993042
192,1024,1528,34.100781654707006,3,272.80625323765605,409.209379856484,2659.8609690671465,P6,LL,0.2564697265625,7.5209339527587895
192,2048,1520,68.05618615283375,5,544.44948922267,816.674233834005,5308.382519921032,P7,LL,0.255126953125,3.748769473388672
