npu_id,label,active_ms,compute_ms,request_count,completed_count,conditional_utilization
0,P1,110.03957934372238,9.424207671319891,1,1,0.08564379950855865
0,P2,47.0569342386691,15.9798375677874,1,1,0.33958518178721353
0,P3,0.0,0.0,0,0,
0,P4,0.0,0.0,0,0,
0,P5,145.6616283851081,136.991250413359,1,1,0.9404758956227932
0,P6,0.0,0.0,0,0,
0,P7,697.2418580325004,694.1325024989817,2,1,0.995540492158212
1,P1,15.624103961894434,10.602233630234878,2,2,0.6785818665884855
1,P2,21.367572769439676,15.9798375677874,1,1,0.747854599126115
1,P3,0.0,0.0,0,0,
1,P4,0.0,0.0,0,0,
1,P5,283.66014856906395,273.982500826718,2,2,0.9658829490460142
1,P6,275.942464239924,272.80625323765526,1,1,0.9886345473832476
1,P7,403.40571045967795,403.40571045967795,1,0,1.0
2,P1,35.40683685173917,9.424207671319891,1,1,0.26616915006506653
2,P2,0.0,0.0,0,0,
2,P3,122.76005761417127,102.1837949161818,2,2,0.8323863388639028
2,P4,83.9017389646624,72.56673439628321,1,1,0.8649014346037184
2,P5,423.45982057544984,410.97375124007704,3,3,0.9705141580648544
2,P6,0.0,0.0,0,0,
2,P7,334.4715459939773,332.97343539791837,2,1,0.9955209625033816
3,P1,0.0,0.0,0,0,
3,P2,0.0,0.0,0,0,
3,P3,0.0,0.0,0,0,
3,P4,85.50554027270732,72.56673439628321,1,1,0.8486787425100444
3,P5,0.0,0.0,0,0,
3,P6,0.0,0.0,0,0,
3,P7,914.4944597272927,905.3203674447968,3,2,0.9899681269963827
4,P1,58.0718685099655,18.848415342639782,2,2,0.3245704990430138
4,P2,0.0,0.0,0,0,
4,P3,0.0,0.0,0,0,
4,P4,79.784981976057,72.56673439628321,1,1,0.9095287433675182
4,P5,141.00997867772094,136.991250413359,1,1,0.9715003980424197
4,P6,272.80625323765526,272.80625323765526,1,1,1.0
4,P7,448.3269175986013,448.3269175986013,2,1,1.0
5,P1,0.0,0.0,0,0,
5,P2,77.38589485746206,15.9798375677874,1,1,0.20649548082658783
5,P3,136.59062402042127,51.0918974580909,1,1,0.37405127785676046
5,P4,167.6069036689221,145.13346879256642,2,2,0.8659158162079769
5,P5,136.991250413359,136.991250413359,1,1,1.0
5,P6,0.0,0.0,0,0,
5,P7,481.42532703983557,476.9691019018246,2,1,0.9907436836250159
6,P1,35.34567007320561,9.424207671319891,1,1,0.2666297640361916
6,P2,0.0,0.0,0,0,
6,P3,72.14152091572919,51.0918974580909,1,1,0.7082176367999362
6,P4,0.0,0.0,0,0,
6,P5,283.4346636404532,273.982500826718,2,2,0.9666513520529529
6,P6,0.0,0.0,0,0,
6,P7,609.078145370612,609.078145370612,2,1,1.0
7,P1,0.0,0.0,0,0,
7,P2,23.865181388458268,15.9798375677874,1,1,0.6695879368222863
7,P3,0.0,0.0,0,0,
7,P4,0.0,0.0,0,0,
7,P5,250.94138705192972,247.5536367385912,2,1,0.9864998342715087
7,P6,0.0,0.0,0,0,
7,P7,725.193431559612,725.193431559612,2,2,1.0
8,P1,0.0,0.0,0,0,
8,P2,0.0,0.0,0,0,
8,P3,115.60688317979657,51.0918974580909,1,1,0.4419451165258965
8,P4,89.4065378448131,72.56673439628321,1,1,0.8116490823326646
8,P5,0.0,0.0,0,0,
8,P6,274.13770941175267,272.80625323765526,1,1,0.9951431119164362
8,P7,520.8488695636377,520.8488695636377,2,1,1.0
9,P1,88.47584719503925,18.848415342639782,2,2,0.21303458446789073
9,P2,0.0,0.0,0,0,
9,P3,0.0,0.0,0,0,
9,P4,0.0,0.0,0,0,
9,P5,0.0,0.0,0,0,
9,P6,0.0,0.0,0,0,
9,P7,911.5241528049607,907.5953435343836,3,2,0.9956898462224096
10,P1,12.239657189792524,9.424207671319891,1,1,0.7699731720574147
10,P2,53.94386248609521,15.9798375677874,1,1,0.2962308746784016
10,P3,116.62024038334266,102.1837949161818,2,2,0.8762097778249573
10,P4,0.0,0.0,0,0,
10,P5,219.51366117320094,215.08816264389657,2,1,0.9798395302340087
10,P6,48.7097257350124,48.7097257350124,1,1,1.0
10,P7,548.9728530325563,544.4494892226703,1,1,0.9917603142215528
11,P1,33.68979117134813,9.424207671319891,1,1,0.2797348200642697
11,P2,27.364261723372465,15.9798375677874,1,1,0.5839674290989053
11,P3,0.0,0.0,0,0,
11,P4,133.06126147281066,124.97758541379403,2,1,0.9392484636810059
11,P5,417.1821547551374,410.97375124007704,3,3,0.9851182428483684
11,P6,272.80625323765526,272.80625323765526,1,1,1.0
11,P7,115.8962776396761,115.8962776396761,1,1,1.0
12,P1,0.0,0.0,0,0,
12,P2,0.0,0.0,0,0,
12,P3,0.0,0.0,0,0,
12,P4,0.0,0.0,0,0,
12,P5,139.89219355878618,136.991250413359,1,1,0.9792630090955854
12,P6,390.125710483489,390.125710483489,2,2,1.0
12,P7,469.9820959577248,469.75774552679695,1,0,0.9995226404732064
13,P1,0.0,0.0,0,0,
13,P2,114.08067057495032,15.9798375677874,1,1,0.14007489162932946
13,P3,0.0,0.0,0,0,
13,P4,0.0,0.0,0,0,
13,P5,0.0,0.0,0,0,
13,P6,0.0,0.0,0,0,
13,P7,885.9193294250497,876.4654693993434,2,1,0.9893287574706812
