assignment,seeds,population,long_profile,window_ms,baseline_U_percent_mean,baseline_U_percent_sample_sd,baseline_SLO_percent_mean,baseline_SLO_percent_sample_sd,baseline_max_disk_gib_s,once_U_percent_mean,once_U_percent_sample_sd,once_SLO_percent_mean,once_SLO_percent_sample_sd,once_max_disk_gib_s
固定20长卡/12短卡,5,1212,176K/1024,2000:4000,91.28296285334277,0.1441680741047624,92.38088399592749,1.9281327519189218,38.23353583121338,99.99747352970476,0.0026508274206816715,100.0,0.0,38.33959910053711
每卡混合、完整队列随机,5,1212,176K/1024,2000:4000,99.98356672367093,0.006880602961754909,100.0,0.0,39.34387713726196,99.92983488472181,0.026270265772824895,100.0,0.0,39.386223487939446
每卡混合、定序延长短段,5,1212,176K/1024,2000:4000,89.52605217982256,0.04450035991480744,96.67595683853092,0.4480293917530769,38.31328067583618,99.26537431094415,0.04655927576676183,100.0,0.0,39.94693417558593
