start_ms,end_ms,rate_gib_s
2000.0,2000.3253741319922,37.47444285166669
2000.3253741319922,2002.3329408798697,37.47444285166669
2002.3329408798697,2002.9507565575082,37.47444285166669
2002.9507565575082,2003.0015506059988,37.49664678515276
2003.0015506059988,2005.8217281717218,37.49664678515276
2005.8217281717218,2007.7828802260626,37.668107951811194
2007.7828802260626,2008.286669850558,37.668107951811194
2008.286669850558,2008.3800754710114,37.668107951811194
2008.3800754710114,2011.1222853808204,37.668107951811194
2011.1222853808204,2013.2328195722555,37.668107951811194
2013.2328195722555,2013.571789095117,37.668107951811194
2013.571789095117,2013.8093943845147,37.668107951811194
2013.8093943845147,2016.422842589919,37.668107951811194
2016.422842589919,2018.6827589184484,37.668107951811194
2018.6827589184484,2018.8569083396762,37.663683418094344
2018.8569083396762,2019.238713298018,37.663683418094344
2019.238713298018,2021.7233997990174,37.663683418094344
2021.7233997990174,2024.1378541728131,37.663683418094344
2024.1378541728131,2024.1420275842354,37.663683418094344
2024.1420275842354,2024.6680322115212,37.663683418094344
2024.6680322115212,2027.023957008116,37.663683418094344
2027.023957008116,2029.4271468287945,37.663683418094344
2029.4271468287945,2029.592949427178,37.61251660674753
2029.592949427178,2030.0973511250245,37.61251660674753
2030.0973511250245,2032.3245142172145,37.61251660674753
2032.3245142172145,2034.7688860233204,37.61251660674753
2034.7688860233204,2035.0480446815427,37.61251660674753
2035.0480446815427,2035.5266700385278,37.61251660674753
2035.5266700385278,2037.625071426313,37.61251660674753
2037.625071426313,2040.1106252178463,37.61251660674753
2040.1106252178463,2040.5031399359075,37.61251660674753
2040.5031399359075,2040.955988952031,37.61251660674753
2040.955988952031,2041.986761715181,37.61251660674753
2041.986761715181,2042.9256286354116,37.612516606747555
2042.9256286354116,2043.2061121185784,37.61251660674735
2043.2061121185784,2045.4523644123722,37.61251660674735
2045.4523644123722,2045.9582351902723,37.612516606747555
2045.9582351902723,2046.3853078655343,37.61251660674775
2046.3853078655343,2048.2261858445104,37.457054017585456
2048.2261858445104,2050.794103606898,37.39703459122937
2050.794103606898,2051.223027033709,37.397034591229165
2051.223027033709,2051.413330444637,37.397034591229165
2051.413330444637,2051.5314222081033,37.397034591229165
2051.5314222081033,2052.0003949930947,37.397034591229186
2052.0003949930947,2053.5936741799196,37.397034591229186
2053.5936741799196,2056.1358428014237,37.397034591229186
2056.1358428014237,2056.8684256990014,37.397034591229186
2056.8684256990014,2057.615482120655,37.397034591229186
2057.615482120655,2058.961162515329,37.397034591229186
2058.961162515329,2061.4775819959495,37.397034591229186
2061.4775819959495,2062.323520953366,37.397034591229186
2062.323520953366,2063.2305692482155,37.31021222195915
2063.2305692482155,2064.328650850738,37.31021222195915
2064.328650850738,2066.8193211904754,37.31021222195915
2066.8193211904754,2067.8818015711113,37.31021222195915
2067.8818015711113,2068.845656375776,37.31021222195915
2068.845656375776,2069.6961391861473,37.31021222195915
2069.6961391861473,2072.1610603850013,37.31021222195915
2072.1610603850013,2073.4400821888566,37.061045332258026
2073.4400821888566,2074.4607435033363,37.061045332258026
2074.4607435033363,2075.0636275215566,37.061045332258026
2075.0636275215566,2077.796814025214,37.061045332258026
2077.796814025214,2078.998362806602,37.061045332258026
2078.998362806602,2080.0758306308967,37.061045332258026
2080.0758306308967,2080.431115856966,37.061045332258026
2080.431115856966,2083.432567665427,37.061045332258026
2083.432567665427,2084.5566434243474,37.061045332258026
2084.5566434243474,2085.690917758457,37.061045332258026
2085.690917758457,2085.798604192375,37.061045332258026
2085.798604192375,2089.06832130564,37.061045332258026
2089.06832130564,2090.1149240420928,37.061045332258026
2090.1149240420928,2091.1660925277843,37.061045332258026
2091.1660925277843,2091.3060048860175,37.17300792593953
2091.3060048860175,2094.704074945853,37.25812530117919
