npu_id,current_request_id,current_layer,next_request_id,next_layer,current_role,next_role,release_ms,deadline_ms,read_ready_ms,next_compute_start_ms,compute_window_ms,next_layer_read_gib,deadline_reference_gib_s,original_current_request_nominal_gib_s,complete_compute_window_in_warm,impossible_even_with_exclusive_ssd,exclusive_ssd_stall_lower_bound_ms,actual_io_stall_ms
0,25,7,26,0,S,S,1997.4956613031434,2002.9507565575082,1998.165911665012,2002.9507565575082,5.455095254364778,0.0255126953125,4.676856062611659,4.676856062611659,False,False,0.0,0.0
0,26,0,26,1,S,S,2002.9507565575082,2008.3800754710114,2003.6125364208713,2008.3800754710114,5.429318913503266,0.0255126953125,4.6990599960977315,4.6990599960977315,True,False,0.0,0.0
0,26,1,26,2,S,S,2008.3800754710114,2013.8093943845147,2009.7011747265353,2013.8093943845147,5.429318913503266,0.0255126953125,4.6990599960977315,4.6990599960977315,True,False,0.0,0.0
0,26,2,26,3,S,S,2013.8093943845147,2019.238713298018,2015.151995649387,2019.238713298018,5.429318913503266,0.0255126953125,4.6990599960977315,4.6990599960977315,True,False,0.0,0.0
0,26,3,26,4,S,S,2019.238713298018,2024.6680322115212,2020.6028165722385,2024.6680322115212,5.429318913503266,0.0255126953125,4.6990599960977315,4.6990599960977315,True,False,0.0,0.0
0,26,4,26,5,S,S,2024.6680322115212,2030.0973511250245,2026.0578336620822,2030.0973511250245,5.429318913503266,0.0255126953125,4.6990599960977315,4.6990599960977315,True,False,0.0,0.0
0,26,5,26,6,S,S,2030.0973511250245,2035.5266700385278,2031.3450040722385,2035.5266700385278,5.429318913503266,0.0255126953125,4.6990599960977315,4.6990599960977315,True,False,0.0,0.0
0,26,6,26,7,S,S,2035.5266700385278,2040.955988952031,2036.6856951053517,2040.955988952031,5.429318913503266,0.0255126953125,4.6990599960977315,4.6990599960977315,True,False,0.0,0.0
0,26,7,27,0,S,S,2040.955988952031,2046.3853078655343,2042.0274342998775,2046.3853078655343,5.429318913503266,0.0255126953125,4.6990599960977315,4.6990599960977315,True,False,0.0,0.0
0,27,0,27,1,S,S,2046.3853078655343,2052.0003949930947,2047.3733510479244,2052.0003949930947,5.6150871275604,0.0255126953125,4.543597406935439,4.543597406935439,True,False,0.0,0.0
