policy,window_ms,bin_ms,capacity_gib_s,nominal_demand_mean_gib_s,nominal_demand_exact_peak_gib_s,deadline_reference_mean_gib_s,deadline_reference_exact_peak_gib_s,deadline_reference_exact_above_capacity_ms,deadline_reference_2ms_peak_gib_s,deadline_reference_2ms_above_capacity_bins,complete_individually_impossible_prefetches,exclusive_ssd_lower_bound_total_card_ms,actual_stall_for_individually_impossible_prefetches_card_ms,warm_stall_card_ms,npu_utilization_percent,slo_1p5_percent,physical_ssd_mean_gib_s,physical_ssd_2ms_max_gib_s,physical_ssd_capacity_violation_bins,all_replay_checks_passed
fifo,"[2000.0, 4000.0]",2.0,40.0,37.33413599804824,37.81238138207306,34.70146507838759,121.14291882494906,77.03949308171377,121.14291882494902,46,15,18.52124482161753,58.834368976335554,1196.1636551954314,92.52397715502856,98.21428571428571,34.65284446386556,40.00000000000001,0,True
once,"[2000.0, 4000.0]",2.0,40.0,37.32282836586869,37.79711950532911,36.86456700205914,83.50491600184266,103.4160112442114,82.97869251569904,63,19,23.111012071218283,287.993424008067,455.0811755227903,97.15574265298257,100.0,36.87134104945816,40.00000000000001,0,True
short_first,"[2000.0, 4000.0]",2.0,40.0,37.32095297354319,37.76122928046538,36.83131448864868,83.50650396481005,97.99184663888127,83.50650396481005,60,18,21.875859659946855,296.0261510518235,296.0261510518235,98.1498365559261,100.0,37.05568883876899,40.00000000000001,0,True
