start_ms,end_ms,rate_gib_s
2000.0,2000.4453890556756,36.94201817009467
2000.4453890556756,2002.1769826250343,32.439854364910815
2002.1769826250343,2002.940170846297,32.439854364910815
2002.940170846297,2003.6772169213536,36.94201817009467
2003.6772169213536,2003.7642231362302,32.23849289591151
2003.7642231362302,2005.1053930142657,32.23849289591151
2005.1053930142657,2005.547894383936,36.94201817009467
2005.547894383936,2006.9097448209063,32.38584663524737
2006.9097448209063,2007.6217663830553,36.94201817009467
2007.6217663830553,2008.6069338554803,36.94201817009467
2008.6069338554803,2009.420648409091,36.94201817009467
2009.420648409091,2010.5295576195958,36.94201817009467
2010.5295576195958,2012.509335423975,36.94201817009467
2012.509335423975,2013.0665501410763,36.94201817009467
2013.0665501410763,2014.2736968646636,36.94201817009467
2014.2736968646636,2015.0770736819518,36.94201817009467
2015.0770736819518,2015.953722224926,37.108482230374335
2015.953722224926,2018.1089260270437,37.108482230374335
2018.1089260270437,2018.5113338990973,37.108482230374335
2018.5113338990973,2019.940459873847,37.25003856792261
2019.940459873847,2020.5321689363166,37.25003856792261
2020.5321689363166,2021.377886830256,37.25003856792261
2021.377886830256,2023.7085166301124,37.25003856792261
2023.7085166301124,2023.7964531436564,37.25003856792261
2023.7964531436564,2025.6072228830303,37.25003856792261
2025.6072228830303,2025.9872641906813,37.389623661751685
2025.9872641906813,2026.8020514355862,37.389623661751685
2026.8020514355862,2029.0815723882156,37.389623661751685
2029.0815723882156,2029.308107233181,37.389623661751685
2029.308107233181,2029.6778139743155,37.389623661751685
2029.6778139743155,2031.1035769227599,37.389623661751685
2031.1035769227599,2031.4423594450461,37.389623661751685
2031.4423594450461,2032.2262160409164,37.389623661751685
2032.2262160409164,2034.3666916327747,81.79461555946769
2034.3666916327747,2034.9076978362498,81.79461555946769
2034.9076978362498,2036.5999309624895,81.79461555946769
2036.5999309624895,2036.897454699411,81.79461555946769
2036.897454699411,2037.6503806462465,81.79461555946769
2037.6503806462465,2038.9841162241305,32.68609838756853
2038.9841162241305,2039.651810877334,32.68609838756853
2039.651810877334,2040.5072884393185,32.68609838756853
2040.5072884393185,2042.096285002219,32.68609838756853
2042.096285002219,2042.3525499537757,32.68609838756853
2042.3525499537757,2042.6125225798812,32.68609838756853
2042.6125225798812,2044.936930121893,32.68609838756853
2044.936930121893,2046.1068790423872,32.68609838756853
2046.1068790423872,2047.5926390419486,32.81120744904954
2047.5926390419486,2047.8076452081405,32.81120744904973
2047.8076452081405,2050.222049366452,32.811207449049924
2050.222049366452,2051.5568183885803,32.811207449049924
2051.5568183885803,2053.088993081678,32.811207449050116
2053.088993081678,2053.262740462505,32.811207449050116
2053.262740462505,2053.968199585481,28.13435138643826
2053.968199585481,2054.5346821294265,32.811207449050116
2054.5346821294265,2055.5071686110114,37.47444285166708
2055.5071686110114,2057.006757734773,37.47444285166708
2057.006757734773,2058.5853471214073,37.47444285166708
2058.5853471214073,2059.4232948398458,37.47444285166708
2059.4232948398458,2060.7922878555705,37.496646785152954
2060.7922878555705,2062.456697080966,37.445479973806144
2062.456697080966,2064.0817011611366,37.445479973806144
2064.0817011611366,2064.852613753349,37.445479973806144
2064.852613753349,2065.939864014192,32.74641997770841
2065.939864014192,2066.1340270500964,37.445479973806144
2066.1340270500964,2067.906636427159,37.445479973806144
2067.906636427159,2069.578055200866,37.445479973806144
2069.578055200866,2071.3691829276954,37.61694114046418
2071.3691829276954,2071.4757662446223,37.61694114046418
2071.4757662446223,2072.020109985872,32.84083838002896
2072.020109985872,2073.356575773352,37.61694114046418
2073.356575773352,2074.8786124099647,32.93566054413567
2074.8786124099647,2075.251158569856,28.12245047846452
2075.251158569856,2076.7985018411987,32.80373107479303
2076.7985018411987,2077.3618491803977,32.80373107479303
2077.3618491803977,2078.3731068120437,32.80373107479303
2078.3731068120437,2080.701097916049,37.616941140464185
2080.701097916049,2082.227820754702,37.616941140464185
2082.227820754702,2082.7035883749236,37.616941140464185
2082.7035883749236,2083.6736640211425,37.616941140464185
2083.6736640211425,2086.151037262242,37.616941140464185
2086.151037262242,2086.7996741563206,37.616941140464185
2086.7996741563206,2087.657139668205,37.616941140464185
2087.657139668205,2088.0453275694495,37.616941140464185
2088.0453275694495,2088.9742212302413,37.616941140464185
2088.9742212302413,2091.600976608435,37.616941140464185
2091.600976608435,2093.0864585817085,37.612516606747526
2093.0864585817085,2093.3870667639753,37.612516606747526
2093.3870667639753,2094.27477843934,37.612516606747526
2094.27477843934,2095.988615845247,32.79930654107637
