case,family,kind,num_ssu,pressure_ttl_ms,cir_write_threshold_gbps,min_interval_ms,mean_npu_utilization_pct,primary_slo_alpha,sensitivity_slo_alpha,equal_npu_slo_pct,request_weighted_slo_pct,alpha_1p5_equal_npu_slo_pct,alpha_1p5_request_weighted_slo_pct,measurement_request_count,measurement_requests_per_npu_min,measurement_requests_per_npu_median,measurement_requests_per_npu_max,measurement_cohort_fingerprint,input_simulator_fingerprint,all_invariants_passed,source_artifact
adaptive_t0_i200ms,interval,adaptive,3,0.0,0.0,200.0,60.80121656922985,2.0,1.5,69.28373352546147,68.16901408450704,34.891756017675135,33.23943661971831,355,5,11.0,21,99296f8c1a2f650ef46b4b8714dc4c9666334d11cc6801eabe9230e1c4cb5d7e,4c7858bcf0027470d24c710a68c0ce87299dd6bb3794de2fc84ea507a501916f,True,results/ms_scale_control/frozen32_ssu3_selected7_measure8_backing128.json
baseline,baseline,baseline,4,0.0,0.0,0.0,78.63877341361004,2.0,1.5,56.39746542211229,54.35244161358811,51.66832368107039,49.469214437367306,471,8,14.0,22,86fc2d99dbaef188e3d33ecc6a880e44d483abc61dea0ba5632cb54a6ced4192,a97bf59f0850daa06469a7ecc458ed2110a4ae96f2aecb33da25b374fe36fc9d,True,results/ms_scale_control/frozen32_ssu4_selected7_measure8_backing128.json
layer_once_ttl_0ms,ttl,layer_once,4,0.0,0.0,0.0,78.43532559471463,2.0,1.5,77.77853401704505,77.41935483870968,64.91241065919374,64.08602150537635,465,5,13.0,24,4433d1a9719e36d00820f00d3d4758d49de38648fe0b89f404af0f963cd1256d,a97bf59f0850daa06469a7ecc458ed2110a4ae96f2aecb33da25b374fe36fc9d,True,results/ms_scale_control/frozen32_ssu4_selected7_measure8_backing128.json
layer_once_ttl_2ms,ttl,layer_once,4,2.0,0.0,0.0,78.44016028151682,2.0,1.5,77.11440829657342,76.49572649572649,65.01169008731749,64.1025641025641,468,5,13.0,24,6fc81d00ae71f81789edeade856b0656572010162ef9d5d455e2b0b47783aa11,a97bf59f0850daa06469a7ecc458ed2110a4ae96f2aecb33da25b374fe36fc9d,True,results/ms_scale_control/frozen32_ssu4_selected7_measure8_backing128.json
layer_once_ttl_5ms,ttl,layer_once,4,5.0,0.0,0.0,77.87895255141859,2.0,1.5,76.66035640983375,76.21052631578948,60.736859828636995,60.421052631578945,475,5,13.5,24,4bc7d98636ee41cbef8ab0e2c204043b0c212a1bb8eb7e0989db907184846c5c,a97bf59f0850daa06469a7ecc458ed2110a4ae96f2aecb33da25b374fe36fc9d,True,results/ms_scale_control/frozen32_ssu4_selected7_measure8_backing128.json
adaptive_t0_i25ms,threshold_interval,adaptive,4,0.0,0.0,25.0,78.57689051166476,2.0,1.5,89.24435108034642,87.99126637554585,56.025054727395215,54.58515283842795,458,4,14.0,24,e1fd2732c130fa95e3206a2b1c0f2c2afaa5d4c1111bec7c01f2835047002853,a97bf59f0850daa06469a7ecc458ed2110a4ae96f2aecb33da25b374fe36fc9d,True,results/ms_scale_control/frozen32_ssu4_selected7_measure8_backing128.json
adaptive_t0_i100ms,interval,adaptive,4,0.0,0.0,100.0,78.18647786723191,2.0,1.5,81.20518730607571,79.05982905982906,57.02411750291575,54.059829059829056,468,4,14.0,25,90023a2301cf6a562ceabfa1be08d8ea00de345c9752fcacbab86bc2444d8f04,a97bf59f0850daa06469a7ecc458ed2110a4ae96f2aecb33da25b374fe36fc9d,True,results/ms_scale_control/frozen32_ssu4_selected7_measure8_backing128.json
adaptive_t0_i200ms,interval,adaptive,4,0.0,0.0,200.0,79.77242318287254,2.0,1.5,75.26498209661425,73.72881355932203,57.84156960117196,56.567796610169495,472,7,14.0,25,9b161c7a7b0a4d0a501eed1ceab2b7ae347fdcf5e3cf62788396fe88d955811a,a97bf59f0850daa06469a7ecc458ed2110a4ae96f2aecb33da25b374fe36fc9d,True,results/ms_scale_control/frozen32_ssu4_selected7_measure8_backing128.json
baseline,baseline,baseline,5,0.0,0.0,0.0,93.15406023512809,2.0,1.5,78.14991225788334,75.82417582417582,71.53235605096134,68.86446886446886,546,7,17.0,26,35b053774f356f2e23bcaaf656713e23195e4eb4cb5d44a74957b85466830779,f3cf060f79ebca9284c143be891d4cc6cbf34988a576c6501c4a4511f84af6a0,True,results/ms_scale_control/remote_aux_ssu5.json
layer_once_ttl_0ms,ttl,layer_once,5,0.0,0.0,0.0,92.58626577863402,2.0,1.5,88.05193213835865,87.66114180478822,79.95493365470398,79.00552486187846,543,9,17.5,25,3689eda19c48520d7e6d049cd6439a5acc6711630277d8fcde2eadd2b4f3d901,f3cf060f79ebca9284c143be891d4cc6cbf34988a576c6501c4a4511f84af6a0,True,results/ms_scale_control/remote_aux_ssu5.json
