scenario,policy,latency_ratio,mean_cdf
semi,asu_baseline,0.9999999999999932,0.005919228450874021
semi,asu_baseline,0.9999999999999943,0.026103605999361772
semi,asu_baseline,0.9999999999999952,0.054019075984824305
semi,asu_baseline,0.9999999999999954,0.055923837889586214
semi,asu_baseline,0.9999999999999958,0.0578846222033117
semi,asu_baseline,0.9999999999999963,0.07601531751941283
semi,asu_baseline,0.9999999999999966,0.07988086373790022
semi,asu_baseline,0.9999999999999969,0.1051838456901748
semi,asu_baseline,0.999999999999997,0.111215118958976
semi,asu_baseline,0.9999999999999978,0.15883133000035457
semi,asu_baseline,0.999999999999998,0.18915434528241679
semi,asu_baseline,0.9999999999999986,0.21903059958160478
semi,asu_baseline,0.9999999999999988,0.22099138389533027
semi,asu_baseline,0.9999999999999989,0.23449278445555435
semi,asu_baseline,0.999999999999999,0.2366024890969046
semi,asu_baseline,0.9999999999999994,0.2782803247881431
semi,asu_baseline,0.9999999999999999,0.28235081374321874
semi,asu_baseline,1.0,0.28431159805694434
semi,asu_baseline,1.0000000000000002,0.2864213026982945
semi,asu_baseline,1.0000000000000004,0.2904917916533702
semi,asu_baseline,1.0000000000000007,0.3105832712831968
semi,asu_baseline,1.000000000000001,0.4643520192887281
semi,asu_baseline,1.0000000000000013,0.4684225082438038
semi,asu_baseline,1.0000000000000016,0.4945452611424317
semi,asu_baseline,1.0000000000000022,0.5185951849094068
semi,asu_baseline,1.000000000000003,0.5499663156401801
semi,asu_baseline,1.0000000000000033,0.5758841258022196
semi,asu_baseline,1.0000000000000036,0.5779938304435698
semi,asu_baseline,1.0000000000000038,0.5798985923483317
semi,asu_baseline,1.000000000000004,0.5818593766620572
semi,asu_baseline,1.0000000000000047,0.6332659646136936
semi,asu_baseline,1.000000000000005,0.6370754884232174
semi,asu_baseline,1.00000000000001,0.6664858348402652
semi,asu_baseline,1.000000000000016,0.6766804949828032
semi,asu_baseline,1.000315095887889,0.6785852568875651
semi,asu_baseline,1.0004160880207031,0.6805460412012906
semi,asu_baseline,1.0004567861115665,0.6826557458426409
semi,asu_baseline,1.0006269860989523,0.6847654504839911
semi,asu_baseline,1.0007869218646266,0.6866702123887528
semi,asu_baseline,1.0009582078796362,0.6885749742935149
semi,asu_baseline,1.0011462370275201,0.6905357586072404
semi,asu_baseline,1.0012153908227153,0.6924405205120022
semi,asu_baseline,1.0013585490328505,0.6945502251533524
semi,asu_baseline,1.0016656851644248,0.6964549870581145
semi,asu_baseline,1.002210667400694,0.6985646916994647
semi,asu_baseline,1.0023264107401335,0.7006743963408147
semi,asu_baseline,1.0024142220603707,0.7026351806545402
semi,asu_baseline,1.0026905058681217,0.7047448852958905
semi,asu_baseline,1.0033948152961425,0.7066496472006524
semi,asu_baseline,1.00360951950367,0.7085544091054143
semi,asu_baseline,1.0036426727741568,0.7105151934191398
semi,asu_baseline,1.0036655987592076,0.7124199553239018
semi,asu_baseline,1.0037654448910212,0.714529659965252
semi,asu_baseline,1.003911806717654,0.7166393646066022
semi,asu_baseline,1.0040456596911802,0.7187490692479525
semi,asu_baseline,1.0042562105508872,0.7206538311527142
semi,asu_baseline,1.0044495093063848,0.7225585930574762
semi,asu_baseline,1.004945541083697,0.724463354962238
semi,asu_baseline,1.0050305231083563,0.726368116867
semi,asu_baseline,1.0052470431027438,0.7283289011807255
semi,asu_baseline,1.0062282676485896,0.7304386058220756
semi,asu_baseline,1.0065593442216176,0.7323433677268376
semi,asu_baseline,1.0070960414062333,0.7344530723681878
semi,asu_baseline,1.0076006093081904,0.7364138566819133
semi,asu_baseline,1.0078337149328533,0.7383186185866752
semi,asu_baseline,1.007970887587605,0.7402794029004007
semi,asu_baseline,1.0090194868813858,0.7422401872141262
semi,asu_baseline,1.0090221883228077,0.7443498918554764
semi,asu_baseline,1.0092981172518447,0.7463106761692019
semi,asu_baseline,1.0095461313828549,0.7482714604829274
semi,asu_baseline,1.0098448946695437,0.7501762223876892
semi,asu_baseline,1.0098862416481902,0.7521370067014148
semi,asu_baseline,1.0099145093291142,0.7540417686061768
semi,asu_baseline,1.0103507569566317,0.7559465305109385
semi,asu_baseline,1.0103711738241758,0.7578512924157005
semi,asu_baseline,1.0105476215566647,0.7599609970570507
semi,asu_baseline,1.0105509321051453,0.7618657589618126
semi,asu_baseline,1.0114222335566774,0.7638265432755381
semi,asu_baseline,1.011736180778737,0.7657873275892636
semi,asu_baseline,1.0141832021040351,0.7676920894940255
semi,asu_baseline,1.0145614223434583,0.7696528738077509
semi,asu_baseline,1.0147734693026622,0.7715576357125129
