total_input_Ki_tokens,total_input_tokens,miss_tokens,hit_tokens,category,layer_read_MiB,layer_compute_ms,required_B_GiB_s,semi_requests_per_npu,full_requests_per_npu
32,32768,256,32512,SS,43.65625,1.9974796959734433,21.343424279388426,1,3
32,32768,1024,31744,SL,42.625,7.257231579079756,5.735792789428711,1,2
32,32768,2048,30720,SL,41.25,14.369102622125,2.8034599086914063,1,1
32,32768,4096,28672,SL,38.5,28.592841995880782,1.3149324665039066,2,1
64,65536,256,65280,SS,87.65625,3.3396570206571456,25.63191552639771,1,3
64,65536,1024,64512,SL,86.625,12.625940760424301,6.70007314050293,1,2
64,65536,2048,63488,SL,85.25,25.106517917176127,3.31594980234375,1,1
64,65536,4096,61440,SL,82.5,50.06766996068876,1.609150302246094,2,1
80,81920,256,81664,SS,109.65625,4.010745621755773,26.699818871520996,1,3
80,81920,1024,80896,SL,108.625,15.310296145067996,6.928611997924804,1,2
80,81920,2048,79872,SL,107.25,30.475232543852318,3.436768791650391,1,1
80,81920,4096,77824,SL,104.5,60.80510334800196,1.678325923828125,2,1
128,131072,256,130816,LS,175.65625,6.024011548589168,28.47592592693481,1,3
128,131072,1024,130048,LL,174.625,23.363359736359623,7.299131138964844,1,2
128,131072,2048,129024,LL,173.25,46.58135868432481,3.6321279134765616,1,1
128,131072,4096,126976,LL,170.5,93.01732520235409,1.7900311139648435,2,1
160,163840,256,163584,LS,219.65625,7.366188833782921,29.120629606567384,1,3
160,163840,1024,162816,LL,218.625,28.732067426025328,7.430755796191407,1,2
160,163840,2048,161792,LL,217.25,57.31877271428324,3.7013737921875007,1,1
160,163840,4096,159744,LL,214.5,114.4921718038388,1.8295805988281253,2,1
200,204800,256,204544,LS,274.65625,9.043910535256627,29.657413471197515,1,3
200,204800,1024,203776,LL,273.625,35.44295093756352,7.5392118035888664,1,2
200,204800,2048,202752,LL,272.25,70.74053784115809,3.758370359326172,1,1
200,204800,4096,200704,LL,269.5,141.33578827944143,1.86211572421875,2,1
