scenario,window,seed,policy,reference,delta_U_percent,delta_slo_percent,delta_timely_completions_per_second,delta_total_completions_per_second,delta_makespan_ms,delta_SS_slo_percent,delta_SL_slo_percent,delta_LS_slo_percent,delta_LL_slo_percent
semi,long_2_6s,43,static,once,-0.2634173393440875,0.302114803625372,0.25,0.0,-159.19224731976828,0.0,0.0,0.0,0.6605148130160217
semi,long_2_6s,7,mild,od_baseline,0.5387445995306734,6.491405634996838,6.0,0.5,28.92911752143482,25.714285714285708,0.0,40.625,0.0
semi,long_2_6s,19,mild,od_baseline,0.28017200142431875,2.149967931736427,3.25,0.5,-164.54836562412856,18.181818181818187,0.0,5.299539170506918,0.0
semi,long_2_6s,43,mild,od_baseline,0.5543878512808362,4.595210108727599,5.75,1.0,-139.4758829149614,25.0,0.0,28.125,-0.6993006993006929
semi,long_2_6s,7,aggressive,od_baseline,0.6001759694918434,6.78466076696165,6.25,0.25,-60.9317588554768,25.714285714285708,0.0,43.75,0.0
semi,long_2_6s,19,aggressive,od_baseline,0.4188860903382903,2.7633803597660744,4.0,1.0,-176.73524966266632,18.181818181818187,0.0,11.751152073732726,0.0
semi,long_2_6s,43,aggressive,od_baseline,0.7333574452811433,6.100324220764875,6.75,0.75,-117.52715278347205,25.0,0.0,40.5241935483871,0.0
semi,full_population,7,od_baseline,asu_baseline,0.3583335163145449,1.0416666666666714,1.1584173419900594,0.3125621351636738,-43.02090354977372,21.874999999999993,0.78125,-14.583333333333336,0.0
semi,full_population,19,od_baseline,asu_baseline,-0.7431129203836946,0.10416666666665719,-0.517764844871337,-0.648192118481532,89.46038918147497,12.500000000000007,1.5625,-13.541666666666671,-1.0416666666666714
semi,full_population,43,od_baseline,asu_baseline,0.1842882220189921,0.1041666666666714,0.23159797944282445,0.16074834626746792,-22.3761161938055,14.583333333333336,2.34375,-18.75,-1.0416666666666714
semi,full_population,7,once,od_baseline,-0.30399852340761413,6.25,4.966777171738627,-0.26516756942011455,36.47679878189774,26.04166666666667,0.2604166666666714,39.583333333333336,-1.0416666666666714
semi,full_population,19,once,od_baseline,1.1987225689871366,4.0625,4.393406977628999,1.0456049143408706,-143.62766835646653,23.95833333333333,-1.3020833333333286,23.95833333333333,-0.5208333333333286
semi,full_population,43,once,od_baseline,-0.09137368638923249,6.666666666666671,5.464438337905506,-0.07970215794864544,11.083686495718212,37.49999999999999,-1.0416666666666572,43.75,-2.604166666666657
semi,full_population,7,static,od_baseline,0.000926771887719724,6.145833333333329,5.143101119450449,0.0008083915873129399,-0.11084991548705148,26.04166666666667,-0.78125,44.791666666666664,-1.5625
semi,full_population,19,static,od_baseline,1.3275130918056135,3.75,4.239584685473659,1.1579445057221704,-158.84687085207406,23.95833333333333,-2.34375,25.0,-0.5208333333333286
semi,full_population,43,static,od_baseline,1.238053414832791,7.083333333333329,6.939880296197373,1.0799118730695625,-148.10856082405007,37.49999999999999,-0.78125,43.75,-1.8229166666666572
semi,full_population,7,static,once,0.30492529529533385,-0.1041666666666714,0.17632394771182192,0.2659759610074275,-36.58764869738479,0.0,-1.0416666666666714,5.208333333333329,-0.5208333333333286
semi,full_population,19,static,once,0.12879052281847692,-0.3125,-0.15382229215533982,0.1123395913812999,-15.219202495607533,0.0,-1.0416666666666714,1.0416666666666714,0.0
semi,full_population,43,static,once,1.3294271012220236,0.4166666666666572,1.4754419582918672,1.159614031018208,-159.19224731976828,0.0,0.2604166666666572,0.0,0.78125
semi,full_population,7,mild,od_baseline,-0.24125416843519076,5.520833333333329,4.412424762562438,-0.21043780324765748,28.92911752143482,26.04166666666667,0.2604166666666714,33.333333333333336,-1.3020833333333286
semi,full_population,19,mild,od_baseline,1.3758498634836371,3.75,4.280517466700445,1.200107027157486,-164.54836562412856,23.95833333333333,-0.2604166666666572,18.75,-1.0416666666666572
semi,full_population,43,mild,od_baseline,1.1650098886442208,6.5625,6.439585538506009,1.016198490240626,-139.4758829149614,37.49999999999999,-0.78125,35.41666666666667,-1.0416666666666572
semi,full_population,7,aggressive,od_baseline,0.5121409988355907,5.416666666666671,4.971010069085594,0.44672316937389667,-60.9317588554768,26.04166666666667,0.0,33.333333333333336,-1.3020833333333286
semi,full_population,19,aggressive,od_baseline,1.4793316229333158,3.333333333333343,4.016614789272481,1.2903706452994612,-176.73524966266632,21.875,-1.0416666666666572,18.75,-0.78125
semi,full_population,43,aggressive,od_baseline,0.9797923169469271,6.354166666666671,6.108115620661877,0.8546395038668209,-117.52715278347205,33.333333333333336,-0.78125,39.58333333333333,-1.5625
full,warm_2_4s,7,od_baseline,asu_baseline,-1.8402286013230125,-2.8187635517478498,-2.5,-3.5,-94.86784945448198,0.0,42.60720411663807,0.0,-49.18227772821885
full,warm_2_4s,19,od_baseline,asu_baseline,-1.1185065010181674,-5.474769397721104,-8.0,2.0,-101.23795161603812,0.0,28.758884636413335,0.0,-45.172413793103445
full,warm_2_4s,43,od_baseline,asu_baseline,3.157337924449436,-3.9481035446023967,-2.0,1.5,-115.48271179199219,0.0,28.65853658536585,0.0,-33.26271186440678
full,warm_2_4s,7,once,od_baseline,2.7378387203450956,40.32187346865087,38.5,6.0,57.872584634702434,97.29729729729729,28.301886792452834,92.5,-27.456140350877195
full,warm_2_4s,19,once,od_baseline,1.470714369561506,38.24688292761914,38.0,-1.5,296.3315887695244,100.0,32.25806451612904,76.19047619047619,-19.373040752351102
full,warm_2_4s,43,once,od_baseline,2.4007227632074972,32.41252302025783,28.5,-0.5,229.75412573070753,100.0,25.0,53.333333333333336,-25.146379044684128
full,warm_2_4s,7,static,od_baseline,4.9123243647938395,38.8440409563356,39.5,6.0,76.10406578884613,100.0,22.24128073184677,100.0,-31.090020132297962
full,warm_2_4s,19,static,od_baseline,0.9136604972901523,41.63239143208162,40.5,-0.5,278.0394863730162,100.0,19.559651817716343,97.61904761904762,-11.49425287356322
full,warm_2_4s,43,static,od_baseline,3.2088047291955277,40.04753233124479,33.5,-1.0,248.19515776202388,100.0,18.33333333333333,89.36170212765957,-25.935401343140388
full,warm_2_4s,7,static,once,2.174485644448744,-1.477832512315274,1.0,0.0,18.231481154143694,2.702702702702709,-6.060606060606062,7.5,-3.6338797814207666
full,warm_2_4s,19,static,once,-0.5570538722713536,3.3855085044624786,2.5,1.0,-18.2921023965082,0.0,-12.698412698412696,21.42857142857143,7.8787878787878824
full,warm_2_4s,43,static,once,0.8080819659880305,7.635009310986959,5.0,-0.5,18.441032031316354,0.0,-6.666666666666671,36.028368794326234,-0.7890222984562598
full,warm_2_4s,7,mild,od_baseline,5.168066035404273,28.5763393093236,26.0,3.5,95.50212596844722,94.73684210526316,28.301886792452834,41.02564102564103,-30.478739220933694
full,warm_2_4s,19,mild,od_baseline,0.856889287218138,28.106348345089522,28.0,-2.0,166.36285523654806,96.875,27.25806451612904,42.857142857142854,-19.827586206896555
full,warm_2_4s,43,mild,od_baseline,2.193523258329428,29.38221998995479,28.0,3.0,31.90576360439627,91.66666666666667,25.0,51.02040816326531,-30.163214061519145
full,warm_2_4s,7,aggressive,od_baseline,3.726217089169346,13.974437942716357,16.5,6.5,239.44790682301573,77.5,10.841569332135379,25.0,-39.28674144377337
full,warm_2_4s,19,aggressive,od_baseline,0.25447516349134247,3.92281258260639,4.5,0.5,11.500646049982606,69.6969696969697,-17.74193548387096,26.08695652173913,-27.51989389920425
full,warm_2_4s,43,aggressive,od_baseline,1.5506596382102558,5.963247657938986,3.0,1.5,-67.04915152876492,64.86486486486487,-3.0,17.77777777777778,-42.69882659713168
full,long_2_6s,7,od_baseline,asu_baseline,-1.2311415843100448,-3.87766554433221,-4.0,-2.25,-94.86784945448198,0.0,40.759893701070176,0.0,-51.69354838709677
full,long_2_6s,19,od_baseline,asu_baseline,-0.38385281070939925,2.7283653846153797,-1.0,-1.5,-101.23795161603812,0.0,37.17514124293785,0.0,-30.172413793103452
full,long_2_6s,43,od_baseline,asu_baseline,0.2346827898796633,1.2323673579709435,2.5,1.5,-115.48271179199219,0.0,44.31372549019608,0.0,-32.97594900028977
full,long_2_6s,7,once,od_baseline,0.6011072588176276,37.56930204298625,36.0,0.75,57.872584634702434,98.64864864864865,24.786324786324784,87.5,-21.1
full,long_2_6s,19,once,od_baseline,0.22175935290309212,26.94074014567267,29.75,1.25,296.3315887695244,98.6842105263158,11.227062613811455,71.42857142857143,-33.358320839580216
full,long_2_6s,43,once,od_baseline,2.83942316780994,28.84647006255586,26.25,0.5,229.75412573070753,100.0,15.686274509803923,59.78260869565217,-24.41016333938294
full,long_2_6s,7,static,od_baseline,1.072076971094262,38.82243487506645,37.25,0.75,76.10406578884613,100.0,20.721284135918282,100.0,-23.109756097560975
full,long_2_6s,19,static,od_baseline,-0.8617863200484237,33.22743499573743,36.0,1.75,278.0394863730162,100.0,11.088164079191003,98.6842105263158,-31.619190404797607
full,long_2_6s,43,static,od_baseline,3.1220855567743797,37.09151510760089,32.0,-0.75,248.19515776202388,100.0,12.829131652661061,92.3076923076923,-18.96551724137931
full,long_2_6s,7,static,once,0.4709697122766343,1.2531328320801975,1.25,0.0,18.231481154143694,1.3513513513513544,-4.065040650406502,12.5,-2.009756097560974
full,long_2_6s,19,static,once,-1.0835456729515158,6.286694850064762,6.25,0.5,-18.2921023965082,1.3157894736842053,-0.1388985346204521,27.255639097744364,1.7391304347826058
full,long_2_6s,43,static,once,0.2826623889644395,8.245045045045032,5.75,-1.25,18.441032031316354,0.0,-2.857142857142861,32.525083612040135,5.444646098003631
full,long_2_6s,7,mild,od_baseline,1.1950776797596347,27.293612819928605,26.25,0.75,95.50212596844722,96.1038961038961,22.32730839288216,44.87179487179487,-25.368852459016395
full,long_2_6s,19,mild,od_baseline,0.4954064670429261,21.129532442748094,25.5,2.25,166.36285523654806,89.74358974358974,11.361444122915813,53.94736842105263,-36.20689655172414
full,long_2_6s,43,mild,od_baseline,1.9752656907285768,23.606753750499117,21.25,0.75,31.90576360439627,91.37931034482759,15.686274509803923,49.46236559139785,-28.796128251663642
full,long_2_6s,7,aggressive,od_baseline,1.5208527145230732,11.274657242399172,9.5,1.75,239.44790682301573,87.01298701298701,-4.813675213675211,17.105263157894736,-27.5
full,long_2_6s,19,aggressive,od_baseline,-0.1136162202076747,2.8967998281786933,6.5,1.0,11.500646049982606,78.37837837837837,-19.03306474020561,32.467532467532465,-42.92353823088456
full,long_2_6s,43,aggressive,od_baseline,1.0163390063999458,5.169829642608349,2.5,2.0,-67.04915152876492,70.96774193548387,-7.678211471504483,20.43010752688172,-31.729933352651404
full,full_population,7,od_baseline,asu_baseline,0.4176675001544936,0.4464285714285694,0.6911552784543957,0.6535098216472619,-94.86784945448198,0.3472222222222222,39.58333333333333,-0.3472222222222222,-38.02083333333333
full,full_population,19,od_baseline,asu_baseline,0.44589239124569247,0.4464285714285765,0.7068439600312857,0.6976723277943222,-101.23795161603812,1.388888888888889,37.50000000000001,-0.3472222222222222,-36.71874999999999
full,full_population,43,od_baseline,asu_baseline,0.5061037631194409,1.6369047619047663,1.890789102978573,0.7918829687462932,-115.48271179199219,0.3472222222222223,39.0625,0.0,-33.59375000000001
full,full_population,7,once,od_baseline,-0.2554655750214465,31.39880952380952,30.028357306166193,-0.39971810664593477,57.872584634702434,93.75,13.28125,71.18055555555556,-27.083333333333332
full,full_population,19,once,od_baseline,-1.2872449290171488,31.547619047619044,29.031397548860177,-2.014107402819519,296.3315887695244,92.0138888888889,14.0625,70.83333333333333,-25.781250000000004
full,full_population,43,once,od_baseline,-0.9987802632413292,30.357142857142854,28.145911838552117,-1.5627567657387402,229.75412573070753,94.44444444444444,16.14583333333333,64.58333333333333,-29.166666666666664
full,full_population,7,static,od_baseline,-0.33550678321934413,36.08630952380952,34.439678547938165,-0.5249558033172832,76.10406578884613,95.83333333333333,8.59375,95.13888888888889,-25.520833333333336
full,full_population,19,static,od_baseline,-1.2093418842285502,35.49107142857142,32.85287851979191,-1.8922152161237875,278.0394863730162,94.09722222222223,10.416666666666657,93.75,-27.083333333333336
full,full_population,43,static,od_baseline,-1.0775444446257012,34.672619047619044,32.14501620845248,-1.6859963429374574,248.19515776202388,96.52777777777777,11.458333333333329,92.01388888888889,-31.510416666666664
full,full_population,7,static,once,-0.08004120819789762,4.6875,4.411321241771972,-0.12523769667134843,18.231481154143694,2.0833333333333286,-4.6875,23.95833333333333,1.5624999999999964
full,full_population,19,static,once,0.07790304478859866,3.9434523809523796,3.821480970931731,0.12189218669573165,-18.2921023965082,2.0833333333333286,-3.645833333333343,22.91666666666667,-1.3020833333333321
full,full_population,43,static,once,-0.07876418138437202,4.31547619047619,3.9991043699003654,-0.12323957719871714,18.441032031316354,2.0833333333333286,-4.6875,27.430555555555557,-2.34375
full,full_population,7,mild,od_baseline,-0.4204409541168985,22.61904761904762,21.424519526203852,-0.6578493486720873,95.50212596844722,89.93055555555556,9.375,42.013888888888886,-29.166666666666668
full,full_population,19,mild,od_baseline,-0.7293396016180935,23.95833333333333,22.41176026434072,-1.1411723267847975,166.36285523654806,89.58333333333334,10.416666666666657,46.18055555555556,-28.385416666666668
full,full_population,43,mild,od_baseline,-0.14066349913142062,23.065476190476183,22.09306896571291,-0.2200912883948405,31.90576360439627,88.88888888888889,15.364583333333329,44.791666666666664,-34.89583333333333
full,full_population,7,aggressive,od_baseline,-1.0434353653825923,6.696428571428569,5.698725018639756,-1.6326270520913653,239.44790682301573,76.38888888888889,-7.552083333333329,20.48611111111111,-41.66666666666667
full,full_population,19,aggressive,od_baseline,-0.05097984181991677,7.6636904761904745,7.364301528523519,-0.07976638671432568,11.500646049982606,73.95833333333334,-7.8125,28.125,-41.927083333333336
full,full_population,43,aggressive,od_baseline,0.29770891237676267,5.431547619047613,5.452805134623922,0.465814788457692,-67.04915152876492,67.01388888888889,-8.333333333333329,24.65277777777778,-41.40625
