scenario,window,seed,policy,reference,delta_U_percent,delta_slo_percent,delta_timely_completions_per_second,delta_total_completions_per_second,delta_makespan_ms,delta_SS_slo_percent,delta_SL_slo_percent,delta_LS_slo_percent,delta_LL_slo_percent
semi,warm_2_4s,7,od_baseline,asu_baseline,-0.024460742214358788,-0.4269662921348356,1.5,1.5,-43.02090354977372,26.785714285714285,1.2658227848101262,-27.77777777777777,0.0
semi,warm_2_4s,19,od_baseline,asu_baseline,-0.9473086635159547,-1.7960320222763642,-4.0,-0.5,89.46038918147497,5.555555555555543,0.0,-28.021978021978015,0.0
semi,warm_2_4s,43,od_baseline,asu_baseline,0.04863865518827026,3.2003821351803197,1.0,0.5,-22.3761161938055,6.666666666666671,3.3333333333333286,17.142857142857146,0.0
semi,warm_2_4s,7,once,od_baseline,-0.021364788539671054,7.8619945407224066,7.0,-0.5,36.47679878189774,37.5,0.0,44.117647058823536,0.0
semi,warm_2_4s,19,once,od_baseline,0.7364127510458189,3.4961754942993224,2.5,-2.5,-143.62766835646653,22.22222222222223,-3.1746031746031775,28.57142857142857,0.0
semi,warm_2_4s,43,once,od_baseline,1.0831775519018692,5.015216068167987,4.0,-2.0,11.083686495718212,33.33333333333333,0.0,40.0,-1.3698630136986338
semi,warm_2_4s,7,static,od_baseline,-0.06244744298946614,7.284109149277697,4.5,-1.5,-0.11084991548705148,37.5,-2.5316455696202524,50.0,0.0
semi,warm_2_4s,19,static,od_baseline,0.1584294081640536,5.325443786982248,6.5,0.0,-158.84687085207406,22.22222222222223,0.0,35.71428571428571,0.0
semi,warm_2_4s,43,static,od_baseline,0.5857194817449027,5.0392593460682065,7.0,1.0,-148.10856082405007,33.33333333333333,0.0,40.0,-1.3333333333333286
semi,warm_2_4s,7,static,once,-0.041082654449795086,-0.5778853914447097,-2.5,-1.0,-36.58764869738479,0.0,-2.5316455696202524,5.882352941176464,0.0
semi,warm_2_4s,19,static,once,-0.5779833428817653,1.8292682926829258,4.0,2.5,-15.219202495607533,0.0,3.1746031746031775,7.142857142857139,0.0
semi,warm_2_4s,43,static,once,-0.4974580701569664,0.024043277900219095,3.0,3.0,-159.19224731976828,0.0,0.0,0.0,0.03652968036530524
semi,warm_2_4s,7,mild,od_baseline,0.5344817920838096,7.868307074257743,7.5,0.5,28.92911752143482,37.5,0.0,44.117647058823536,0.0
semi,warm_2_4s,19,mild,od_baseline,0.5981722897025037,3.5290366013535106,4.0,-1.0,-164.54836562412856,22.22222222222223,0.0,14.285714285714278,0.0
semi,warm_2_4s,43,mild,od_baseline,0.8090604006055031,2.4958203964652483,3.5,-0.5,-139.4758829149614,33.33333333333333,0.0,6.666666666666671,0.0
semi,warm_2_4s,7,aggressive,od_baseline,0.752437801057539,8.426966292134836,9.0,1.0,-60.9317588554768,37.5,0.0,50.0,0.0
semi,warm_2_4s,19,aggressive,od_baseline,0.7194003550862789,3.5290366013535106,3.5,-1.0,-176.73524966266632,22.22222222222223,0.0,14.285714285714278,0.0
semi,warm_2_4s,43,aggressive,od_baseline,1.0786723149538062,5.027465966085501,5.5,-0.5,-117.52715278347205,33.33333333333333,0.0,32.85714285714286,0.0
semi,long_2_6s,7,od_baseline,asu_baseline,-0.012357740189912647,-0.27578502731668664,0.25,0.25,-43.02090354977372,19.740259740259745,0.7092198581560325,-25.0,0.0
semi,long_2_6s,19,od_baseline,asu_baseline,-0.41085802335413746,-0.3363914373088761,-2.0,-0.75,89.46038918147497,9.09090909090908,0.0,-14.285714285714292,0.0
semi,long_2_6s,43,od_baseline,asu_baseline,0.12669728464231866,2.0350609756097526,2.5,2.0,-22.3761161938055,30.555555555555557,1.652892561983478,-11.49193548387096,0.0
semi,long_2_6s,7,once,od_baseline,0.19778746946705894,6.490543119902824,6.0,0.25,36.47679878189774,25.714285714285708,0.0,40.625,0.0
semi,long_2_6s,19,once,od_baseline,0.3840555768822469,2.7578706672987465,3.75,0.5,-143.62766835646653,18.181818181818187,-1.6666666666666714,18.202764976958534,0.0
semi,long_2_6s,43,once,od_baseline,0.5057803140167607,5.496094613514117,6.25,0.75,11.083686495718212,25.0,0.0,43.75,-2.068965517241381
semi,long_2_6s,7,static,od_baseline,0.2166542519328658,6.199865445324221,5.75,0.75,-0.11084991548705148,25.714285714285708,-1.3986013986014,43.75,0.0
semi,long_2_6s,19,static,od_baseline,0.11236458031173413,3.6697247706422047,5.25,1.25,-158.84687085207406,18.181818181818187,0.0,21.42857142857143,0.0
semi,long_2_6s,43,static,od_baseline,0.2423629746726732,5.798209417139489,6.5,0.75,-148.10856082405007,25.0,0.0,43.75,-1.4084507042253591
semi,long_2_6s,7,static,once,0.018866782465806864,-0.2906776745786033,-0.25,0.5,-36.58764869738479,0.0,-1.3986013986014,3.125,0.0
semi,long_2_6s,19,static,once,-0.27169099657051277,0.9118541033434582,1.5,0.75,-15.219202495607533,0.0,1.6666666666666714,3.225806451612897,0.0
