scenario,policy,window,seed_count,seeds,complete_seed_set,mean_slo_percent,mean_latency_ratio_p95_nearest_rank,min_latency_ratio_p95_nearest_rank,max_latency_ratio_p95_nearest_rank,mean_latency_ratio_p99_nearest_rank,min_latency_ratio_p99_nearest_rank,max_latency_ratio_p99_nearest_rank,mean_latency_ratio_max,min_latency_ratio_max,max_latency_ratio_max
full,aggressive,full_population,3,"[7, 19, 43]",True,47.04861111111111,2.76688578099575,2.639623701341647,2.8612659042644175,4.08372317041235,3.6290408155804563,4.640737048336021,5.85114840770131,4.835718563706777,7.207058847247792
full,aggressive,long_2_6s,3,"[7, 19, 43]",True,47.08490942226399,2.5821039900558866,2.4145254145440087,2.7850066022116295,3.2912951995266995,3.0200321352522868,3.572074716121758,3.74266571577032,3.4233606198235633,4.146549040999581
full,aggressive,warm_2_4s,3,"[7, 19, 43]",True,42.57372068113756,2.585717109436318,2.5384004407996366,2.662441329835428,3.348898145853832,3.313868742800914,3.3747463102752473,3.5511742741443793,3.4233606198235633,3.6580874864878155
full,asu_baseline,full_population,3,"[7, 19, 43]",True,39.60813492063492,12.905784312053841,12.579387686839162,13.320360668124893,16.465495204516525,16.07035444461015,16.73760944441688,20.037618979083195,18.351222841396172,21.650495024642748
full,asu_baseline,long_2_6s,3,"[7, 19, 43]",True,40.610124785117215,12.006374922763547,10.893721157024947,13.777754452885853,16.999305946157325,16.77796448595083,17.22602934057406,17.93977335294498,17.061476229562043,18.73319960189698
full,asu_baseline,warm_2_4s,3,"[7, 19, 43]",True,38.70076678474077,12.188246535280689,11.143824921783033,13.944181403870145,17.436812377269735,16.864778269673437,17.762578068039907,17.93977335294498,17.061476229562043,18.73319960189698
full,mild,full_population,3,"[7, 19, 43]",True,63.6656746031746,3.491046397224606,3.4102273788275537,3.566238344961963,4.816598262150364,4.320701621492301,5.655389993901435,6.2210997535169845,5.3165471835247455,7.681588462962744
full,mild,long_2_6s,3,"[7, 19, 43]",True,64.6477801889272,3.3178648514416573,3.1670966353423307,3.4977243605022097,4.241389450075409,4.140075091926005,4.360873435105218,4.6991450732123345,4.5916373993972766,4.757550284943472
full,mild,warm_2_4s,3,"[7, 19, 43]",True,63.308523834839626,3.4785825754988946,3.395217605612602,3.583531295632248,4.3735468713270675,4.1903524196792326,4.49631775769803,4.6991450732123345,4.5916373993972766,4.757550284943472
full,od_baseline,full_population,3,"[7, 19, 43]",True,40.45138888888889,6.683870856050085,6.615757066571832,6.737916001007139,7.32982719270217,7.288249657117289,7.3946872400871015,7.949523941371605,7.784248515396515,8.060331388182243
full,od_baseline,long_2_6s,3,"[7, 19, 43]",True,40.63781385120192,6.606137340239041,6.451291011197147,6.696870846577184,7.07662024265279,6.914882066145059,7.209430962091881,7.511118310256979,7.366010859213338,7.788287978041148
full,od_baseline,warm_2_4s,3,"[7, 19, 43]",True,34.62022128671698,6.766730541798414,6.71988343204716,6.842392192340945,7.247487981805333,7.072692263693529,7.3371533805724205,7.511118310256979,7.366010859213338,7.788287978041148
full,once,full_population,3,"[7, 19, 43]",True,71.55257936507935,3.7342227185049937,3.669874580371829,3.822673197903186,5.2042072328721005,4.768823959256538,5.781798059327939,6.663922967362827,5.499148145399515,7.992024588976952
full,once,long_2_6s,3,"[7, 19, 43]",True,71.75665126827352,3.4967877910567626,3.344176583866582,3.722822718495249,4.317664195584896,4.258071208066243,4.388234407862778,4.766558177726891,4.456503482614639,5.030498580057163
full,once,warm_2_4s,3,"[7, 19, 43]",True,71.61398109222627,3.6210340430423535,3.529240409621648,3.7413391293863616,4.51168782277618,4.368317342761916,4.730422584769352,4.766558177726891,4.456503482614639,5.030498580057163
full,static,full_population,3,"[7, 19, 43]",True,75.86805555555556,3.7202918800116183,3.6494905185252775,3.783373874295371,4.596445812692452,4.33709037354523,4.941469525316826,5.677602072254152,5.1458259739361445,6.1267101177935706
full,static,long_2_6s,3,"[7, 19, 43]",True,77.01827551067018,3.57234074688832,3.361906363477571,3.7560935507028583,4.60757765352631,4.352544271557741,4.813550854895596,4.862010212288123,4.602173832481571,5.095221087696479
full,static,warm_2_4s,3,"[7, 19, 43]",True,74.79487619327098,3.860669540272793,3.6810904629549057,4.121482947485933,4.65905732484359,4.355906933038989,4.826625389149511,4.862010212288123,4.602173832481571,5.095221087696479
semi,aggressive,full_population,3,"[7, 19, 43]",True,97.1875,1.3397275406741465,1.2889035645224334,1.4013111905334514,1.8828513267602516,1.617475230241598,2.0506505580303815,2.7825326520887175,1.9551472833000691,3.750296328744547
semi,aggressive,long_2_6s,3,"[7, 19, 43]",True,99.59718026183283,1.1589338465856291,1.134985847921144,1.1785395768343179,1.4152956736163078,1.3652488559605467,1.4816638019006623,1.5292542931257944,1.4469387042335116,1.6357088527232901
semi,aggressive,warm_2_4s,3,"[7, 19, 43]",True,99.1902271406554,1.2060457176849724,1.1082303309982062,1.3695203290772144,1.4861578495823704,1.3652488559605467,1.6200234366029578,1.5076044966880033,1.3819893149201385,1.6357088527232901
semi,asu_baseline,full_population,3,"[7, 19, 43]",True,91.7361111111111,1.9950758704221778,1.8025299375527448,2.251538157303851,4.804451436792997,3.8778412757503546,5.550186564857743,13.901706625020855,13.116092173683422,14.556186123012534
semi,asu_baseline,long_2_6s,3,"[7, 19, 43]",True,93.90676364234058,1.6477569183116412,1.3863090348038472,1.8974448658948302,2.8717623184197865,1.8930521810482406,3.504168094225074,3.5851109831522296,2.7089851752546497,4.391752147530545
semi,asu_baseline,warm_2_4s,3,"[7, 19, 43]",True,93.20327624720774,1.702291958584749,1.3739598660468173,1.983458883225059,3.0411712298238585,1.9287705340457126,3.6782947382679594,3.2443959880972257,2.0432404796110535,4.08909072569909
semi,mild,full_population,3,"[7, 19, 43]",True,97.43055555555554,1.3478324716312386,1.302465187128182,1.4075767603138836,2.0173568816548184,1.580485809927228,2.4760424630954283,3.122085856945443,1.8674828759733357,4.129411744166168
semi,mild,long_2_6s,3,"[7, 19, 43]",True,98.79325303782225,1.2057886779246436,1.136176409414665,1.25310876793852,1.5417507548179141,1.4202035980270107,1.6049835833706463,1.7775838812949665,1.5182557606167368,2.121806718669171
semi,mild,warm_2_4s,3,"[7, 19, 43]",True,98.16012554482295,1.2449613065477656,1.232057921735817,1.25310876793852,1.632265112300682,1.467737780963794,1.741198145471812,1.7775838812949665,1.5182557606167368,2.121806718669171
semi,od_baseline,full_population,3,"[7, 19, 43]",True,92.15277777777777,1.7926240202222894,1.6626170354180263,2.0080007785359126,4.501731772642414,3.235419777692849,5.386482818129189,6.415470638052717,5.92086984068369,7.033949222978213
semi,od_baseline,long_2_6s,3,"[7, 19, 43]",True,94.3810584793353,1.5377570549008703,1.3867207544745392,1.6494030533255655,2.63634219139936,2.5077471297665292,2.890075467837203,2.9473744576354197,2.741093990288774,3.254500790813477
semi,od_baseline,warm_2_4s,3,"[7, 19, 43]",True,93.52907085413078,1.7609922450018198,1.5985472378822,2.0080007785359126,2.7242159402199757,2.545669249778707,2.9695077571774604,2.883364669565586,2.5490646260792724,3.254500790813477
semi,once,full_population,3,"[7, 19, 43]",True,97.8125,1.1693951224561723,1.1498521414013525,1.2065484824707733,1.9890363049676072,1.4905640126794413,2.431785861097423,3.5537561801943625,2.2794127524257815,4.5234111473565415
semi,once,long_2_6s,3,"[7, 19, 43]",True,99.2958946129072,1.0675153910791042,1.0423611678870441,1.0807405589293948,1.3290618795229965,1.2100735066680623,1.4464627376242134,1.703928363679936,1.623208300255774,1.806623675838808
semi,once,warm_2_4s,3,"[7, 19, 43]",True,98.9868662218607,1.117900043239035,1.0243325959834573,1.2082051765793789,1.4051412244820167,1.1582744420930675,1.5665852186735416,1.703928363679936,1.623208300255774,1.806623675838808
semi,static,full_population,3,"[7, 19, 43]",True,97.8125,1.2176458316580974,1.1863020778364735,1.245213724460346,2.012297102052885,1.5324080830197178,2.351441686946605,2.8666024124349163,2.0603066370804957,3.750296328744547
semi,static,long_2_6s,3,"[7, 19, 43]",True,99.60365835703726,1.1037115280443828,1.0833138693595121,1.1238975485825509,1.3409148280025047,1.2368070392388344,1.4442278247854863,1.6436162413588324,1.4051146684705262,1.9246415124007141
semi,static,warm_2_4s,3,"[7, 19, 43]",True,99.4120082815735,1.1276723663110235,1.0729156149731782,1.1652440618389954,1.4393302895037359,1.3455163122303508,1.5860471731093557,1.519017581551677,1.4051146684705262,1.6010925432052574
