scenario,policy,seed,window,npu_id,U_percent
full,aggressive,43,warm_2_4s,12,69.58375231904712
full,aggressive,43,warm_2_4s,13,56.37068997557755
full,aggressive,43,warm_2_4s,14,56.890370548832415
full,aggressive,43,warm_2_4s,15,54.50917745403142
full,aggressive,43,warm_2_4s,16,67.24341523937149
full,aggressive,43,warm_2_4s,17,61.57480617672561
full,aggressive,43,warm_2_4s,18,50.65846613751573
full,aggressive,43,warm_2_4s,19,71.60684722908769
full,aggressive,43,warm_2_4s,20,52.34110172785509
full,aggressive,43,warm_2_4s,21,53.46799340032489
full,aggressive,43,warm_2_4s,22,62.43860465313147
full,aggressive,43,warm_2_4s,23,56.741210208087594
full,aggressive,43,warm_2_4s,24,73.91619150651145
full,aggressive,43,warm_2_4s,25,63.24133200171665
full,aggressive,43,warm_2_4s,26,62.17747837845923
full,aggressive,43,warm_2_4s,27,55.72536392923405
full,aggressive,43,warm_2_4s,28,52.252536265223775
full,aggressive,43,warm_2_4s,29,64.95650503554735
full,aggressive,43,warm_2_4s,30,66.08373360885193
full,aggressive,43,warm_2_4s,31,57.18755873156119
full,aggressive,43,long_2_6s,0,66.57427403642797
full,aggressive,43,long_2_6s,1,59.70201014389824
full,aggressive,43,long_2_6s,2,64.47273261010666
full,aggressive,43,long_2_6s,3,68.27886055422653
full,aggressive,43,long_2_6s,4,54.18975507026043
full,aggressive,43,long_2_6s,5,61.42420349947865
full,aggressive,43,long_2_6s,6,67.21458009974796
full,aggressive,43,long_2_6s,7,67.03534634026757
full,aggressive,43,long_2_6s,8,57.210534479528086
full,aggressive,43,long_2_6s,9,57.80333816749754
full,aggressive,43,long_2_6s,10,60.14856257913584
full,aggressive,43,long_2_6s,11,67.87737959204279
full,aggressive,43,long_2_6s,12,66.60915804512678
full,aggressive,43,long_2_6s,13,62.355664070205904
full,aggressive,43,long_2_6s,14,59.490048594782074
full,aggressive,43,long_2_6s,15,52.62253105070933
full,aggressive,43,long_2_6s,16,64.35009511997266
full,aggressive,43,long_2_6s,17,62.36251766435411
full,aggressive,43,long_2_6s,18,67.24600108668042
full,aggressive,43,long_2_6s,19,66.2320892163562
full,aggressive,43,long_2_6s,20,54.615696633762106
full,aggressive,43,long_2_6s,21,61.31562335600554
full,aggressive,43,long_2_6s,22,68.74659719930109
full,aggressive,43,long_2_6s,23,64.50339277773604
full,aggressive,43,long_2_6s,24,75.13739641269342
full,aggressive,43,long_2_6s,25,63.18587590458673
full,aggressive,43,long_2_6s,26,61.922474583694225
full,aggressive,43,long_2_6s,27,68.51359654636241
full,aggressive,43,long_2_6s,28,61.24514298807867
full,aggressive,43,long_2_6s,29,62.186743070847704
full,aggressive,43,long_2_6s,30,62.2061497623454
full,aggressive,43,long_2_6s,31,58.36724345262885
full,aggressive,43,full_population,0,61.906318286897786
full,aggressive,43,full_population,1,61.906318286897815
full,aggressive,43,full_population,2,61.90631828689777
full,aggressive,43,full_population,3,61.906318286897836
full,aggressive,43,full_population,4,61.90631828689774
full,aggressive,43,full_population,5,61.9063182868977
full,aggressive,43,full_population,6,61.90631828689791
full,aggressive,43,full_population,7,61.90631828689782
full,aggressive,43,full_population,8,61.90631828689802
full,aggressive,43,full_population,9,61.90631828689793
full,aggressive,43,full_population,10,61.906318286897886
full,aggressive,43,full_population,11,61.906318286897815
full,aggressive,43,full_population,12,61.906318286897815
full,aggressive,43,full_population,13,61.906318286897935
