scenario,policy,seed,window,slo_percent,latency_ratio_count,latency_ratio_p95_rank,latency_ratio_p99_rank,latency_ratio_p95_nearest_rank,latency_ratio_p99_nearest_rank,latency_ratio_max
full,aggressive,19,warm_2_4s,38.97435897435897,195,186,194,2.5563095576738895,3.313868742800914,3.4233606198235633
full,aggressive,19,long_2_6s,46.90721649484536,388,369,385,2.4145254145440087,3.0200321352522868,3.4233606198235633
full,aggressive,19,full_population,47.61904761904762,1344,1277,1331,2.639623701341647,4.640737048336021,7.207058847247792
full,aggressive,43,warm_2_4s,40.21739130434783,184,175,183,2.662441329835428,3.3580793844853343,3.572074716121758
full,aggressive,43,long_2_6s,46.45669291338583,381,362,378,2.7850066022116295,3.572074716121758,4.146549040999581
full,aggressive,43,full_population,46.57738095238095,1344,1277,1331,2.8612659042644175,3.981391647320572,5.510667812149362
full,aggressive,7,warm_2_4s,48.529411764705884,204,194,202,2.5384004407996366,3.3747463102752473,3.6580874864878155
full,aggressive,7,long_2_6s,47.89081885856079,403,383,399,2.5467799534120217,3.281778747206054,3.6580874864878155
full,aggressive,7,full_population,46.94940476190476,1344,1277,1331,2.799767737381185,3.6290408155804563,4.835718563706777
full,asu_baseline,19,warm_2_4s,40.526315789473685,190,181,189,11.476733280188888,16.864778269673437,17.061476229562043
full,asu_baseline,19,long_2_6s,41.282051282051285,390,371,387,11.34764915837984,16.77796448595083,17.061476229562043
full,asu_baseline,19,full_population,39.50892857142857,1344,1277,1331,12.579387686839162,16.588521724522543,18.351222841396172
full,asu_baseline,43,warm_2_4s,38.20224719101124,178,170,177,11.143824921783033,17.762578068039907,18.73319960189698
full,asu_baseline,43,long_2_6s,40.05449591280654,367,349,364,10.893721157024947,16.993924011947094,18.73319960189698
full,asu_baseline,43,full_population,39.50892857142857,1344,1277,1331,12.817604581197472,16.07035444461015,20.111139071210662
full,asu_baseline,7,warm_2_4s,37.37373737373738,198,189,197,13.944181403870145,17.683080794095858,18.024644227375905
full,asu_baseline,7,long_2_6s,40.49382716049383,405,385,401,13.777754452885853,17.22602934057406,18.024644227375905
full,asu_baseline,7,full_population,39.80654761904762,1344,1277,1331,13.320360668124893,16.73760944441688,21.650495024642748
full,mild,19,warm_2_4s,63.1578947368421,190,181,189,3.456998825251835,4.433970436603939,4.5916373993972766
full,mild,19,long_2_6s,65.13994910941476,393,374,390,3.1670966353423307,4.360873435105218,4.5916373993972766
full,mild,19,full_population,63.913690476190474,1344,1277,1331,3.566238344961963,5.655389993901435,7.681588462962744
full,mild,43,warm_2_4s,63.63636363636363,187,178,186,3.395217605612602,4.49631775769803,4.748247535296254
full,mild,43,long_2_6s,64.8936170212766,376,358,373,3.288773558480431,4.223219823195001,4.748247535296254
full,mild,43,full_population,64.21130952380952,1344,1277,1331,3.4102273788275537,4.4737031710573545,5.665163614063465
full,mild,7,warm_2_4s,63.13131313131313,198,189,197,3.583531295632248,4.1903524196792326,4.757550284943472
full,mild,7,long_2_6s,63.909774436090224,399,380,396,3.4977243605022097,4.140075091926005,4.757550284943472
full,mild,7,full_population,62.87202380952381,1344,1277,1331,3.496673467884302,4.320701621492301,5.3165471835247455
full,od_baseline,19,warm_2_4s,35.05154639175258,194,185,193,6.71988343204716,7.072692263693529,7.366010859213338
full,od_baseline,19,long_2_6s,44.010416666666664,384,365,381,6.451291011197147,6.914882066145059,7.366010859213338
full,od_baseline,19,full_population,39.955357142857146,1344,1277,1331,6.615757066571832,7.30654468090212,8.003991920536057
full,od_baseline,43,warm_2_4s,34.25414364640884,181,172,180,6.737916001007139,7.33261830115005,7.37905609351645
full,od_baseline,43,long_2_6s,41.28686327077748,373,355,370,6.670250162942792,7.1055476997214315,7.37905609351645
full,od_baseline,43,full_population,41.145833333333336,1344,1277,1331,6.737916001007139,7.288249657117289,7.784248515396515
full,od_baseline,7,warm_2_4s,34.55497382198953,191,182,190,6.842392192340945,7.3371533805724205,7.788287978041148
full,od_baseline,7,long_2_6s,36.61616161616162,396,377,393,6.696870846577184,7.209430962091881,7.788287978041148
full,od_baseline,7,full_population,40.25297619047619,1344,1277,1331,6.697939500571285,7.3946872400871015,8.060331388182243
full,once,19,warm_2_4s,73.29842931937172,191,182,190,3.592522590119052,4.436323540797272,4.456503482614639
full,once,19,long_2_6s,70.95115681233933,389,370,386,3.4233640708084576,4.306686970825667,4.456503482614639
full,once,19,full_population,71.50297619047619,1344,1277,1331,3.822673197903186,5.781798059327939,7.992024588976952
full,once,43,warm_2_4s,66.66666666666667,180,171,179,3.529240409621648,4.730422584769352,5.030498580057163
full,once,43,long_2_6s,70.13333333333334,375,357,372,3.344176583866582,4.258071208066243,5.030498580057163
full,once,43,full_population,71.50297619047619,1344,1277,1331,3.710120377239966,5.061999680031824,6.500596167712016
full,once,7,warm_2_4s,74.8768472906404,203,193,201,3.7413391293863616,4.368317342761916,4.812672470508871
full,once,7,long_2_6s,74.18546365914787,399,380,396,3.722822718495249,4.388234407862778,4.812672470508871
full,once,7,full_population,71.65178571428571,1344,1277,1331,3.669874580371829,4.768823959256538,5.499148145399515
full,static,19,warm_2_4s,76.6839378238342,193,184,192,3.6810904629549057,4.355906933038989,4.602173832481571
full,static,19,long_2_6s,77.2378516624041,391,372,388,3.361906363477571,4.352544271557741,4.602173832481571
full,static,19,full_population,75.44642857142857,1344,1277,1331,3.783373874295371,4.941469525316826,5.760270125032741
full,static,43,warm_2_4s,74.30167597765363,179,171,178,4.121482947485933,4.794639652342271,4.888635716686317
full,static,43,long_2_6s,78.37837837837837,370,352,367,3.7560935507028583,4.656637834125596,4.888635716686317
full,static,43,full_population,75.81845238095238,1344,1277,1331,3.6494905185252775,4.510777539215301,6.1267101177935706
full,static,7,warm_2_4s,73.39901477832512,203,193,201,3.7794352103775406,4.826625389149511,5.095221087696479
full,static,7,long_2_6s,75.43859649122807,399,380,396,3.59902232648453,4.813550854895596,5.095221087696479
full,static,7,full_population,76.33928571428571,1344,1277,1331,3.728011247214206,4.33709037354523,5.1458259739361445
semi,aggressive,19,warm_2_4s,98.20359281437126,167,159,166,1.3695203290772144,1.6200234366029578,1.6357088527232901
semi,aggressive,19,long_2_6s,99.09365558912387,331,315,328,1.1785395768343179,1.4816638019006623,1.6357088527232901
semi,aggressive,19,full_population,96.66666666666667,960,912,951,1.4013111905334514,2.0506505580303815,3.750296328744547
semi,aggressive,43,warm_2_4s,99.36708860759494,158,151,157,1.1082303309982062,1.4732012561836065,1.5051153224205815
semi,aggressive,43,long_2_6s,99.69788519637463,331,315,328,1.1632761150014257,1.3989743629877145,1.5051153224205815
semi,aggressive,43,full_population,96.66666666666667,960,912,951,1.3289678669665552,1.9804281920087756,2.642154344221537
semi,aggressive,7,warm_2_4s,100.0,180,171,179,1.1403864929794962,1.3652488559605467,1.3819893149201385
semi,aggressive,7,long_2_6s,100.0,340,323,337,1.134985847921144,1.3652488559605467,1.4469387042335116
semi,aggressive,7,full_population,98.22916666666667,960,912,951,1.2889035645224334,1.617475230241598,1.9551472833000691
semi,asu_baseline,19,warm_2_4s,96.47058823529412,170,162,169,1.3739598660468173,1.9287705340457126,2.0432404796110535
semi,asu_baseline,19,long_2_6s,96.66666666666667,330,314,327,1.3863090348038472,1.8930521810482406,2.7089851752546497
semi,asu_baseline,19,full_population,93.22916666666667,960,912,951,1.8025299375527448,5.550186564857743,13.116092173683422
semi,asu_baseline,43,warm_2_4s,91.13924050632912,158,151,157,1.983458883225059,3.6782947382679594,4.08909072569909
semi,asu_baseline,43,long_2_6s,91.5625,320,304,317,1.8974448658948302,3.2180666799860442,4.391752147530545
semi,asu_baseline,43,full_population,90.20833333333333,960,912,951,2.251538157303851,4.985326469770892,14.032841578366606
semi,asu_baseline,7,warm_2_4s,92.0,175,167,174,1.7494571264823706,3.516448417157903,3.6008567589815326
semi,asu_baseline,7,long_2_6s,93.49112426035504,338,322,335,1.6595168542362462,3.504168094225074,3.654595626671493
semi,asu_baseline,7,full_population,91.77083333333333,960,912,951,1.9311595164099378,3.8778412757503546,14.556186123012534
semi,mild,19,warm_2_4s,98.20359281437126,167,159,166,1.2497172299689594,1.68785941046644,1.6926891645989912
semi,mild,19,long_2_6s,98.48024316109422,329,313,326,1.228080856420746,1.6000650830560856,1.6926891645989912
semi,mild,19,full_population,97.08333333333333,960,912,951,1.3334554674516501,2.4760424630954283,4.129411744166168
semi,mild,43,warm_2_4s,96.83544303797468,158,151,157,1.25310876793852,1.741198145471812,2.121806718669171
semi,mild,43,long_2_6s,98.19277108433735,332,316,329,1.25310876793852,1.6049835833706463,2.121806718669171
semi,mild,43,full_population,96.875,960,912,951,1.4075767603138836,1.9955423719417984,3.3693629506968246
semi,mild,7,warm_2_4s,99.44134078212291,179,171,178,1.232057921735817,1.467737780963794,1.5182557606167368
semi,mild,7,long_2_6s,99.70674486803519,341,324,338,1.136176409414665,1.4202035980270107,1.5182557606167368
semi,mild,7,full_population,98.33333333333333,960,912,951,1.302465187128182,1.580485809927228,1.8674828759733357
semi,od_baseline,19,warm_2_4s,94.67455621301775,169,161,168,1.5985472378822,2.6574708137037595,2.846528591804008
semi,od_baseline,19,long_2_6s,96.3302752293578,327,311,324,1.3867207544745392,2.5077471297665292,2.846528591804008
semi,od_baseline,19,full_population,93.33333333333333,960,912,951,1.6626170354180263,5.386482818129189,6.291592850496247
semi,od_baseline,43,warm_2_4s,94.33962264150944,159,152,158,2.0080007785359126,2.9695077571774604,3.254500790813477
semi,od_baseline,43,long_2_6s,93.59756097560975,328,312,325,1.6494030533255655,2.890075467837203,3.254500790813477
semi,od_baseline,43,full_population,90.3125,960,912,951,2.0080007785359126,4.883292722105206,7.033949222978213
semi,od_baseline,7,warm_2_4s,91.57303370786516,178,170,177,1.6764287185873468,2.545669249778707,2.5490646260792724
semi,od_baseline,7,long_2_6s,93.21533923303835,339,323,336,1.5771473569025058,2.5112039765943477,2.741093990288774
semi,od_baseline,7,full_population,92.8125,960,912,951,1.7072542467129288,3.235419777692849,5.92086984068369
semi,once,19,warm_2_4s,98.17073170731707,164,156,163,1.1211623571542684,1.5665852186735416,1.806623675838808
semi,once,19,long_2_6s,99.08814589665654,329,313,326,1.079444446420874,1.2100735066680623,1.806623675838808
semi,once,19,full_population,97.39583333333333,960,912,951,1.1498521414013525,2.431785861097423,4.5234111473565415
semi,once,43,warm_2_4s,99.35483870967742,155,148,154,1.0243325959834573,1.1582744420930675,1.6819531149452258
semi,once,43,long_2_6s,99.09365558912387,331,315,328,1.0423611678870441,1.4464627376242134,1.6819531149452258
semi,once,43,full_population,96.97916666666667,960,912,951,1.2065484824707733,2.0447590411259577,3.8584446408007653
semi,once,7,warm_2_4s,99.43502824858757,177,169,176,1.2082051765793789,1.4905640126794413,1.623208300255774
semi,once,7,long_2_6s,99.70588235294117,340,323,337,1.0807405589293948,1.3306493942767137,1.623208300255774
semi,once,7,full_population,99.0625,960,912,951,1.1517847434963915,1.4905640126794413,2.2794127524257815
semi,static,19,warm_2_4s,100.0,169,161,168,1.1652440618389954,1.3864273831715017,1.4051146684705262
semi,static,19,long_2_6s,100.0,332,316,329,1.1238975485825509,1.341709619983194,1.4051146684705262
semi,static,19,full_population,97.08333333333333,960,912,951,1.2214216926774724,2.351441686946605,3.750296328744547
semi,static,43,warm_2_4s,99.37888198757764,161,153,160,1.0729156149731782,1.3455163122303508,1.550845532979248
semi,static,43,long_2_6s,99.39577039274924,331,315,328,1.103923166191085,1.4442278247854863,1.9246415124007141
semi,static,43,full_population,97.39583333333333,960,912,951,1.245213724460346,2.153041536192332,2.789204271479705
semi,static,7,warm_2_4s,98.85714285714286,175,167,174,1.1448574221208965,1.5860471731093557,1.6010925432052574
semi,static,7,long_2_6s,99.41520467836257,342,325,339,1.0833138693595121,1.2368070392388344,1.6010925432052574
semi,static,7,full_population,98.95833333333333,960,912,951,1.1863020778364735,1.5324080830197178,2.0603066370804957
