scenario,policy,seed,window,category,count,passed,percent,active_U_percent
full,mild,19,warm_2_4s,SL,60,57,95.0,94.40351841488345
full,mild,19,warm_2_4s,LS,42,18,42.857142857142854,62.03013332596152
full,mild,19,warm_2_4s,LL,56,14,25.0,50.99066832226251
full,mild,19,long_2_6s,SS,78,70,89.74358974358974,82.34848926599261
full,mild,19,long_2_6s,SL,123,113,91.869918699187,92.43772047884318
full,mild,19,long_2_6s,LS,76,41,53.94736842105263,64.81597020220092
full,mild,19,long_2_6s,LL,116,32,27.586206896551722,59.12429858193443
full,mild,19,full_population,SS,288,264,91.66666666666667,78.49795602127135
full,mild,19,full_population,SL,384,353,91.92708333333333,93.93008389445744
full,mild,19,full_population,LS,288,133,46.18055555555556,55.526287556365084
full,mild,19,full_population,LL,384,109,28.385416666666668,56.29333003247847
full,mild,43,warm_2_4s,SS,36,33,91.66666666666667,81.04564788622612
full,mild,43,warm_2_4s,SL,48,48,100.0,97.2587389777395
full,mild,43,warm_2_4s,LS,49,25,51.02040816326531,59.147628671194035
full,mild,43,warm_2_4s,LL,54,13,24.074074074074073,52.90260822117729
full,mild,43,long_2_6s,SS,58,53,91.37931034482759,82.07944253015224
full,mild,43,long_2_6s,SL,111,111,100.0,97.32547778929468
full,mild,43,long_2_6s,LS,93,46,49.46236559139785,58.94747659912185
full,mild,43,long_2_6s,LL,114,34,29.82456140350877,56.3099343513004
full,mild,43,full_population,SS,288,259,89.93055555555556,80.30128971448649
full,mild,43,full_population,SL,384,371,96.61458333333333,94.82281324008815
full,mild,43,full_population,LS,288,129,44.791666666666664,54.914478369975164
full,mild,43,full_population,LL,384,104,27.083333333333332,56.91685799319305
full,mild,7,warm_2_4s,SS,38,36,94.73684210526316,84.2822618620243
full,mild,7,warm_2_4s,SL,62,62,100.0,97.96672686595898
full,mild,7,warm_2_4s,LS,39,16,41.02564102564103,60.01834576347234
full,mild,7,warm_2_4s,LL,59,11,18.64406779661017,59.49450333685997
full,mild,7,long_2_6s,SS,77,74,96.1038961038961,86.5919589364321
full,mild,7,long_2_6s,SL,122,119,97.54098360655738,96.32215351230849
full,mild,7,long_2_6s,LS,78,35,44.87179487179487,63.132190738816995
full,mild,7,long_2_6s,LL,122,27,22.131147540983605,54.73021985228375
full,mild,7,full_population,SS,288,261,90.625,79.3873792419375
full,mild,7,full_population,SL,384,353,91.92708333333333,91.87543927817339
full,mild,7,full_population,LS,288,121,42.013888888888886,57.89079385039261
full,mild,7,full_population,LL,384,110,28.645833333333332,56.57354176331785
full,od_baseline,19,warm_2_4s,SS,30,0,0.0,19.13810658558271
full,od_baseline,19,warm_2_4s,SL,62,42,67.74193548387096,85.72734742059171
full,od_baseline,19,warm_2_4s,LS,44,0,0.0,15.593328345114918
full,od_baseline,19,warm_2_4s,LL,58,26,44.827586206896555,77.12145124355348
full,od_baseline,19,long_2_6s,SS,72,0,0.0,20.38018116821617
full,od_baseline,19,long_2_6s,SL,118,95,80.50847457627118,88.00480322835152
full,od_baseline,19,long_2_6s,LS,78,0,0.0,16.505822642161583
full,od_baseline,19,long_2_6s,LL,116,74,63.793103448275865,84.43286766891639
full,od_baseline,19,full_population,SS,288,6,2.0833333333333335,19.5200761752345
full,od_baseline,19,full_population,SL,384,313,81.51041666666667,88.97000153286706
full,od_baseline,19,full_population,LS,288,0,0.0,16.312383477441113
full,od_baseline,19,full_population,LL,384,218,56.770833333333336,83.38099857035968
full,od_baseline,43,warm_2_4s,SS,31,0,0.0,17.988096946847353
full,od_baseline,43,warm_2_4s,SL,40,30,75.0,88.77275600395275
full,od_baseline,43,warm_2_4s,LS,51,0,0.0,15.796282578135461
full,od_baseline,43,warm_2_4s,LL,59,32,54.23728813559322,83.11711056598813
full,od_baseline,43,long_2_6s,SS,60,0,0.0,19.460065441178195
