scenario,policy,seed,window,profile,count,passed,percent
full,static,7,full_population,128:256,96,89,92.70833333333333
full,static,7,full_population,128:4096,32,30,93.75
full,static,7,full_population,160:1024,64,0,0.0
full,static,7,full_population,160:2048,32,8,25.0
full,static,7,full_population,160:256,96,92,95.83333333333333
full,static,7,full_population,160:4096,32,32,100.0
full,static,7,full_population,200:1024,64,0,0.0
full,static,7,full_population,200:2048,32,19,59.375
full,static,7,full_population,200:256,96,93,96.875
full,static,7,full_population,200:4096,32,32,100.0
full,static,7,full_population,32:1024,64,59,92.1875
full,static,7,full_population,32:2048,32,29,90.625
full,static,7,full_population,32:256,96,91,94.79166666666667
full,static,7,full_population,32:4096,32,31,96.875
full,static,7,full_population,64:1024,64,55,85.9375
full,static,7,full_population,64:2048,32,30,93.75
full,static,7,full_population,64:256,96,94,97.91666666666667
full,static,7,full_population,64:4096,32,31,96.875
full,static,7,full_population,80:1024,64,54,84.375
full,static,7,full_population,80:2048,32,29,90.625
full,static,7,full_population,80:256,96,93,96.875
full,static,7,full_population,80:4096,32,32,100.0
semi,aggressive,19,warm_2_4s,128:1024,3,3,100.0
semi,aggressive,19,warm_2_4s,128:2048,5,5,100.0
semi,aggressive,19,warm_2_4s,128:256,5,4,80.0
semi,aggressive,19,warm_2_4s,128:4096,14,14,100.0
semi,aggressive,19,warm_2_4s,160:1024,9,9,100.0
semi,aggressive,19,warm_2_4s,160:2048,10,10,100.0
semi,aggressive,19,warm_2_4s,160:256,4,3,75.0
semi,aggressive,19,warm_2_4s,160:4096,7,7,100.0
semi,aggressive,19,warm_2_4s,200:1024,6,6,100.0
semi,aggressive,19,warm_2_4s,200:2048,5,5,100.0
semi,aggressive,19,warm_2_4s,200:256,5,4,80.0
semi,aggressive,19,warm_2_4s,200:4096,12,12,100.0
semi,aggressive,19,warm_2_4s,32:1024,6,6,100.0
semi,aggressive,19,warm_2_4s,32:2048,7,7,100.0
semi,aggressive,19,warm_2_4s,32:256,7,7,100.0
semi,aggressive,19,warm_2_4s,32:4096,8,8,100.0
semi,aggressive,19,warm_2_4s,64:1024,4,4,100.0
semi,aggressive,19,warm_2_4s,64:2048,4,4,100.0
semi,aggressive,19,warm_2_4s,64:256,4,4,100.0
semi,aggressive,19,warm_2_4s,64:4096,11,11,100.0
semi,aggressive,19,warm_2_4s,80:1024,4,4,100.0
semi,aggressive,19,warm_2_4s,80:2048,6,6,100.0
semi,aggressive,19,warm_2_4s,80:256,7,7,100.0
semi,aggressive,19,warm_2_4s,80:4096,14,14,100.0
semi,aggressive,19,long_2_6s,128:1024,13,13,100.0
semi,aggressive,19,long_2_6s,128:2048,7,7,100.0
semi,aggressive,19,long_2_6s,128:256,10,9,90.0
semi,aggressive,19,long_2_6s,128:4096,25,25,100.0
semi,aggressive,19,long_2_6s,160:1024,12,12,100.0
semi,aggressive,19,long_2_6s,160:2048,17,17,100.0
semi,aggressive,19,long_2_6s,160:256,12,11,91.66666666666667
semi,aggressive,19,long_2_6s,160:4096,21,21,100.0
semi,aggressive,19,long_2_6s,200:1024,10,10,100.0
semi,aggressive,19,long_2_6s,200:2048,13,13,100.0
semi,aggressive,19,long_2_6s,200:256,9,8,88.88888888888889
semi,aggressive,19,long_2_6s,200:4096,24,24,100.0
semi,aggressive,19,long_2_6s,32:1024,12,12,100.0
semi,aggressive,19,long_2_6s,32:2048,15,15,100.0
semi,aggressive,19,long_2_6s,32:256,11,11,100.0
semi,aggressive,19,long_2_6s,32:4096,15,15,100.0
semi,aggressive,19,long_2_6s,64:1024,6,6,100.0
semi,aggressive,19,long_2_6s,64:2048,12,12,100.0
semi,aggressive,19,long_2_6s,64:256,10,10,100.0
semi,aggressive,19,long_2_6s,64:4096,22,22,100.0
semi,aggressive,19,long_2_6s,80:1024,10,10,100.0
semi,aggressive,19,long_2_6s,80:2048,8,8,100.0
semi,aggressive,19,long_2_6s,80:256,13,13,100.0
semi,aggressive,19,long_2_6s,80:4096,24,24,100.0
semi,aggressive,19,full_population,128:1024,32,30,93.75
semi,aggressive,19,full_population,128:2048,32,31,96.875
semi,aggressive,19,full_population,128:256,32,28,87.5
semi,aggressive,19,full_population,128:4096,64,64,100.0
semi,aggressive,19,full_population,160:1024,32,31,96.875
semi,aggressive,19,full_population,160:2048,32,32,100.0
semi,aggressive,19,full_population,160:256,32,30,93.75
semi,aggressive,19,full_population,160:4096,64,64,100.0
semi,aggressive,19,full_population,200:1024,32,29,90.625
semi,aggressive,19,full_population,200:2048,32,32,100.0
semi,aggressive,19,full_population,200:256,32,26,81.25
semi,aggressive,19,full_population,200:4096,64,64,100.0
semi,aggressive,19,full_population,32:1024,32,31,96.875
semi,aggressive,19,full_population,32:2048,32,30,93.75
semi,aggressive,19,full_population,32:256,32,28,87.5
semi,aggressive,19,full_population,32:4096,64,64,100.0
semi,aggressive,19,full_population,64:1024,32,31,96.875
semi,aggressive,19,full_population,64:2048,32,32,100.0
semi,aggressive,19,full_population,64:256,32,30,93.75
semi,aggressive,19,full_population,64:4096,64,64,100.0
semi,aggressive,19,full_population,80:1024,32,31,96.875
semi,aggressive,19,full_population,80:2048,32,32,100.0
semi,aggressive,19,full_population,80:256,32,30,93.75
semi,aggressive,19,full_population,80:4096,64,64,100.0
semi,aggressive,43,warm_2_4s,128:1024,1,1,100.0
semi,aggressive,43,warm_2_4s,128:2048,5,5,100.0
semi,aggressive,43,warm_2_4s,128:256,4,4,100.0
semi,aggressive,43,warm_2_4s,128:4096,18,18,100.0
semi,aggressive,43,warm_2_4s,160:1024,5,5,100.0
semi,aggressive,43,warm_2_4s,160:2048,8,8,100.0
semi,aggressive,43,warm_2_4s,160:256,6,5,83.33333333333333
semi,aggressive,43,warm_2_4s,160:4096,18,18,100.0
semi,aggressive,43,warm_2_4s,200:1024,5,5,100.0
semi,aggressive,43,warm_2_4s,200:2048,8,8,100.0
semi,aggressive,43,warm_2_4s,200:256,4,4,100.0
semi,aggressive,43,warm_2_4s,200:4096,7,7,100.0
semi,aggressive,43,warm_2_4s,32:1024,4,4,100.0
semi,aggressive,43,warm_2_4s,32:2048,2,2,100.0
semi,aggressive,43,warm_2_4s,32:256,2,2,100.0
semi,aggressive,43,warm_2_4s,32:4096,12,12,100.0
semi,aggressive,43,warm_2_4s,64:1024,7,7,100.0
semi,aggressive,43,warm_2_4s,64:2048,4,4,100.0
semi,aggressive,43,warm_2_4s,64:256,3,3,100.0
semi,aggressive,43,warm_2_4s,64:4096,9,9,100.0
semi,aggressive,43,warm_2_4s,80:1024,6,6,100.0
semi,aggressive,43,warm_2_4s,80:2048,7,7,100.0
semi,aggressive,43,warm_2_4s,80:256,3,3,100.0
semi,aggressive,43,warm_2_4s,80:4096,10,10,100.0
semi,aggressive,43,long_2_6s,128:1024,7,7,100.0
semi,aggressive,43,long_2_6s,128:2048,15,15,100.0
semi,aggressive,43,long_2_6s,128:256,10,10,100.0
semi,aggressive,43,long_2_6s,128:4096,22,22,100.0
semi,aggressive,43,long_2_6s,160:1024,8,8,100.0
semi,aggressive,43,long_2_6s,160:2048,14,14,100.0
semi,aggressive,43,long_2_6s,160:256,10,9,90.0
semi,aggressive,43,long_2_6s,160:4096,36,36,100.0
semi,aggressive,43,long_2_6s,200:1024,10,10,100.0
semi,aggressive,43,long_2_6s,200:2048,15,15,100.0
semi,aggressive,43,long_2_6s,200:256,11,11,100.0
semi,aggressive,43,long_2_6s,200:4096,16,16,100.0
semi,aggressive,43,long_2_6s,32:1024,10,10,100.0
semi,aggressive,43,long_2_6s,32:2048,8,8,100.0
semi,aggressive,43,long_2_6s,32:256,9,9,100.0
semi,aggressive,43,long_2_6s,32:4096,27,27,100.0
semi,aggressive,43,long_2_6s,64:1024,15,15,100.0
semi,aggressive,43,long_2_6s,64:2048,9,9,100.0
semi,aggressive,43,long_2_6s,64:256,11,11,100.0
semi,aggressive,43,long_2_6s,64:4096,19,19,100.0
semi,aggressive,43,long_2_6s,80:1024,9,9,100.0
semi,aggressive,43,long_2_6s,80:2048,13,13,100.0
semi,aggressive,43,long_2_6s,80:256,7,7,100.0
