scenario,seed,policy,window,start_ms,end_ms,U_percent,slo_percent,slo_count,slo_passed,arrival_slo_percent,completed_after_window,timely_completions_per_second,total_completions_per_second,all_npus_active,all_disks_overload_percent,any_disk_overload_percent,SSU0_mean_demand_GiB_s,SSU0_overload_percent,SSU0_actual_GiB_s,SSU0_busy_percent,SSU1_mean_demand_GiB_s,SSU1_overload_percent,SSU1_actual_GiB_s,SSU1_busy_percent,SSU2_mean_demand_GiB_s,SSU2_overload_percent,SSU2_actual_GiB_s,SSU2_busy_percent,SS_slo_percent,SS_slo_count,SS_slo_passed,SS_active_U_percent,SL_slo_percent,SL_slo_count,SL_slo_passed,SL_active_U_percent,LS_slo_percent,LS_slo_count,LS_slo_passed,LS_active_U_percent,LL_slo_percent,LL_slo_count,LL_slo_passed,LL_active_U_percent,latency_ratio_count,latency_ratio_p95_rank,latency_ratio_p99_rank,latency_ratio_p95_nearest_rank,latency_ratio_p99_nearest_rank,latency_ratio_max,makespan_ms,case,manifest_sha256,result_sha256
full,19,aggressive,warm_2_4s,2000.0,4000.0,60.366801264391974,38.97435897435897,195,76,0.0,32,35.5,97.5,True,100.0,100.0,65.21294586452494,100.0,36.66642552013122,91.66606380032803,71.477320090289,100.0,40.0,100.0,69.5453342012283,100.0,38.858669246920414,97.14667311730105,69.6969696969697,33,23,66.74136588422645,50.0,64,32,75.72106062009519,26.08695652173913,46,12,54.78383823851056,17.307692307692307,52,9,54.6233330686614,195,186,194,2.5563095576738895,3.313868742800914,3.4233606198235633,13926.121973630106,full_aggressive_seed19_remote,0c47f81d8c5dd71462a9db27fb5a99cd23eca366373034b9abc78c8db7eb6f50,0fe1a3e2415f932f6e9fd57eb8743f4a1c3d197045b5bbc8386a1a3799465854
full,19,aggressive,long_2_6s,2000.0,6000.0,65.36712556479196,46.90721649484536,388,182,0.0,32,45.5,97.0,True,93.87393978715654,96.12196484740586,60.680749130724394,93.87393978715654,36.41220751104217,91.03051877760542,66.51404836144187,96.12196484740586,40.0,100.0,64.90527839560377,95.87116471065714,38.96028795537809,97.40071988844525,78.37837837837837,74,58,71.24192928850219,61.47540983606557,122,75,78.61882231492805,32.467532467532465,77,25,55.89050175069003,20.869565217391305,115,24,61.94258899928825,388,369,385,2.4145254145440087,3.0200321352522868,3.4233606198235633,13926.121973630106,full_aggressive_seed19_remote,0c47f81d8c5dd71462a9db27fb5a99cd23eca366373034b9abc78c8db7eb6f50,0fe1a3e2415f932f6e9fd57eb8743f4a1c3d197045b5bbc8386a1a3799465854
full,19,aggressive,full_population,0.0,13926.121973630106,61.680464834838894,47.61904761904762,1344,640,0.1488095238095238,0,45.95679983357003,96.50927965049706,False,92.7086597033515,94.50225825486048,63.03038824720802,92.7086597033515,35.779883686037955,89.44970921509488,69.17792609990148,94.50225825486048,39.299064762770975,98.24766190692743,67.4933606315271,93.89467398053029,38.35558328883178,95.88895822207945,76.04166666666667,288,219,70.2005696341691,73.69791666666667,384,283,83.74339846725597,28.125,288,81,51.035119229847396,14.84375,384,57,58.7086691192518,1344,1277,1331,2.639623701341647,4.640737048336021,7.207058847247792,13926.121973630106,full_aggressive_seed19_remote,0c47f81d8c5dd71462a9db27fb5a99cd23eca366373034b9abc78c8db7eb6f50,0fe1a3e2415f932f6e9fd57eb8743f4a1c3d197045b5bbc8386a1a3799465854
full,43,aggressive,warm_2_4s,2000.0,4000.0,60.8935184851159,40.21739130434783,184,74,0.0,32,34.0,92.0,True,96.6042056185971,100.0,65.7220531526707,96.6042056185971,35.909737107421876,89.77434276855469,72.26314163962878,100.0,40.0,100.0,70.07622642890092,100.0,38.46681118209273,96.16702795523183,64.86486486486487,37,24,70.58171645620433,72.0,50,36,85.42406641237399,17.77777777777778,45,8,50.88975888299807,11.538461538461538,52,6,54.60602139113256,184,175,183,2.662441329835428,3.3580793844853343,3.572074716121758,13875.315160875372,full_aggressive_seed43_local,ab42a8ed82d9eedc189732d60ec66dbec9ea022cf071269494858a6c39f5683f,5427be5ec882c6ecefc7d87c89c0846ff9f7a79e1c4cb6c5afc6982b271c6341
full,43,aggressive,long_2_6s,2000.0,6000.0,62.97330045965151,46.45669291338583,381,177,0.0,32,40.25,95.25,True,95.93343356344023,100.0,65.17008891667803,95.93343356344023,36.17087173461914,90.42717933654785,72.01064007987294,100.0,40.0,100.0,69.89587951387011,99.94098369143745,38.71652331858542,96.79130829646355,70.96774193548387,62,44,72.74536603243462,76.6355140186916,107,82,87.11622521546202,20.43010752688172,93,19,49.586054783700085,26.89075630252101,119,32,57.95796219201316,381,362,378,2.7850066022116295,3.572074716121758,4.146549040999581,13875.315160875372,full_aggressive_seed43_local,ab42a8ed82d9eedc189732d60ec66dbec9ea022cf071269494858a6c39f5683f,5427be5ec882c6ecefc7d87c89c0846ff9f7a79e1c4cb6c5afc6982b271c6341
full,43,aggressive,full_population,0.0,13875.315160875372,61.90631828689784,46.57738095238095,1344,626,0.0744047619047619,0,45.116092336781676,96.86266469749931,False,93.10961837996462,95.50654887636493,63.250943568094335,93.10961837996462,35.91089778047442,89.77724445118605,69.40708157249775,95.50654887636493,39.44296493380769,98.60741233451922,67.80685929997561,95.38902686546638,38.49602874291049,96.24007185727622,68.05555555555556,288,196,69.93667395427869,72.91666666666667,384,280,83.03648134080105,24.65277777777778,288,71,50.85134784160728,20.572916666666668,384,79,59.662890566200154,1344,1277,1331,2.8612659042644175,3.981391647320572,5.510667812149362,13875.315160875372,full_aggressive_seed43_local,ab42a8ed82d9eedc189732d60ec66dbec9ea022cf071269494858a6c39f5683f,5427be5ec882c6ecefc7d87c89c0846ff9f7a79e1c4cb6c5afc6982b271c6341
full,7,aggressive,warm_2_4s,2000.0,4000.0,64.94395468445934,48.529411764705884,204,99,0.0,32,57.0,102.0,True,91.22674821102143,95.33095028714872,62.235437152273775,91.22674821102143,36.91706638081229,92.29266595203072,67.70828177972433,95.33095028714872,40.0,100.0,66.00712680316984,95.33095028714872,39.2613067626953,98.15326690673824,77.5,40,31,74.07421251837674,82.53968253968254,63,52,89.79636072147838,25.0,40,10,55.03183163702745,9.836065573770492,61,6,59.15908085271889,204,194,202,2.5384004407996366,3.3747463102752473,3.6580874864878155,14160.058383444546,full_aggressive_seed7_remote,d58fccd96f96714c5755dddd576b41e67d7bf907a6e620077a82d953ac4539a1,e0b4f086209a41c6d46a210021da62dd710e429e3327d5eee050e023368eb993
full,7,aggressive,long_2_6s,2000.0,6000.0,63.01120903542778,47.89081885856079,403,193,0.0,32,48.5,100.75,True,95.61337410551073,97.66547514357437,63.30206858126473,95.61337410551073,36.62143759791216,91.5535939947804,69.25339071456791,97.66547514357437,40.0,100.0,67.53358699791345,97.66547514357437,39.14805221557616,97.8701305389404,87.01298701298701,77,67,75.32017944704903,70.4,125,88,83.66558185253788,17.105263157894736,76,13,54.090666796473336,20.0,125,25,57.76341656537436,403,383,399,2.5467799534120217,3.281778747206054,3.6580874864878155,14160.058383444546,full_aggressive_seed7_remote,d58fccd96f96714c5755dddd576b41e67d7bf907a6e620077a82d953ac4539a1,e0b4f086209a41c6d46a210021da62dd710e429e3327d5eee050e023368eb993
full,7,aggressive,full_population,0.0,14160.058383444546,60.661450215801864,46.94940476190476,1344,631,0.1488095238095238,0,44.56196315812818,94.91486289148062,False,90.13725281827195,94.19151038580023,61.74608005473106,90.13725281827195,35.18876906585559,87.97192266463897,67.74276263091764,94.19151038580023,38.649810227887386,96.62452556971846,66.17322092093973,94.19151038580023,37.721915883800555,94.30478970950138,77.08333333333333,288,222,71.63362663596376,75.0,384,288,83.25599615830133,20.48611111111111,288,59,51.01290064953912,16.145833333333332,384,62,58.873849452930976,1344,1277,1331,2.799767737381185,3.6290408155804563,4.835718563706777,14160.058383444546,full_aggressive_seed7_remote,d58fccd96f96714c5755dddd576b41e67d7bf907a6e620077a82d953ac4539a1,e0b4f086209a41c6d46a210021da62dd710e429e3327d5eee050e023368eb993
full,19,asu_baseline,warm_2_4s,2000.0,4000.0,61.2308326019188,40.526315789473685,190,77,0.0,32,39.0,95.0,True,100.0,100.0,112.17381705519644,100.0,36.53087961662256,91.32719904155641,122.13001149040183,100.0,40.0,100.0,119.36499372820516,100.0,39.05091094970702,97.62727737426754,0.0,30,0,10.189429167154671,38.983050847457626,59,23,63.144212295527005,0.0,41,0,22.405171382962042,90.0,60,54,90.49115105697778,190,181,189,11.476733280188888,16.864778269673437,17.061476229562043,14015.859279196162,full_asu_baseline_seed19_remote,0c47f81d8c5dd71462a9db27fb5a99cd23eca366373034b9abc78c8db7eb6f50,f6586718e7638af030f89dca05d992cbacbb40185d6e69d5ec45c51ada25d58d
full,19,asu_baseline,long_2_6s,2000.0,6000.0,65.86459459570904,41.282051282051285,390,161,0.0,32,40.0,97.5,True,100.0,100.0,104.54980669013109,100.0,36.384885609092535,90.96221402273133,114.11213735821575,100.0,40.0,100.0,111.37332989419492,100.0,38.88184738159179,97.20461845397946,0.0,77,0,11.479216110436234,43.333333333333336,120,52,65.8164725041272,0.0,77,0,25.095694807672484,93.96551724137932,116,109,94.0023561620948,390,371,387,11.34764915837984,16.77796448595083,17.061476229562043,14015.859279196162,full_asu_baseline_seed19_remote,0c47f81d8c5dd71462a9db27fb5a99cd23eca366373034b9abc78c8db7eb6f50,f6586718e7638af030f89dca05d992cbacbb40185d6e69d5ec45c51ada25d58d
full,19,asu_baseline,full_population,0.0,14015.859279196162,61.28555228541312,39.50892857142857,1344,531,0.7440476190476191,0,37.885654345015226,95.89137370941707,False,97.29752946243428,97.30669070666507,109.62790855812311,97.29752946243428,35.550801023926915,88.8770025598173,120.37402501516844,97.30669070666507,39.04745035135122,97.61862587837807,117.40979285187937,97.29752946243428,38.110009569148176,95.27502392287045,0.6944444444444444,288,2,11.027294619460383,44.010416666666664,384,169,66.35495332088912,0.3472222222222222,288,1,24.00141973083489,93.48958333333333,384,359,93.11738983223606,1344,1277,1331,12.579387686839162,16.588521724522543,18.351222841396172,14015.859279196162,full_asu_baseline_seed19_remote,0c47f81d8c5dd71462a9db27fb5a99cd23eca366373034b9abc78c8db7eb6f50,f6586718e7638af030f89dca05d992cbacbb40185d6e69d5ec45c51ada25d58d
full,43,asu_baseline,warm_2_4s,2000.0,4000.0,56.185520922456206,38.20224719101124,178,68,0.0,32,33.0,89.0,True,100.0,100.0,131.97739477014287,100.0,36.132057189941406,90.33014297485352,147.26187014501807,100.0,40.0,100.0,142.2599299868601,100.0,38.742240905761705,96.85560226440425,0.0,31,0,9.315666634026604,46.34146341463415,41,19,63.93008297569238,0.0,50,0,19.654836511071405,87.5,56,49,90.28127575220269,178,170,177,11.143824921783033,17.762578068039907,18.73319960189698,14057.84702419613,full_asu_baseline_seed43_local,ab42a8ed82d9eedc189732d60ec66dbec9ea022cf071269494858a6c39f5683f,9b37f5efe3506573c64aef9eaebae5b2fd638c74cc7088bbc3be4283d212ac24
full,43,asu_baseline,long_2_6s,2000.0,6000.0,61.7222786633719,40.05449591280654,367,147,0.0,32,35.25,91.75,True,100.0,100.0,116.1094519925609,100.0,36.016075134277344,90.04018783569336,129.01517304132088,100.0,40.0,100.0,125.09950443321054,100.0,38.74488449096679,96.86221122741696,0.0,62,0,10.283614034953677,40.0,95,38,65.38564574328645,0.0,91,0,21.822767469323132,91.59663865546219,119,109,92.19903996206958,367,349,364,10.893721157024947,16.993924011947094,18.73319960189698,14057.84702419613,full_asu_baseline_seed43_local,ab42a8ed82d9eedc189732d60ec66dbec9ea022cf071269494858a6c39f5683f,9b37f5efe3506573c64aef9eaebae5b2fd638c74cc7088bbc3be4283d212ac24
full,43,asu_baseline,full_population,0.0,14057.84702419613,61.10250561140164,39.50892857142857,1344,531,1.2648809523809523,0,37.77249809917918,95.60496694029533,False,96.85735488234677,97.0366627023426,110.18070721200527,96.85735488234677,35.44461847937596,88.61154619843991,121.14861553384931,97.0366627023426,38.93082407241751,97.32706018104376,118.08458280070344,96.90724276605384,37.996183222839136,94.99045805709783,0.6944444444444444,288,2,10.919557276995176,42.1875,384,162,67.05493091710136,0.0,288,0,23.50991508323216,95.57291666666667,384,367,93.8596296684706,1344,1277,1331,12.817604581197472,16.07035444461015,20.111139071210662,14057.84702419613,full_asu_baseline_seed43_local,ab42a8ed82d9eedc189732d60ec66dbec9ea022cf071269494858a6c39f5683f,9b37f5efe3506573c64aef9eaebae5b2fd638c74cc7088bbc3be4283d212ac24
full,7,asu_baseline,warm_2_4s,2000.0,4000.0,63.05796619661301,37.37373737373738,198,74,0.0,32,43.0,99.0,True,100.0,100.0,110.98862804812788,100.0,37.25654557277419,93.14136393193549,121.44161598210772,100.0,40.0,100.0,117.83624671424108,100.0,39.42243912746168,98.5560978186542,0.0,41,0,11.267143083837015,29.09090909090909,55,16,60.468467049985584,0.0,43,0,23.415017919222997,98.30508474576271,59,58,94.53907347761815,198,189,197,13.944181403870145,17.683080794095858,18.024644227375905,14015.478326076012,full_asu_baseline_seed7_remote,d58fccd96f96714c5755dddd576b41e67d7bf907a6e620077a82d953ac4539a1,1a9b3c18a2994366526ce132efb29bf81859b3f98051ef6f568804eb0a46e357
full,7,asu_baseline,long_2_6s,2000.0,6000.0,62.721497905214754,40.49382716049383,405,164,0.0,32,43.0,101.25,True,100.0,100.0,109.83156917577001,100.0,36.75678253173828,91.8919563293457,120.58997432525838,100.0,40.0,100.0,117.48929500823343,100.0,39.21842193603515,98.04605484008786,0.0,81,0,10.819667169273934,34.45378151260504,119,41,60.97764503722973,0.0,81,0,23.890289278137463,99.19354838709677,124,123,94.02726327036407,405,385,401,13.777754452885853,17.22602934057406,18.024644227375905,14015.478326076012,full_asu_baseline_seed7_remote,d58fccd96f96714c5755dddd576b41e67d7bf907a6e620077a82d953ac4539a1,1a9b3c18a2994366526ce132efb29bf81859b3f98051ef6f568804eb0a46e357
full,7,asu_baseline,full_population,0.0,14015.478326076012,61.28721808102996,39.80654761904762,1344,535,1.0416666666666667,0,38.17208286103403,95.89398012192473,False,97.29585643602587,97.35376583701215,109.76141743343959,97.29585643602587,35.55176732620065,88.87941831550161,120.65257401304751,97.29585643602587,39.04851169565209,97.62127923913022,117.56511570199439,97.35376583701215,38.1110454329779,95.27761358244476,0.3472222222222222,288,1,10.94483487001188,42.96875,384,165,66.57079408373595,0.3472222222222222,288,1,23.898730315870235,95.83333333333333,384,368,93.53216051143804,1344,1277,1331,13.320360668124893,16.73760944441688,21.650495024642748,14015.478326076012,full_asu_baseline_seed7_remote,d58fccd96f96714c5755dddd576b41e67d7bf907a6e620077a82d953ac4539a1,1a9b3c18a2994366526ce132efb29bf81859b3f98051ef6f568804eb0a46e357
full,19,mild,warm_2_4s,2000.0,4000.0,60.96921538811877,63.1578947368421,190,120,0.0,32,59.0,95.0,True,100.0,100.0,67.1776860662702,100.0,36.70523018773237,91.76307546933091,73.51494555438065,100.0,40.0,100.0,71.70327867599393,100.0,39.106485568663544,97.76621392165885,96.875,32,31,84.85728215403515,95.0,60,57,94.40351841488345,42.857142857142854,42,18,62.03013332596152,25.0,56,14,50.99066832226251,190,181,189,3.456998825251835,4.433970436603939,4.5916373993972766,14080.984182816672,full_mild_seed19_remote,0c47f81d8c5dd71462a9db27fb5a99cd23eca366373034b9abc78c8db7eb6f50,2a34bc2b905016a5aac86d03dcddb12a98596886a70ca93b560b8957c123e868
full,19,mild,long_2_6s,2000.0,6000.0,65.97614825204256,65.13994910941476,393,256,0.0,32,64.5,98.25,True,98.11813806092334,98.59648170028956,61.638822800510845,98.11813806092334,36.52406311035156,91.3101577758789,67.50581584851572,98.59648170028956,40.0,100.0,65.83250339821969,98.11813806092334,39.035930633544915,97.58982658386228,89.74358974358974,78,70,82.34848926599261,91.869918699187,123,113,92.43772047884318,53.94736842105263,76,41,64.81597020220092,27.586206896551722,116,32,59.12429858193443,393,374,390,3.1670966353423307,4.360873435105218,4.5916373993972766,14080.984182816672,full_mild_seed19_remote,0c47f81d8c5dd71462a9db27fb5a99cd23eca366373034b9abc78c8db7eb6f50,2a34bc2b905016a5aac86d03dcddb12a98596886a70ca93b560b8957c123e868
