npu,request_id,next_request_id,role,compute_layer,read_layer,start_ms,end_ms,D_ms,C_ms,deadline_ms,clipped_start_ms,clipped_end_ms,window_ms,actual_window_compute_ms,group,same_request,complete_cycle,V_GiB,B_GiB_s,mean_b_GiB_s,r
0,8,8,B,3,4,1975.950389429956,2004.5432314258367,28.59284199588069,28.59284199588069,2004.5432314258367,2000.0,2004.5432314258367,4.543231425836666,4.543231425836666,gray,True,False,0.03759765625,1.3149324665039108,,
0,8,8,B,4,5,2004.5432314258367,2033.1360734217174,28.59284199588069,28.59284199588069,2033.1360734217174,2004.5432314258367,2033.1360734217174,28.59284199588069,28.59284199588069,B,True,True,0.03759765625,1.3149324665039108,1.3149324665039108,1.0
0,8,8,B,5,6,2033.1360734217174,2061.7289154175983,28.592841995880917,28.592841995880917,2061.7289154175983,2033.1360734217174,2061.7289154175983,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
0,8,8,B,6,7,2061.7289154175983,2090.321757413479,28.592841995880917,28.592841995880917,2090.321757413479,2061.7289154175983,2090.321757413479,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
0,8,8,B,7,8,2090.321757413479,2118.91459940936,28.592841995880917,28.592841995880917,2118.91459940936,2090.321757413479,2118.91459940936,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
0,8,9,B,8,1,2118.91459940936,2147.507441405241,28.592841995880917,28.592841995880917,2147.507441405241,2118.91459940936,2147.507441405241,28.592841995880917,28.592841995880917,gray,False,True,0.03759765625,1.3149324665039004,,
0,9,9,A,1,2,2147.507441405241,2180.093035688657,32.58559428341596,6.024011548588987,2153.53145295383,2147.507441405241,2180.093035688657,32.58559428341596,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,5.264268165516559,0.18486732192743327
0,9,9,A,2,3,2180.093035688657,2214.400897016782,34.307861328125,6.024011548588987,2186.117047237246,2180.093035688657,2214.400897016782,34.307861328125,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,5.0,0.1755869155169578
0,9,9,A,3,4,2214.400897016782,2248.708758344907,34.307861328125,6.024011548588987,2220.424908565371,2214.400897016782,2248.708758344907,34.307861328125,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,5.0,0.1755869155169578
0,9,9,A,4,5,2248.708758344907,2283.016619673032,34.307861328125,6.024011548588987,2254.732769893496,2248.708758344907,2283.016619673032,34.307861328125,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,5.0,0.1755869155169578
