order_mode,npu,rowposition,role,profile,data_key,sim_category,request_id,sourceid,source_npu,original_request_id,arrival_ms,n_layers,per_layer_compute_ms,request_pure_compute_ms,total_gib_per_layer,request_total_read_gib,ssu0_gib_per_layer,ssu1_gib_per_layer,ssu2_gib_per_layer,ssu3_gib_per_layer,ssu4_gib_per_layer,ssu5_gib_per_layer,ssu0_blocks_per_layer,ssu1_blocks_per_layer,ssu2_blocks_per_layer,ssu3_blocks_per_layer,ssu4_blocks_per_layer,ssu5_blocks_per_layer
random,22,9,short,S1,32K/1024,SL,22000009,25000011,25,25000008,0.0,8,7.257231579079756,58.057852632638046,0.0416259765625,0.3330078125,0.007049560546875,0.007049560546875,0.0068817138671875,0.0068817138671875,0.0068817138671875,0.0068817138671875,42,42,41,41,41,41
random,22,10,short,S3,64K/1024,SL,22000010,22000041,22,22000065,0.0,8,12.625940760424301,101.00752608339441,0.0845947265625,0.6767578125,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,84,84,84,84,84,84
random,22,11,short,S3,64K/1024,SL,22000011,31000053,31,31000052,0.0,8,12.625940760424301,101.00752608339441,0.0845947265625,0.6767578125,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,84,84,84,84,84,84
random,22,12,short,S2,48K/1024,SL,22000012,20000032,20,20000027,0.0,8,9.941586459040689,79.53269167232551,0.0631103515625,0.5048828125,0.0105743408203125,0.0105743408203125,0.0105743408203125,0.010406494140625,0.010406494140625,0.0105743408203125,63,63,63,62,62,63
random,22,13,short,S1,32K/1024,SL,22000013,22000058,22,22000006,0.0,8,7.257231579079756,58.057852632638046,0.0416259765625,0.3330078125,0.007049560546875,0.0068817138671875,0.0068817138671875,0.0068817138671875,0.0068817138671875,0.007049560546875,42,41,41,41,41,42
random,22,14,short,S3,64K/1024,SL,22000014,31000000,31,31000048,0.0,8,12.625940760424301,101.00752608339441,0.0845947265625,0.6767578125,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,84,84,84,84,84,84
random,22,15,short,S2,48K/1024,SL,22000015,20000023,20,20000043,0.0,8,9.941586459040689,79.53269167232551,0.0631103515625,0.5048828125,0.0105743408203125,0.0105743408203125,0.0105743408203125,0.010406494140625,0.010406494140625,0.0105743408203125,63,63,63,62,62,63
random,22,16,short,S2,48K/1024,SL,22000016,24000050,24,24000031,0.0,8,9.941586459040689,79.53269167232551,0.0631103515625,0.5048828125,0.0105743408203125,0.0105743408203125,0.0105743408203125,0.0105743408203125,0.010406494140625,0.010406494140625,63,63,63,63,62,62
random,22,17,long,L,176K/1024,LL,22000017,8000001,8,8000001,0.0,8,31.416419055018245,251.33135244014596,0.2349853515625,1.8798828125,0.0391082763671875,0.0391082763671875,0.039276123046875,0.039276123046875,0.0391082763671875,0.0391082763671875,233,233,234,234,233,233
random,22,18,short,S2,48K/1024,SL,22000018,30000061,30,30000037,0.0,8,9.941586459040689,79.53269167232551,0.0631103515625,0.5048828125,0.010406494140625,0.0105743408203125,0.0105743408203125,0.0105743408203125,0.0105743408203125,0.010406494140625,62,63,63,63,63,62
random,22,19,short,S3,64K/1024,SL,22000019,26000057,26,26000045,0.0,8,12.625940760424301,101.00752608339441,0.0845947265625,0.6767578125,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,0.01409912109375,84,84,84,84,84,84
random,22,20,long,L,176K/1024,LL,22000020,10000014,10,10000014,0.0,8,31.416419055018245,251.33135244014596,0.2349853515625,1.8798828125,0.0391082763671875,0.0391082763671875,0.039276123046875,0.039276123046875,0.0391082763671875,0.0391082763671875,233,233,234,234,233,233
random,22,21,long,L,176K/1024,LL,22000021,4000009,4,4000009,0.0,8,31.416419055018245,251.33135244014596,0.2349853515625,1.8798828125,0.0391082763671875,0.039276123046875,0.039276123046875,0.0391082763671875,0.0391082763671875,0.0391082763671875,233,234,234,233,233,233
