label,spec_name,seed,mode,strategy,status,audit_pass,order_pair_pass,request_count,long_cards,short_cards,profile_keys,device_utilization_percent,warm_slo_percent,warm_admissions,warm_slo_passed,completion_after_window_count,all_npus_active,warm_mixed_card_count,fourth_request_by_1500,max_fourth_completion_ms,max_ssu_nominal_gib_s,any_ssu_over_capacity_ms,max_npu_nominal_gib_s,full_run_capacity_pass,static_max_ssu_gib_s,active_underload_valid,warmup_underload_valid,original_all_conditions_valid,full_run_U_percent,makespan_ms,l0_stall_ms,l1_7_stall_ms,result_path,result_sha256,input_sha256,short_pooled_U_percent,short_warm_slo_percent,short_warm_admissions,long_pooled_U_percent,long_warm_slo_percent,long_warm_admissions,mean_long_cards,mean_short_cards,mean_idle_cards,min_long_cards,max_long_cards,min_active_cards,max_active_cards,fraction_all_32_active,fraction_long_exactly_20,fraction_long_18_to_22,fraction_long_16_to_24,min_card_short_active_ms,min_card_short_compute_ms,min_card_long_active_ms,min_card_long_compute_ms,warm_mixed_100ms_card_count,global_source_population_and_placement_preserved,per_npu_random_ordered_population_preserved,strict_mixed_underload_valid,strict_mixed_100ms_underload_valid,paired_study_conditions_met,mean_role_count_near_20_12
raw176_extendedhot_random_seed101,raw176_extendedhot,101,random,baseline,complete,True,True,1212,,,"32:1024,48:1024,64:1024,176:1024",99.97299668920694,100.0,446,446,32,True,32,True,1024.0521638133175,38.95679228847656,0.0,7.4796987890625,True,40.00570323749999,True,True,True,77.38709381842682,6806.24871873232,5.79077165300896,11.491347254555876,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed101/baseline/raw176_extendedhot_random_seed101_49a1897270fa_baseline_104671470b.json.gz,8748c3af805622076c68854bba56e317435f9dc79d77b784f9227120ddde68fd,a0e6ce943cb4b533fed0fd8aa913e12b20592a841ae285534ef850956a4f91db,99.95040825862566,100.0,289,99.98599545905913,100.0,157,20.31151003158725,11.68848996841275,0.0,16,24,32,32,1.0,0.12718860761966153,0.8195023273647596,1.0,159.06538334464858,159.06538334464858,404.1998566006682,404.1998566006682,32,True,True,True,True,True,True
raw176_extendedhot_random_seed101,raw176_extendedhot,101,random,once,complete,True,True,1212,,,"32:1024,48:1024,64:1024,176:1024",99.94994314728368,100.0,443,443,32,True,32,True,1046.9178990492946,38.82017789307861,0.0,7.4796987890625,True,40.00570323749999,True,True,True,77.64725254093209,6783.444241899285,30.956660267188454,1.079725471259735,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed101/once/raw176_extendedhot_random_seed101_49a1897270fa_once_dc98615fa8.json.gz,3afd49fc0db794f061d388a671798191656546ecc3cfd36e8af35d97282df8b4,a0e6ce943cb4b533fed0fd8aa913e12b20592a841ae285534ef850956a4f91db,99.99536074515572,100.0,287,99.9239885591593,100.0,156,20.3631584435222,11.636841556477803,-1.7763568394002505e-15,15,24,32,32,1.0,0.14061451816148518,0.8007536622523612,0.9968488216880044,159.06538334464858,159.06538334464858,410.3947774620474,410.3947774620474,32,True,True,True,True,True,True
raw176_extendedhot_random_seed19,raw176_extendedhot,19,random,baseline,complete,True,True,1212,,,"32:1024,48:1024,64:1024,176:1024",99.99187002897723,100.0,445,445,32,True,32,True,1025.3110139109738,39.34387713726196,0.0,7.4796987890625,True,40.00570323749999,True,True,True,77.13186850443661,6828.77023934392,3.778254782883323,1.4249266716892635,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed19/baseline/raw176_extendedhot_random_seed19_6e8c89298161_baseline_104671470b.json.gz,8b8aa71773c8ee258f1c9e6ff8db77c96bf3e4b92ec6337b484de0314d390d17,8ddd69041eec60a38221bcdfc8c97923e8523b001d4a37ff4d20a396c34f34fb,99.98814873695821,100.0,283,99.9939366917016,100.0,162,20.573993731513696,11.426006268486304,0.0,12,28,32,32,1.0,0.20802364197096518,0.6290428780356118,0.8152090822688856,79.53269167232429,79.53269167232429,259.36813611788193,259.36813611788193,30,True,True,True,False,True,True
raw176_extendedhot_random_seed19,raw176_extendedhot,19,random,once,complete,True,True,1212,,,"32:1024,48:1024,64:1024,176:1024",99.92621825926152,100.0,443,443,32,True,32,True,1050.8770562049465,39.33853449526977,0.0,7.4796987890625,True,40.00570323749999,True,True,True,77.85305775928782,6765.512149524384,44.785163237035704,2.4351508355921396,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed19/once/raw176_extendedhot_random_seed19_6e8c89298161_once_dc98615fa8.json.gz,b33d96a738c8562e7abf81eba40bf0115ea6dc9606cda730ffbb6770bd851b15,8ddd69041eec60a38221bcdfc8c97923e8523b001d4a37ff4d20a396c34f34fb,99.98939076472395,100.0,283,99.8908926411769,100.0,160,20.52343843720535,11.476561562794652,-1.7763568394002505e-15,13,28,32,32,1.0,0.2274511809971972,0.6712141009618546,0.8626299698334049,79.53269167232429,79.53269167232429,276.9659096491155,276.9659096491155,30,True,True,True,False,True,True
raw176_extendedhot_random_seed43,raw176_extendedhot,43,random,baseline,complete,True,True,1212,,,"32:1024,48:1024,64:1024,176:1024",99.98423190281017,100.0,437,437,32,True,32,True,1025.562883930505,38.89569003632812,0.0,7.4796987890625,True,40.00570323749999,True,True,True,77.21530984895668,6821.390850835291,9.331713524347151,0.7598686771493703,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed43/baseline/raw176_extendedhot_random_seed43_478e0ea59ede_baseline_104671470b.json.gz,7d7297596446f9b6a99f7f37afbe9ae9c58464229caab17d1923c50581f7dddc,7ca47a53cbd24fda3710d82a01198df417eaa391e627a815327f9125eb188482,99.9947593217226,100.0,270,99.97897828981542,100.0,167,21.346982071831643,10.653017928168355,1.7763568394002505e-15,17,26,32,32,1.0,0.10926863502001549,0.7301679616059157,0.9575433353803583,79.53269167232429,79.53269167232429,349.9820009295295,349.9820009295295,31,True,True,True,False,True,True
raw176_extendedhot_random_seed43,raw176_extendedhot,43,random,once,complete,True,True,1212,,,"32:1024,48:1024,64:1024,176:1024",99.8864915219855,100.0,435,435,32,True,32,True,1035.4950112010129,39.386223487939446,0.0,7.4796987890625,True,40.00570323749999,True,True,True,77.79978972530571,6770.144366813911,71.5344826953633,1.110943233918988,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed43/once/raw176_extendedhot_random_seed43_478e0ea59ede_once_dc98615fa8.json.gz,665b17b60543e3f57e3a2caa9b4276ebb64e350b66f4629ba0cfcb0678d4a6a7,7ca47a53cbd24fda3710d82a01198df417eaa391e627a815327f9125eb188482,99.99748849787126,100.0,268,99.83123788890721,100.0,167,21.364753190843434,10.635246809156568,-1.7763568394002505e-15,16,26,32,32,1.0,0.1686946939367158,0.6847897245821838,0.953361825541738,79.53269167232429,79.53269167232429,295.87899602186053,295.87899602186053,31,True,True,True,False,True,True
raw176_extendedhot_random_seed67,raw176_extendedhot,67,random,baseline,complete,True,True,1212,,,"32:1024,48:1024,64:1024,176:1024",99.98623502864933,100.0,441,441,32,True,32,True,1020.6658570506222,38.9721725263092,0.0,7.4796987890625,True,40.00570323749999,True,True,True,77.84182890898546,6766.48808912152,7.387256311303645,1.42232535311814,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed67/baseline/raw176_extendedhot_random_seed67_18d492ca88ef_baseline_104671470b.json.gz,5bfa4beff71be16cdfa8471e71e2a88f7c23147b1bf7352e1c922d1481ce3a98,2df2258962f5266f0a82276ec274dcbf7845fccb34d6e6347cc509c24afe2d21,99.9910208520674,100.0,279,99.98367411548705,100.0,162,20.845493465401983,11.15450653459802,-3.552713678800501e-15,17,24,32,32,1.0,0.2329000425127358,0.8080953793445239,1.0,79.53269167232429,79.53269167232429,232.18498212889472,232.18498212889472,30,True,True,True,False,True,True
raw176_extendedhot_random_seed67,raw176_extendedhot,67,random,once,complete,True,True,1212,,,"32:1024,48:1024,64:1024,176:1024",99.95046944277651,100.0,442,442,32,True,32,True,1022.4661126902706,39.02833404248657,0.0,7.4796987890625,True,40.00570323749999,True,True,True,77.65624766614214,6782.6584979038535,27.302270162450895,4.3972864605789255,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed67/once/raw176_extendedhot_random_seed67_18d492ca88ef_once_dc98615fa8.json.gz,3248dec6bfa69103c23ca2c5538eefcadc9d0bc53f52c7dbcd3cd50cab1bcdcd,2df2258962f5266f0a82276ec274dcbf7845fccb34d6e6347cc509c24afe2d21,99.96660205748924,100.0,278,99.94186849264297,100.0,164,20.872190240909923,11.127809759090077,0.0,16,24,32,32,1.0,0.22842117685625635,0.7963155982873592,1.0,79.53269167232429,79.53269167232429,234.3793234589143,234.3793234589143,30,True,True,True,False,True,True
raw176_extendedhot_random_seed7,raw176_extendedhot,7,random,baseline,complete,True,True,1212,,,"32:1024,48:1024,64:1024,176:1024",99.982499968711,100.0,433,433,32,True,32,True,1023.3431115916378,39.174096949291986,0.0,7.4796987890625,True,40.00570323749999,True,True,True,77.64490358653894,6783.649458216346,9.125598609725785,2.0744214152414315,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed7/baseline/raw176_extendedhot_random_seed7_f606ad5ca420_baseline_104671470b.json.gz,806385ff9cbf5507964f900d44154478cbb35e482bf2013468b336151c6c1700,1b198ca005c06fcf4b06916f22c98186b834be94907e51f8b55222e6814902d4,99.98857458068962,100.0,265,99.97943457613545,100.0,168,21.26777751194215,10.732222488057852,-1.7763568394002505e-15,17,28,32,32,1.0,0.11578671659979159,0.6255244580407219,0.8771018802328158,174.3338193466716,174.3338193466716,502.66270488029113,502.66270488029113,32,True,True,True,True,True,True
raw176_extendedhot_random_seed7,raw176_extendedhot,7,random,once,complete,True,True,1212,,,"32:1024,48:1024,64:1024,176:1024",99.93605205230189,100.0,435,435,32,True,32,True,1031.1147128611692,39.1996924838562,0.0,7.4796987890625,True,40.00570323749999,True,True,True,77.83804468538628,6766.817052985064,37.56998353295421,3.3567029938321866,/home/chguo/work/last_code/qos_storage_sim/results/baseline_32npu6ssu_underload/raw_role_followup_20260909/mixed_rebinding/runs/raw176_extendedhot_random_seed7/once/raw176_extendedhot_random_seed7_f606ad5ca420_once_dc98615fa8.json.gz,77a54876f197db624beac0937678d46ec6842314af14a7e5dc1ec760444a18f6,1b198ca005c06fcf4b06916f22c98186b834be94907e51f8b55222e6814902d4,99.95544278748847,100.0,265,99.92631396779088,100.0,170,21.30204836351749,10.697951636482511,0.0,15,28,32,32,1.0,0.10306521054727864,0.6246160538678569,0.892498792627754,168.18317854513225,168.18317854513225,503.3779045305123,502.66270488029113,32,True,True,True,True,True,True
