experiment,case,ssu,seed,strategy,mean_utilization,min_npu_id,min_utilization,cards_below_80pct,full_run_utilization,mean_request_compute_fraction
coflow,npu32_ssu5_arrival218_seed20260906_baseline,5,20260906,baseline,0.8377540785572911,24,0.664003463742968,12,0.8344145890185982,0.6971764614233992
coflow,npu32_ssu5_arrival218_seed20260907_baseline,5,20260907,baseline,0.9104454962509103,0,0.7056533050589567,4,0.8154679117717726,0.6878366108613266
coflow,npu32_ssu6_arrival218_seed20260906_baseline,6,20260906,baseline,0.9326046448453305,24,0.807769425092396,0,0.9162364969619124,0.8231270930561546
coflow,npu32_ssu6_arrival218_seed20260907_baseline,6,20260907,baseline,0.9872580830182149,0,0.9165396052914775,0,0.9023091224548306,0.8344171321348629
coflow,npu32_ssu7_arrival218_seed20260906_baseline,7,20260906,baseline,0.9846682450443061,24,0.9407629213260441,0,0.9619889561741154,0.8955272270344039
coflow,npu32_ssu7_arrival218_seed20260907_baseline,7,20260907,baseline,0.9911191914620183,3,0.968556582298485,0,0.9439257950135526,0.891440032207317
multi_ssu,npu32_ssu6_near_seed20260906_baseline_none,6,20260906,baseline,0.9326046448453305,24,0.807769425092396,0,0.9162364969619124,0.8231270930561546
multi_ssu,npu32_ssu6_near_seed20260907_baseline_none,6,20260907,baseline,0.9872580830182149,0,0.9165396052914775,0,0.9023091224548306,0.8344171321348629
multi_ssu,npu32_ssu6_near_total_seed20260906_baseline_none,6,20260906,baseline,0.9189148101547681,19,0.7808793464958356,3,0.8873437799677188,0.7850287496724097
multi_ssu,npu32_ssu6_replicated_seed20260906_baseline_none,6,20260906,baseline,0.6677928168218729,0,0.4922858854361327,27,0.6764527302723646,0.5968646809499752
multi_ssu,npu32_ssu7_near_seed20260906_baseline_none,7,20260906,baseline,0.9735996813113522,18,0.9109082208602028,0,0.9393771880012018,0.8588017238575231
multi_ssu,npu32_ssu7_near_seed20260907_baseline_none,7,20260907,baseline,0.9859088944957446,0,0.9318414259608735,0,0.9093744961760368,0.8554342749939244
multi_ssu,npu32_ssu7_near_total_seed20260906_baseline_none,7,20260906,baseline,0.9540671218903738,19,0.8656474935498102,0,0.9109185017543872,0.8028399470726743
multi_ssu,npu32_ssu7_replicated_seed20260906_baseline_none,7,20260906,baseline,0.7908263033098373,5,0.5299520787921773,16,0.79094758008582,0.6757960950937566
