start_ms,end_ms,predecessor,target_class,L0_stall_ms,L0_compute_starts_inside,stalled_L0_intersecting_window
0.0,7092.405625597037,initial,A,151.64356123046875,8,8
0.0,7092.405625597037,initial,B,239.90156311035156,24,24
0.0,7092.405625597037,A,A,2727.103382917429,288,288
0.0,7092.405625597037,A,B,736.4571315586711,88,78
0.0,7092.405625597037,B,A,0.0,88,0
0.0,7092.405625597037,B,B,0.0,656,0
2000.0,4000.0,initial,A,0.0,0,0
2000.0,4000.0,initial,B,0.0,0,0
2000.0,4000.0,A,A,760.4351620093134,80,82
2000.0,4000.0,A,B,174.2459500584937,24,20
2000.0,4000.0,B,A,0.0,24,0
2000.0,4000.0,B,B,0.0,192,0
2000.0,6000.0,initial,A,0.0,0,0
2000.0,6000.0,initial,B,0.0,0,0
2000.0,6000.0,A,A,1594.3143860025916,168,168
2000.0,6000.0,A,B,412.9366501391787,48,43
2000.0,6000.0,B,A,0.0,48,0
2000.0,6000.0,B,B,0.0,392,0
4000.0,6000.0,initial,A,0.0,0,0
4000.0,6000.0,initial,B,0.0,0,0
4000.0,6000.0,A,A,833.8792239932782,88,88
4000.0,6000.0,A,B,238.69070008068502,24,23
4000.0,6000.0,B,A,0.0,24,0
4000.0,6000.0,B,B,0.0,200,0
