regime,policy,seed,request_id,npu_id,admission_ms,completion_ms,ideal_ms,ratio,passed,completed_after_window,raw_ratio
full,baseline,19,9,0,2196.2616466436552,2439.4123019538624,48.19209238871334,5.045447152387046,False,False,5.045447152387046
full,baseline,19,10,0,2439.4123019538624,2673.4193173668723,15.979837567787547,14.643891993290692,False,False,14.643891993290692
full,baseline,19,11,0,2673.4193173668723,2953.6582215465573,101.00752608339441,2.7744358766723245,False,False,2.7744358766723245
full,baseline,19,12,0,2953.6582215465573,3231.3729192646488,229.85653940820262,1.2082088176960561,True,False,1.2082088176960561
full,baseline,19,13,0,3231.3729192646488,3530.454037265689,283.5436075005082,1.0547976046347793,True,False,1.0547976046347793
full,baseline,19,14,0,3530.454037265689,3911.6914968183473,372.6508694745985,1.0230419161242432,True,False,1.0230419161242432
full,baseline,19,15,0,3911.6914968183473,4151.458842786234,72.35128428205302,3.313933516828552,False,True,3.313933516828552
full,baseline,19,1000006,1,2868.7151248583523,3133.502079953309,200.85214333740902,1.3183177968389634,True,False,1.3183177968389634
full,baseline,19,1000007,1,3133.502079953309,3595.1070596683667,458.55018171426593,1.0066618619348737,True,False,1.0066618619348737
full,baseline,19,1000008,1,3595.1070596683667,3854.9786698152284,58.92951067026337,4.409872187823824,False,False,4.409872187823824
full,baseline,19,1000009,1,3854.9786698152284,4121.533960279058,48.19209238871334,5.531100171244224,False,True,5.531100171244224
full,baseline,19,2000008,2,2245.138209492219,2509.9012721379395,229.85653940820262,1.1518622151337932,True,False,1.1518622151337932
full,baseline,19,2000009,2,2509.9012721379395,2751.782643307801,200.85214333740902,1.2042757779464082,True,False,1.2042757779464082
full,baseline,19,2000010,2,2751.782643307801,3049.0475665959475,229.85653940820262,1.293262850182535,True,False,1.293262850182535
full,baseline,19,2000011,2,3049.0475665959475,3454.6217361747686,400.5413596855101,1.0125650192461086,True,False,1.0125650192461086
full,baseline,19,2000012,2,3454.6217361747686,3724.429377039721,101.00752608339441,2.6711637372663946,False,False,2.6711637372663946
full,baseline,19,2000013,2,3724.429377039721,3985.4845087052277,26.717256165257165,9.771030754459725,False,False,9.771030754459725
full,baseline,19,2000014,2,3985.4845087052277,4209.932445716946,26.717256165257165,8.400860313776832,False,True,8.400860313776832
full,baseline,19,3000008,3,2227.3231899676093,2479.4706691105957,229.85653940820262,1.0969776182664843,True,False,1.0969776182664843
full,baseline,19,3000009,3,2479.4706691105957,2773.468428506114,283.5436075005082,1.0368696440987168,True,False,1.0368696440987168
full,baseline,19,3000010,3,2773.468428506114,3041.0287787878733,228.74273596704626,1.1696998776840082,True,False,1.1696998776840082
full,baseline,19,3000011,3,3041.0287787878733,3228.4801378800325,26.717256165257165,7.016115649477471,False,False,7.016115649477471
full,baseline,19,3000012,3,3228.4801378800325,3624.4705800703005,372.6508694745985,1.0626312042383692,True,False,1.0626312042383692
full,baseline,19,3000013,3,3624.4705800703005,3905.3165637883303,229.85653940820262,1.2218316017508424,True,False,1.2218316017508424
full,baseline,19,3000014,3,3905.3165637883303,4827.089055241256,915.9373744307104,1.0063706506417447,True,True,1.0063706506417447
full,baseline,19,4000007,4,2017.125615174954,2237.590790756891,114.952820977,1.9178752962143308,False,False,1.9178752962143308
full,baseline,19,4000008,4,2237.590790756891,2474.2653450572993,101.00752608339441,2.3431378183146863,False,False,2.3431378183146863
full,baseline,19,4000009,4,2474.2653450572993,3414.9939997969195,915.9373744307104,1.0270665669957169,True,False,1.0270665669957169
full,baseline,19,4000010,4,3414.9939997969195,3665.8709942988066,58.057852632638046,4.321155246462785,False,False,4.321155246462785
full,baseline,19,4000011,4,3665.8709942988066,3946.3029209147244,32.085964974046185,8.74001847358353,False,False,8.74001847358353
full,baseline,19,4000012,4,3946.3029209147244,4201.8194664216735,58.92951067026337,4.335969238514078,False,True,4.335969238514078
full,baseline,19,5000008,5,2728.097508610397,2977.33846104363,15.979837567787547,15.597214388189867,False,False,15.597214388189867
full,baseline,19,5000009,5,2977.33846104363,3206.624987903979,101.00752608339441,2.2699944821046727,False,False,2.2699944821046727
full,baseline,19,5000010,5,3206.624987903979,3455.3908718024954,48.19209238871334,5.161964786504633,False,False,5.161964786504633
full,baseline,19,5000011,5,3455.3908718024954,3756.492952041791,58.92951067026337,5.109529619617827,False,False,5.109529619617827
full,baseline,19,5000012,5,3756.492952041791,4078.216593901558,283.5436075005082,1.1346531304155414,True,True,1.1346531304155414
full,baseline,19,6000009,6,2212.0783586398325,2498.0397859917202,283.5436075005082,1.008527153451609,True,False,1.008527153451609
full,baseline,19,6000010,6,2498.0397859917202,2729.59941261308,58.92951067026337,3.929434064318607,False,False,3.929434064318607
full,baseline,19,6000011,6,2729.59941261308,3035.751669213774,243.80186035081854,1.2557420856434676,True,False,1.2557420856434676
full,baseline,19,6000012,6,3035.751669213774,3216.2760388544707,58.057852632638046,3.1093876444753685,False,False,3.1093876444753685
full,baseline,19,6000013,6,3216.2760388544707,3496.5958904180693,72.35128428205302,3.874428136904999,False,False,3.874428136904999
full,baseline,19,6000014,6,3496.5958904180693,3771.817704209039,114.952820977,2.394215395949586,False,False,2.394215395949586
full,baseline,19,6000015,6,3771.817704209039,4023.23544654949,32.085964974046185,7.835754434807197,False,True,7.835754434807197
