regime,policy,seed,U_percent,count,passed,slo_percent,maximum_ratio
full,baseline,7,64.08449864594283,206,78,37.86407766990291,16.327982165074165
full,baseline,19,63.58039407684317,197,82,41.6243654822335,15.597214388189867
full,baseline,43,59.49004214281458,186,77,41.39784946236559,16.562048125692833
full,od_baseline,7,62.20176390157616,200,74,37.0,6.851750288873248
full,od_baseline,19,63.166880545124066,199,81,40.7035175879397,6.507162227474614
full,od_baseline,43,62.21357348725325,187,73,39.037433155080215,6.592730976490293
full,once,7,64.68486716383389,210,151,71.9047619047619,4.712303491318437
full,once,19,63.10141964915474,203,163,80.29556650246306,4.564086221065202
full,once,43,65.53595269210966,189,144,76.19047619047619,5.270286876532773
near35,baseline,7,99.21996709631803,172,164,95.34883720930233,3.2413401950332696
near35,baseline,19,99.72857463097935,171,168,98.24561403508773,1.766966718709326
near35,baseline,43,98.80054368053253,160,152,95.0,4.024466084467165
near35,od_baseline,7,99.37344808676406,174,169,97.1264367816092,2.776202514640799
near35,od_baseline,19,99.57934164696009,174,171,98.27586206896552,1.7232138499675949
near35,od_baseline,43,98.85139087655244,164,157,95.73170731707317,2.5210195969223883
near35,once,7,99.83958609585738,175,175,100.0,1.1133724715861049
near35,once,19,99.55149574347388,177,177,100.0,1.401391981185808
near35,once,43,98.8125359218976,157,157,100.0,1.3109985946725546
semi,baseline,7,99.12358230165013,178,170,95.50561797752809,2.642343537060413
semi,baseline,19,99.39328877990621,170,164,96.47058823529412,2.194252834175392
semi,baseline,43,99.21139593688847,158,153,96.83544303797468,2.821354713926963
semi,od_baseline,7,99.06867697392748,176,167,94.88636363636364,2.1569824254086085
semi,od_baseline,19,98.66827811021892,166,159,95.78313253012048,2.6821018832768515
semi,od_baseline,43,98.91607409144649,156,148,94.87179487179488,2.7630957182649256
semi,once,7,98.80441232441721,175,174,99.42857142857143,1.5534861564015383
semi,once,19,99.47175529015799,164,164,100.0,1.3913988801156267
semi,once,43,99.57487213491923,154,154,100.0,1.1501396214767632
