regime,policy,seed_count,mean_U_percent,mean_slo_percent,sample_count,maximum_ratio
full,baseline,3,62.384978288533524,40.29543087150066,589,16.562048125692833
full,once,3,64.44074650169944,76.13026819923373,602,5.270286876532773
full,od_baseline,3,62.52740597798449,38.9136502476733,586,6.851750288873248
semi,baseline,3,99.24275567281495,96.27054975026563,506,2.821354713926963
semi,once,3,99.28367991649814,99.80952380952381,493,1.5534861564015383
semi,od_baseline,3,98.88434305853097,95.18043034609299,498,2.7630957182649256
near35,baseline,3,99.2496951359433,96.19815041479667,503,4.024466084467165
near35,once,3,99.40120592040962,100.0,509,1.401391981185808
near35,od_baseline,3,99.26806020342553,97.0446687225493,512,2.776202514640799
