start_ms,end_ms,predecessor,target_class,L0_stall_ms,L0_compute_starts_inside,stalled_L0_intersecting_window
0.0,7163.241451883953,initial,A,223.07085883789063,16,16
0.0,7163.241451883953,initial,B,80.019969140625,16,16
0.0,7163.241451883953,A,A,3145.08737409659,288,288
0.0,7163.241451883953,A,B,523.0741406221921,96,70
0.0,7163.241451883953,B,A,0.0,80,0
0.0,7163.241451883953,B,B,0.0,656,0
2000.0,4000.0,initial,A,0.0,0,0
2000.0,4000.0,initial,B,0.0,0,0
2000.0,4000.0,A,A,1087.7102430444438,96,96
2000.0,4000.0,A,B,173.38787088147592,32,23
2000.0,4000.0,B,A,0.0,32,0
2000.0,4000.0,B,B,0.0,160,0
2000.0,6000.0,initial,A,0.0,0,0
2000.0,6000.0,initial,B,0.0,0,0
2000.0,6000.0,A,A,2156.6260512181825,192,192
2000.0,6000.0,A,B,345.45905111279126,64,47
2000.0,6000.0,B,A,0.0,64,0
2000.0,6000.0,B,B,0.0,344,0
4000.0,6000.0,initial,A,0.0,0,0
4000.0,6000.0,initial,B,0.0,0,0
4000.0,6000.0,A,A,1068.9158081737387,96,96
4000.0,6000.0,A,B,172.07118023131534,32,24
4000.0,6000.0,B,A,0.0,32,0
4000.0,6000.0,B,B,0.0,184,0
