start_ms,end_ms,npu,compute_ms,active_ms,idle_ms,device_utilization_percent,both_A_and_B_positive_compute,A_compute_ms,A_active_ms,A_L0_stall_ms,A_internal_stall_ms,A_conditional_utilization_percent,A_compute_share_of_card,A_admissions_count,B_compute_ms,B_active_ms,B_L0_stall_ms,B_internal_stall_ms,B_conditional_utilization_percent,B_compute_share_of_card,B_admissions_count
0.0,7163.241451883953,0,6068.130771873689,7159.444759989422,3.79669189453125,84.71207919813666,True,578.305108664563,1648.8799436819231,112.86361642402535,957.7112185933346,35.07260251909043,0.09530201810169571,12,5489.825663209126,5510.564816307499,20.73915309837298,0.0,99.62364741565148,0.9046979818983043,24
0.0,7163.241451883953,1,6068.130771873689,7161.187008524578,2.054443359375,84.71207919813666,True,578.305108664563,1651.5151365530169,114.20648986152534,959.0035380269284,35.01663992445027,0.09530201810169571,12,5489.825663209126,5509.671871971562,19.84620876243548,0.0,99.63979327220198,0.9046979818983043,24
0.0,7163.241451883953,2,6068.130771873689,7020.1924406534845,143.04901123046875,84.71207919813666,True,578.305108664563,1489.542251421181,99.59722643231521,811.6399163243026,38.82435077707925,0.09530201810169571,12,5489.825663209126,5530.650189232304,40.82452602317767,0.0,99.26184942770996,0.9046979818983043,24
0.0,7163.241451883953,3,6068.130771873689,7147.718990946453,15.5224609375,84.71207919813666,True,578.3051086645631,1630.0012883840714,120.75019266914254,930.9459870503656,35.47881297921399,0.09530201810169572,12,5489.825663209126,5517.717702562382,27.892039353255996,0.0,99.49450042831471,0.9046979818983043,24
0.0,7163.241451883953,4,6068.130771873689,7023.364742899578,139.876708984375,84.71207919813666,True,578.305108664563,1496.0626949270395,101.1722675211816,816.5853187412947,38.65513862657781,0.09530201810169571,12,5489.825663209126,5527.302047972539,37.47638476341285,0.0,99.32197689870847,0.9046979818983043,24
0.0,7163.241451883953,5,6068.130771873689,7127.642849589031,35.598602294921875,84.71207919813666,True,578.3051086645631,1608.136001421181,111.07802775215035,918.7528650044674,35.961206524416426,0.09530201810169572,12,5489.825663209126,5519.506848167851,29.681184958724543,0.0,99.4622493317754,0.9046979818983043,24
0.0,7163.241451883953,6,6068.130771873689,7155.403011942547,7.83843994140625,84.71207919813666,True,578.3051086645631,1643.7916715871966,117.59047892402616,947.8960839986072,35.181167946067575,0.09530201810169572,12,5489.825663209126,5511.611340355351,21.785677146224543,0.0,99.60473125188068,0.9046979818983043,24
0.0,7163.241451883953,7,6068.130771873689,7069.54903528239,93.69241660156331,84.71207919813666,True,578.305108664563,1547.424618144813,103.8150626886746,865.3044467915752,37.372102129141865,0.09530201810169571,12,5489.825663209126,5522.124417137577,32.298753928451106,0.0,99.41510274871362,0.9046979818983043,24
0.0,7163.241451883953,8,6068.130771873689,7150.799816752117,12.441635131835938,84.71207919813666,True,578.3051086645631,1637.5184019338762,114.0177623468769,945.1955309224361,35.31594563954802,0.09530201810169572,12,5489.825663209126,5513.2814148182415,23.45575160911517,0.0,99.5745591446489,0.9046979818983043,24
0.0,7163.241451883953,9,6068.130771873689,7021.061047220867,142.18040466308594,84.71207919813666,True,578.305108664563,1492.0851286184466,100.31487098797928,813.4651489659042,38.75818460840958,0.09530201810169571,12,5489.825663209126,5528.975918602421,39.150255393294856,0.0,99.29190765216443,0.9046979818983043,24
0.0,7163.241451883953,10,6068.130771873689,7020.032986307781,143.20846557617188,84.71207919813666,True,578.305108664563,1487.708526445595,99.43619361981521,809.9672241612167,38.872205031064695,0.09530201810169571,12,5489.825663209126,5532.324459862187,42.49879665306048,0.0,99.2318093965494,0.9046979818983043,24
0.0,7163.241451883953,11,6068.130771873689,7150.485943461102,12.755508422851562,84.71207919813666,True,578.3051086645631,1634.0120847952044,116.50541090644803,939.2015652241931,35.39172776295861,0.09530201810169572,12,5489.825663209126,5516.473858665898,26.64819545677142,0.0,99.51693425656481,0.9046979818983043,24
0.0,7163.241451883953,12,6068.130771873689,7163.241451883953,0.0,84.71207919813666,True,578.305108664563,1654.7755583059466,127.70210214179879,948.7683474995846,34.94764626911669,0.09530201810169571,12,5489.825663209126,5508.465893578007,18.640230368880793,0.0,99.6616075922225,0.9046979818983043,24
0.0,7163.241451883953,13,6068.130771873689,7150.644558573406,12.596893310546875,84.71207919813666,True,578.3051086645631,1635.6888731252825,115.13424276679959,942.2495216939197,35.35544675801368,0.09530201810169572,12,5489.825663209126,5514.955685448124,25.13002223899798,0.0,99.54432957085571,0.9046979818983043,24
0.0,7163.241451883953,14,6068.130771873689,7057.3335539347345,105.90789794921875,84.71207919813666,True,578.305108664563,1533.3804472219622,103.2000046076199,851.8753339497791,37.71439173574197,0.09530201810169571,12,5489.825663209126,5523.953106712773,34.12744350364642,0.0,99.38219165071885,0.9046979818983043,24
0.0,7163.241451883953,15,6068.130771873689,7029.234780521648,134.0066713623055,84.71207919813666,True,578.305108664563,1503.6065639455942,101.27495399579178,824.0265012852393,38.46119872921013,0.09530201810169571,12,5489.825663209126,5525.628216576054,35.80255336692767,0.0,99.35206365749461,0.9046979818983043,24
0.0,7163.241451883953,16,6068.13077187369,7115.637168383464,47.604283500489146,84.71207919813668,True,578.3051086645639,1620.8142095200417,99.09253558906431,943.4165652664135,35.67991354393497,0.09530201810169583,12,5489.825663209125,5494.822958863422,4.997295654296875,0.0,99.90905447378908,0.9046979818983041,24
0.0,7163.241451883953,17,6068.13077187369,7111.137204686437,52.10424719751609,84.71207919813668,True,578.3051086645639,1606.043690136751,101.81323026679848,925.9253512053886,36.00805583410515,0.09530201810169583,12,5489.825663209126,5505.093514549686,15.26785134056048,0.0,99.72265954610565,0.9046979818983042,24
0.0,7163.241451883953,18,6068.130771873689,7116.354712939128,46.88673894482508,84.71207919813666,True,578.3051086645639,1621.5070770737527,99.0027376154315,944.1992307937574,35.66466757013484,0.09530201810169585,12,5489.825663209125,5494.847635865375,5.02197265625,0.0,99.90860578874889,0.9046979818983042,24
0.0,7163.241451883953,19,6068.13077187369,7111.606336156164,51.635115727789525,84.71207919813668,True,578.3051086645639,1610.1690222900716,101.95348224433775,929.9104313811699,35.91580142574513,0.09530201810169583,12,5489.825663209126,5501.437313866092,11.61165065696644,0.0,99.78893423673665,0.9046979818983042,24
0.0,7163.241451883953,20,6068.13077187369,7112.072949925695,51.168501958258275,84.71207919813668,True,578.3051086645639,1613.9823988525716,101.950125310744,933.7271648772637,35.830942708898085,0.09530201810169583,12,5489.825663209126,5498.090551073124,8.26488786399769,0.0,99.84967712359003,0.9046979818983042,24
0.0,7163.241451883953,21,6068.13077187369,7111.916852513586,51.32459937036765,84.71207919813668,True,578.3051086645639,1611.9941549316732,101.79402789863462,931.8950183684747,35.875136823252085,0.09530201810169583,12,5489.825663209126,5499.922697581913,10.097034372786752,0.0,99.81641497657364,0.9046979818983042,24
0.0,7163.241451883953,22,6068.13077187369,7110.977750340734,52.26370154321921,84.71207919813668,True,578.3051086645639,1604.3646841064779,101.79486713203306,924.2647083098809,36.045739126116494,0.09530201810169583,12,5489.825663209126,5506.613066234257,16.7874030251305,0.0,99.69514104544463,0.9046979818983042,24
0.0,7163.241451883953,23,6068.13077187369,7117.378577685222,45.86287419873133,84.71207919813668,True,578.3051086645639,1622.5267456528543,99.78658160957212,944.4350553787182,35.642254293433666,0.09530201810169583,12,5489.825663209125,5494.851832032367,5.0261688232421875,0.0,99.90852949311679,0.9046979818983041,24
0.0,7163.241451883953,24,6068.13077187369,7118.253898119792,44.98755376416102,84.71207919813668,True,578.3051086645639,1623.3851814194559,98.66956195625181,946.4105107986401,35.62340689588564,0.09530201810169583,12,5489.825663209125,5494.868716700336,5.043053491210937,0.0,99.90822249354414,0.9046979818983041,24
0.0,7163.241451883953,25,6068.13077187369,7112.54292062882,50.698531255133275,84.71207919813668,True,578.3051086645639,1616.4362173096024,101.47931537422056,936.651793270818,35.776549824347256,0.09530201810169583,12,5489.825663209126,5496.106703319218,6.28104011009173,0.0,99.88571837394827,0.9046979818983042,24
0.0,7163.241451883953,26,6068.13077187369,7111.451077977453,51.79037390650046,84.71207919813668,True,578.3051086645639,1608.0320340576495,101.79822406562681,927.9287013274587,35.96353159739547,0.09530201810169583,12,5489.825663209126,5503.419043919804,13.593380710677668,0.0,99.75300116886982,0.9046979818983042,24
0.0,7163.241451883953,27,6068.13077187369,7112.853436986242,50.3880148977114,84.71207919813668,True,578.3051086645639,1617.956719798362,101.1646028498065,938.4870082839916,35.74292819999754,0.09530201810169583,12,5489.825663209125,5494.896717187879,5.071053978754308,0.0,99.90771338862673,0.9046979818983041,24
0.0,7163.241451883953,28,6068.13077187369,7113.4895701168625,49.75188176709071,84.71207919813668,True,578.3051086645639,1618.6708074204323,100.4529329279315,939.9127658279369,35.727159964426015,0.09530201810169583,12,5489.825663209125,5494.81876269643,4.993099487304687,0.0,99.909130770223,0.9046979818983041,24
0.0,7163.241451883953,29,6068.13077187369,7114.9204630611985,48.32098882275477,84.71207919813668,True,578.3051086645639,1620.098004197776,99.49117145332212,942.3017240798899,35.695686752661814,0.09530201810169583,12,5489.825663209125,5494.822458863422,4.996795654296875,0.0,99.9090635649886,0.9046979818983041,24
0.0,7163.241451883953,30,6068.13077187369,7118.967246508464,44.274205375489146,84.71207919813668,True,578.3051086645639,1624.0901374741434,98.8953157404315,946.8897130691479,35.60794412334586,0.09530201810169583,12,5489.825663209125,5494.877109034321,5.051445825195312,0.0,99.90806990356727,0.9046979818983041,24
0.0,7163.241451883953,31,6068.13077187369,7114.207114672527,49.034337211426646,84.71207919813668,True,578.3051086645639,1619.3886519760965,100.36061725410337,940.7229260574292,35.71132278584722,0.09530201810169583,12,5489.825663209125,5494.81846269643,4.992799487304687,0.0,99.90913622495083,0.9046979818983041,24
2000.0,4000.0,0,1637.719992234036,2000.0,0.0,81.8859996117018,True,192.7683695548476,548.4478008567053,33.38136501243616,322.2980662894215,35.1479884236445,0.11770532842545914,4,1444.9516226791884,1451.5521991432947,6.600576464106325,0.0,99.5452746054877,0.8822946715745409,6
2000.0,4000.0,1,1637.3146425025907,2000.0,0.0,81.86573212512954,True,192.7683695548476,549.2526256858068,33.13714809349085,323.3471080374684,35.09648575901726,0.1177344687153145,4,1444.546272947743,1450.7473743141932,6.201101366450075,0.0,99.57255815338756,0.8822655312846855,6
2000.0,4000.0,2,1673.2774720924344,2000.0,0.0,83.66387360462173,True,192.7683695548476,505.8827221213537,30.012682151108038,283.1016704153981,38.10534756879982,0.11520406673125805,4,1480.5091025375868,1494.1172778786463,13.60817534105945,0.0,99.08921638598676,0.884795933268742,6
2000.0,4000.0,3,1641.8565736549344,2000.0,0.0,82.09282868274673,True,192.7683695548476,541.6819011985021,38.3840353005221,310.52949634313245,35.58700579220693,0.117408775314476,4,1449.0882041000868,1458.3180988014979,9.229894701411013,0.0,99.3670863230048,0.882591224685524,6
2000.0,4000.0,4,1673.2774720924344,2000.0,0.0,83.66387360462173,True,192.7683695548476,506.9989025412756,30.167940329818975,284.062592656609,38.02145696738545,0.11520406673125805,4,1480.5091025375868,1493.0010974587244,12.491994921137575,0.0,99.16329633364634,0.884795933268742,6
2000.0,4000.0,5,1647.8873048561063,2000.0,0.0,82.39436524280532,True,192.7683695548476,535.4077923117834,37.110079001693975,305.5293437552418,36.00402764451979,0.11697909740962543,4,1455.1189353012587,1464.5922076882166,9.473272386957888,0.0,99.35318020011107,0.8830209025903746,6
